trainer_id,trainer_index,encounter_name,trainer_name,sort_order,encounter_title,starter,type_focus,version_group_id,event_type,game_id,badge_id
14521,161,TRAINER_PKMN_TRAINER_RIVAL,RIVAL,1.1,Aspertia City,Grass,,14,Rival,,
14532,162,TRAINER_PKMN_TRAINER_RIVAL_2,RIVAL,1.1,Aspertia City,Fire,,14,Rival,,
14543,163,TRAINER_PKMN_TRAINER_RIVAL_3,RIVAL,1.1,Aspertia City,Water,,14,Rival,,
14545,166,TRAINER_PKMN_TRAINER_RIVAL_4,RIVAL,5.1,Floccesy Ranch,Grass,,14,Rival,,
14546,167,TRAINER_PKMN_TRAINER_RIVAL_5,RIVAL,5.1,Floccesy Ranch,Fire,,14,Rival,,
14547,168,TRAINER_PKMN_TRAINER_RIVAL_6,RIVAL,5.1,Floccesy Ranch,Water,,14,Rival,,
14384,156,TRAINER_LEADER_CHEREN,CHEREN,5.2,Aspertia City Gym,,,14,,,
14394,157,TRAINER_LEADER_ROXIE,ROXIE,6.1,Virbank City Gym,,,14,,,
14382,154,TRAINER_LEADER_BURGH,BURGH,9.1,Castelia City Gym,,,14,,,
14508,358,TRAINER_PKMN_TRAINER_COLRESS,COLRESS,11.1,Route 4,,,14,,,
14390,153,TRAINER_LEADER_ELESA,ELESA,13.1,Nimbasa City Gym,,,14,,,
14386,158,TRAINER_LEADER_CLAY,CLAY,18.1,Driftveil City Gym,,,14,,,
14548,368,TRAINER_PKMN_TRAINER_RIVAL_7,RIVAL,18.2,Driftveil City,Grass,,14,Rival,,
14549,369,TRAINER_PKMN_TRAINER_RIVAL_8,RIVAL,18.2,Driftveil City,Fire,,14,Rival,,
14550,370,TRAINER_PKMN_TRAINER_RIVAL_9,RIVAL,18.2,Driftveil City,Water,,14,Rival,,
14396,155,TRAINER_LEADER_SKYLA,SKYLA,21.1,Mistralton City Gym,,,14,,,
14522,378,TRAINER_PKMN_TRAINER_RIVAL_10,RIVAL,26.1,Undella Town,Grass,,14,Rival,,
14523,379,TRAINER_PKMN_TRAINER_RIVAL_11,RIVAL,26.1,Undella Town,Fire,,14,Rival,,
14524,380,TRAINER_PKMN_TRAINER_RIVAL_12,RIVAL,26.1,Undella Town,Water,,14,Rival,,
14762,704,TRAINER_TEAM_PLASMA_ZINZOLIN_4,ZINZOLIN,28.1,Lacunosa Town,,,14,,,
14388,159,TRAINER_LEADER_DRAYDEN,DRAYDEN,31.1,Opelucid City Gym,,,14,,,
14761,584,TRAINER_TEAM_PLASMA_ZINZOLIN_3,ZINZOLIN,31.2,Opelucid City,,,14,,,
14755,583,TRAINER_TEAM_PLASMA_SHADOW_4,SHADOW,31.3,Opelucid City - Shadow Triad,,,14,,,
14392,160,TRAINER_LEADER_MARLON,MARLON,35.1,Humilau City Gym,,,14,,,
14541,794,TRAINER_PKMN_TRAINER_RIVAL_28,RIVAL,36.1,Route 22,Grass,,14,Rival,,
14542,795,TRAINER_PKMN_TRAINER_RIVAL_29,RIVAL,36.1,Route 22,Fire,,14,Rival,,
14544,796,TRAINER_PKMN_TRAINER_RIVAL_30,RIVAL,36.1,Route 22,Water,,14,Rival,,
14759,347,TRAINER_TEAM_PLASMA_ZINZOLIN,ZINZOLIN,37.1,Plasma Frigate,,,14,,,
14752,348,TRAINER_TEAM_PLASMA_SHADOW,SHADOW,37.2,Plasma Frigate - Shadow Triad,,,14,,,
14690,344,TRAINER_TEAM_PLASMA_COLRESS,COLRESS,37.3,Plasma Frigate,,,14,,,
14692,345,TRAINER_TEAM_PLASMA_GHETSIS,GHETSIS,37.4,Giant Chasm,,,14,,,
14528,684,TRAINER_PKMN_TRAINER_RIVAL_16,RIVAL,39.1,Victory Road,Grass,,14,Rival,,
14529,685,TRAINER_PKMN_TRAINER_RIVAL_17,RIVAL,39.1,Victory Road,Fire,,14,Rival,,
14530,686,TRAINER_PKMN_TRAINER_RIVAL_18,RIVAL,39.1,Victory Road,Water,,14,Rival,,
14264,38,TRAINER_ELITE_FOUR_SHAUNTAL,SHAUNTAL,39.2,Elite Four - Shauntal,,,14,,,
