game,trainer_index,map_name,zone_index,map_script_index,npc_index,npc_script_id
black2,734,Castelia City,29,58,1,3734
black2,736,Castelia City,29,58,2,3736
black2,737,Castelia City,29,58,3,3737
black2,692,Castelia City,48,96,4,3692
black2,691,Castelia City,48,96,5,3691
black2,97,Nimbasa City,85,170,0,3097
black2,97,Nimbasa City,85,170,1,3097
black2,97,Nimbasa City,85,170,2,3097
black2,74,Nimbasa City,85,170,3,3074
black2,66,Nimbasa City,85,170,5,3066
black2,67,Nimbasa City,85,170,6,3067
black2,63,Nimbasa City,85,170,7,3063
black2,85,Nimbasa City,85,170,24,3085
black2,57,Nimbasa City,86,172,0,3057
black2,53,Nimbasa City,86,172,1,3053
black2,84,Nimbasa City,86,172,2,3084
black2,80,Nimbasa City,86,172,3,3080
black2,97,Nimbasa City,86,172,4,3097
black2,97,Nimbasa City,86,172,5,3097
black2,97,Nimbasa City,86,172,6,3097
black2,56,Nimbasa City,86,172,15,3056
black2,61,Nimbasa City,87,174,9,3061
black2,62,Nimbasa City,87,174,10,3062
black2,58,Nimbasa City,87,174,11,3058
black2,82,Nimbasa City,87,174,12,3082
black2,79,Nimbasa City,87,174,13,3079
black2,97,Nimbasa City,87,174,14,3097
black2,97,Nimbasa City,87,174,15,3097
black2,97,Nimbasa City,87,174,16,3097
black2,51,Nimbasa Gate,90,180,0,3051
black2,52,Nimbasa Gate,90,180,1,3052
black2,48,Nimbasa Gate,90,180,2,3048
black2,76,Nimbasa Gate,90,180,3,3076
black2,86,Nimbasa Gate,90,180,4,3086
black2,97,Nimbasa Gate,90,180,5,3097
black2,97,Nimbasa Gate,90,180,6,3097
black2,97,Nimbasa Gate,90,180,7,3097
black2,71,Nimbasa Gate,91,182,0,3071
black2,72,Nimbasa Gate,91,182,1,3072
black2,68,Nimbasa Gate,91,182,2,3068
black2,78,Nimbasa Gate,91,182,3,3078
black2,87,Nimbasa Gate,91,182,4,3087
black2,97,Nimbasa Gate,91,182,5,3097
black2,97,Nimbasa Gate,91,182,6,3097
black2,97,Nimbasa Gate,91,182,7,3097
black2,149,Opelucid City,121,242,0,3149
black2,150,Opelucid City,121,242,1,3150
black2,151,Opelucid City,121,242,2,3151
black2,152,Opelucid City,121,242,4,3152
black2,332,Opelucid City,121,242,6,3332
black2,350,Relic Castle,184,368,1,3350
black2,354,Relic Castle,184,368,3,3354
black2,355,Relic Castle,184,368,5,3355
black2,739,Twist Mountain,201,402,8,3739
black2,740,Twist Mountain,201,402,9,3740
black2,593,Twist Mountain,201,402,10,3593
black2,637,Twist Mountain,203,406,5,3637
black2,635,Twist Mountain,203,406,7,3635
black2,633,Twist Mountain,203,406,9,3633
black2,634,Twist Mountain,203,406,10,3634
black2,651,Twist Mountain,204,408,7,3651
black2,647,Twist Mountain,204,408,10,3647
black2,650,Twist Mountain,204,408,11,3650
black2,645,Twist Mountain,204,408,13,3645
black2,643,Twist Mountain,204,408,16,3643
black2,644,Twist Mountain,204,408,18,3644
black2,646,Twist Mountain,204,408,19,3646
black2,790,Twist Mountain,204,408,25,3790
black2,791,Twist Mountain,204,408,26,3791
black2,793,Twist Mountain,204,408,27,3793
black2,792,Twist Mountain,204,408,28,3792
black2,668,Dragonspiral Tower,207,414,1,3668
black2,664,Dragonspiral Tower,207,414,2,3664
black2,666,Dragonspiral Tower,207,414,4,3666
black2,670,Dragonspiral Tower,207,414,5,3670
black2,662,Dragonspiral Tower,207,414,7,3662
black2,663,Dragonspiral Tower,207,414,8,3663
black2,511,Dragonspiral Tower,209,418,0,3511
black2,510,Dragonspiral Tower,210,420,0,3510
black2,512,Dragonspiral Tower,210,420,1,3512
black2,537,Abyssal Ruins,244,488,4,3537
black2,546,Abyssal Ruins,244,488,5,3546
black2,544,Abyssal Ruins,244,488,7,3544
black2,539,Abyssal Ruins,244,488,10,3539
black2,543,Abyssal Ruins,245,490,5,3543
black2,671,Abyssal Ruins,245,490,7,3671
black2,540,Abyssal Ruins,246,492,3,3540
black2,545,Abyssal Ruins,246,492,4,3545
black2,538,Abyssal Ruins,246,492,5,3538
black2,492,Abyssal Ruins,248,496,5,3492
black2,534,Abyssal Ruins,248,496,6,3534
black2,531,Abyssal Ruins,248,496,7,3531
black2,725,Abyssal Ruins,248,496,8,3725
black2,525,Skyarrow Bridge,249,498,1,3525
black2,533,Skyarrow Bridge,249,498,2,3533
black2,526,Skyarrow Bridge,249,498,3,3526
black2,535,Bridge Gate,250,500,4,3535
black2,529,Bridge Gate,250,500,6,3529
black2,527,Bridge Gate,251,502,5,3527
black2,532,Bridge Gate,251,502,6,3532
black2,679,Entree Forest,286,572,12,3679
black2,465,Entree Forest,286,572,14,3465
black2,464,Entree Forest,286,572,15,3464
black2,466,Entree Forest,286,572,16,3466
black2,463,Entree Forest,286,572,17,3463
black2,462,Entree Forest,286,572,18,3462
black2,313,Cold Storage,296,592,0,3313
black2,317,Cold Storage,296,592,1,3317
black2,314,Cold Storage,296,592,2,3314
black2,316,Cold Storage,296,592,5,3316
black2,182,Route 7,306,612,5,3182
black2,180,Route 7,306,612,6,3180
black2,745,Route 9,308,616,0,3745
black2,738,Route 9,308,616,1,3738
black2,746,Route 9,308,616,2,3746
black2,521,Route 14,312,624,1,3521
black2,523,Route 14,312,624,2,3523
black2,520,Route 14,312,624,3,3520
black2,789,Route 14,312,624,4,3789
black2,524,Route 14,312,624,5,3524
black2,786,Route 14,312,624,6,3786
black2,672,Route 14,312,624,7,3672
black2,513,Route 14,312,624,14,3513
black2,522,Route 14,312,624,15,3522
black2,518,Route 1,317,634,0,3518
black2,524,Route Gate,318,636,0,3524
black2,788,Route Gate,318,636,1,3788
black2,523,Route Gate,318,636,2,3523
black2,522,Route Gate,318,636,3,3522
black2,787,Route Gate,318,636,5,3787
black2,519,Route Gate,318,636,6,3519
black2,672,Route Gate,318,636,7,3672
black2,514,Route Gate,318,636,14,3514
black2,521,Route Gate,318,636,15,3521
black2,390,Route 5,329,658,0,3390
black2,391,Route 5,330,660,0,3391
black2,614,Mistralton Cave,334,668,2,3614
black2,615,Mistralton Cave,334,668,3,3615
black2,594,Mistralton Cave,334,668,4,3594
black2,596,Mistralton Cave,334,668,5,3596
black2,595,Mistralton Cave,334,668,6,3595
black2,597,Mistralton Cave,334,668,7,3597
black2,598,Guidance Chamber,335,670,2,3598
black2,599,Guidance Chamber,335,670,3,3599
black2,611,Guidance Chamber,335,670,6,3611
black2,613,Route 6,336,672,0,3613
black2,601,Route 6,336,672,1,3601
black2,598,Route 6,336,672,3,3598
black2,600,Route 6,336,672,4,3600
black2,610,Route 6,336,672,5,3610
black2,602,Route 7,337,674,4,3602
black2,603,Route 7,337,674,5,3603
black2,657,Route 7,337,674,6,3657
black2,603,Route 7,337,674,9,3603
black2,602,Route 7,337,674,10,3602
black2,604,Celestial Tower,339,678,0,3604
black2,606,Celestial Tower,339,678,1,3606
black2,608,Celestial Tower,339,678,3,3608
black2,609,Celestial Tower,339,678,4,3609
black2,605,Celestial Tower,339,678,5,3605
black2,612,Celestial Tower,340,680,0,3612
black2,614,Celestial Tower,341,682,2,3614
black2,615,Celestial Tower,341,682,3,3615
black2,596,Celestial Tower,341,682,4,3596
black2,597,Celestial Tower,341,682,5,3597
black2,595,Celestial Tower,341,682,6,3595
black2,613,Celestial Tower,342,684,0,3613
black2,601,Celestial Tower,342,684,1,3601
black2,600,Celestial Tower,342,684,2,3600
black2,610,Celestial Tower,342,684,3,3610
black2,807,Moor of Icirrus,346,692,0,3807
black2,809,Moor of Icirrus,346,692,1,3809
black2,426,Shopping Mall,351,702,0,3426
black2,427,Shopping Mall,351,702,1,3427
black2,431,Challenger's Cave,353,706,3,3431
black2,808,Challenger's Cave,353,706,19,3808
black2,810,Challenger's Cave,353,706,20,3810
black2,811,Challenger's Cave,353,706,21,3811
black2,445,Route 10,356,712,0,3445
black2,446,Route 10,356,712,1,3446
black2,447,Route 10,356,712,2,3447
black2,448,Route 10,356,712,3,3448
black2,452,Route 10,356,712,4,3452
black2,453,Route 10,356,712,5,3453
black2,454,Route 10,356,712,6,3454
black2,449,Route 10,356,712,7,3449
black2,811,Route 10,356,712,19,3811
black2,343,Route 10,357,714,0,3343
black2,436,Route 10,357,714,1,3436
black2,429,Route 10,359,718,0,3429
black2,428,Route 10,359,718,1,3428
black2,437,Route 10,360,720,0,3437
black2,563,Bridge Gate,366,732,3,3563
black2,568,Bridge Gate,366,732,4,3568
black2,565,Route 11,367,734,4,3565
black2,570,Route 11,367,734,5,3570
black2,569,Route 11,367,734,6,3569
black2,561,Route 11,367,734,7,3561
black2,566,Route 12,368,736,1,3566
black2,564,Route 12,368,736,2,3564
black2,562,Route 12,368,736,3,3562
black2,487,Bridge Gate,369,738,0,3487
black2,489,Bridge Gate,369,738,1,3489
black2,488,Route 13,370,740,0,3488
black2,491,Route 13,370,740,2,3491
black2,506,Route 13,371,742,1,3506
black2,507,Route 13,371,742,2,3507
black2,509,Route 13,371,742,3,3509
black2,473,Nuvema Town,390,780,4,3473
black2,470,Nuvema Town,390,780,5,3470
black2,474,Nuvema Town,390,780,6,3474
black2,469,Nuvema Town,390,780,7,3469
black2,472,Nuvema Town,391,782,2,3472
black2,471,Nuvema Town,391,782,3,3471
black2,336,Accumula Town,401,802,5,3336
black2,349,Accumula Town,401,802,6,3349
black2,338,Accumula Town,401,802,7,3338
black2,405,Humilau City,473,946,1,3405
