encounter_name,location_name,trainer_label,source_url
TRAINER_ACE_TRAINER_F_ANGI,Route 13,Ace Trainer Angi,https://www.serebii.net/pokearth/unova/route13.shtml
TRAINER_ACE_TRAINER_F_CHEYENNE,Route 1,Ace Trainer Cheyenne,https://www.serebii.net/pokearth/unova/route1.shtml
TRAINER_ACE_TRAINER_F_JULIET,Route 23,Ace Trainer Juliet,https://www.serebii.net/pokearth/unova/route23.shtml
TRAINER_ACE_TRAINER_F_JUNKO,Route 14,Ace Trainer Junko,https://www.serebii.net/pokearth/unova/route14.shtml
TRAINER_ACE_TRAINER_F_LUCCA,Route 22,Ace Trainer Lucca,https://www.serebii.net/pokearth/unova/route22.shtml
TRAINER_ACE_TRAINER_F_MIKI,Route 23,Ace Trainer Miki,https://www.serebii.net/pokearth/unova/route23.shtml
TRAINER_ACE_TRAINER_F_SUMMER,Undella Bay,Ace Trainer Summer,https://www.serebii.net/pokearth/unova/undellabay.shtml
TRAINER_ACE_TRAINER_M_AUSTIN,Nimbasa City,Ace Trainer Austin,https://www.serebii.net/pokearth/unova/nimbasacity.shtml
TRAINER_ACE_TRAINER_M_DUSTY,Striaton City,Ace Trainer Dusty,https://www.serebii.net/pokearth/unova/striatoncity.shtml
TRAINER_ACE_TRAINER_M_GRANT,Route 23,Ace Trainer Grant,https://www.serebii.net/pokearth/unova/route23.shtml
TRAINER_ACE_TRAINER_M_KIPP,Route 14,Ace Trainer Kipp,https://www.serebii.net/pokearth/unova/route14.shtml
TRAINER_ACE_TRAINER_M_MIGUEL,Route 13,Ace Trainer Miguel,https://www.serebii.net/pokearth/unova/route13.shtml
TRAINER_ACE_TRAINER_M_SEAN,Route 1,Ace Trainer Sean,https://www.serebii.net/pokearth/unova/route1.shtml
TRAINER_ACE_TRAINER_M_SHEL,Route 22,Ace Trainer Shel,https://www.serebii.net/pokearth/unova/route22.shtml
TRAINER_ACE_TRAINER_M_TOM,Route 23,Ace Trainer Tom,https://www.serebii.net/pokearth/unova/route23.shtml
TRAINER_ARTIST_GOUGH,Village Bridge,Artist Gough,https://www.serebii.net/pokearth/unova/villagebridge.shtml
TRAINER_ARTIST_HORTON,Route 5,Artist Horton,https://www.serebii.net/pokearth/unova/route5.shtml
TRAINER_BACKERS_AVA_AYA,Route 5,Backers Ava & Aya,https://www.serebii.net/pokearth/unova/route5.shtml
TRAINER_BACKERS_CLEO_RIO,Route 12,Backers Cleo & Rio,https://www.serebii.net/pokearth/unova/route12.shtml
TRAINER_BACKERS_JOE_ROSS,Route 4,Backers Joe & Ross,https://www.serebii.net/pokearth/unova/route4.shtml
TRAINER_BACKERS_MAY_MAL,Route 3,Backers May & Mal,https://www.serebii.net/pokearth/unova/route3.shtml
TRAINER_BACKERS_STU_ART,Route 16,Backers Stu & Art,https://www.serebii.net/pokearth/unova/route16.shtml
TRAINER_BACKPACKER_F_CORIN,Route 15,Backpacker Corin,https://www.serebii.net/pokearth/unova/route15.shtml
