encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_GAME_FREAK_MORIMOTO,MORIMOTO,TRAINER_CLASS_GAME_FREAK,,,,"FULL_RESTORE,FULL_RESTORE,FULL_RESTORE,FULL_RESTORE",,,"black2white2_trainer_index=140; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=97; ai=7; healer=false; money=20; prize=0; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_ABIGAIL,ABIGAIL,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=183; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=149; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_ABED,ABED,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=184; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=148; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_BRENT,BRENT,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=185; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=147; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_BESS,BESS,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=186; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=150; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_CARLEIGH,CARLEIGH,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=187; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=153; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_CARLEN,CARLEN,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=188; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=152; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_DANEIL,DANEIL,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=189; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=151; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_DANELLE,DANELLE,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=190; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=154; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_ELIE,ELIE,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=191; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=163; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_ELLAS,ELLAS,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=192; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=162; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_FREDERICK,FREDERICK,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=193; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=157; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/whiteforest.shtml; location_unpaired=true",14,6,
TRAINER_BOSS_TRAINER_FREIRA,FREIRA,TRAINER_CLASS_BOSS_TRAINER,,,,,,,"black2white2_trainer_index=194; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=160; ai=7; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/blackcity.shtml; location_unpaired=true",14,6,
