encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_SMASHER_ELENA,BLITZLE,26,,,100,14,6,1
TRAINER_LINEBACKER_DAN,DARUMAKA,25,,,100,14,6,1
TRAINER_LINEBACKER_DAN,TIMBURR,25,,,100,14,6,2
TRAINER_SMASHER_ASPEN,WHIMSICOTT,47,,,100,14,6,1
TRAINER_SMASHER_ASPEN,LILLIGANT,47,,,100,14,6,2
TRAINER_PKMN_TRAINER_BIANCA,MUSHARNA,40,"PSYCHIC,ENERGY_BALL,HYPNOSIS,SHADOW_BALL",,250,14,6,1
TRAINER_PKMN_TRAINER_BIANCA,STOUTLAND,38,"ICE_FANG,FIRE_FANG,THUNDER_FANG,RETURN",,250,14,6,2
TRAINER_PKMN_TRAINER_BIANCA,MIENFOO,38,"DRAIN_PUNCH,FAKE_OUT,U_TURN,ACROBATICS",,250,14,6,3
TRAINER_PKMN_TRAINER_N,ZEKROM,70,,,250,14,6,1
TRAINER_PKMN_TRAINER_N_2,RESHIRAM,70,,,250,14,6,1
TRAINER_WORKER_MATTHEW,SEALEO,61,,,0,14,6,1
TRAINER_WORKER_MATTHEW,GLALIE,61,,,0,14,6,2
TRAINER_HOOPSTER_BOBBY,WHIRLIPEDE,26,,,100,14,6,1
TRAINER_HOOPSTER_JOHN,STOUTLAND,47,,,100,14,6,1
TRAINER_HOOPSTER_JOHN,BOLDORE,47,,,100,14,6,2
TRAINER_CLERK_F_TRISHA,MINCCINO,24,,,0,14,6,1
TRAINER_WAITER_LOU,LIEPARD,43,,,0,14,6,1
TRAINER_WAITRESS_OLWEN,MINCCINO,43,,,0,14,6,1
TRAINER_STRIKER_TONY,TRANQUILL,26,,,100,14,6,1
TRAINER_STRIKER_ROBERTO,LIEPARD,48,,,100,14,6,1
TRAINER_ROUGHNECK_FLETCHER,MIGHTYENA,60,,,0,14,6,1
TRAINER_ROUGHNECK_FLETCHER,SKUNTANK,60,,,0,14,6,2
TRAINER_ROUGHNECK_FLETCHER,CRAWDAUNT,60,,,0,14,6,3
TRAINER_YOUNGSTER_ABE,SPEAROW,60,,,0,14,6,1
TRAINER_YOUNGSTER_ABE,LINOONE,60,,,0,14,6,2
TRAINER_YOUNGSTER_ABE,FEAROW,60,,,0,14,6,3
TRAINER_YOUNGSTER_KEVIN,VENONAT,60,,,0,14,6,1
TRAINER_YOUNGSTER_KEVIN,RATICATE,60,,,0,14,6,2
TRAINER_YOUNGSTER_KEVIN,VENOMOTH,60,,,0,14,6,3
TRAINER_FISHERMAN_DEVON,FINNEON,59,,,0,14,6,1
TRAINER_FISHERMAN_DEVON,GOREBYSS,59,,,0,14,6,2
TRAINER_FISHERMAN_DEVON,HUNTAIL,59,,,0,14,6,3
TRAINER_FISHERMAN_DEVON,LUMINEON,59,,,0,14,6,4
TRAINER_CLERK_M_CHAZ,ARIADOS,61,,,0,14,6,1
TRAINER_CLERK_M_CHAZ,FLOATZEL,61,,,0,14,6,2
TRAINER_CLERK_M_FREDRIC,PERSIAN,62,,,50,14,6,1
TRAINER_CLERK_M_FREDRIC,HONCHKROW,62,,,50,14,6,2
TRAINER_BACKERS_HAWK_DAR,DARUMAKA,31,,,0,14,6,1
TRAINER_BACKERS_HAWK_DAR,DARUMAKA,31,,,0,14,6,2
TRAINER_BACKERS_JOE_ROSS,ZEBSTRIKA,31,,,0,14,6,1
TRAINER_BACKERS_JOE_ROSS,ZEBSTRIKA,31,,,0,14,6,2
TRAINER_BACKERS_MASA_YAS,SCOLIPEDE,31,,,0,14,6,1
TRAINER_BACKERS_MASA_YAS,SCOLIPEDE,31,,,0,14,6,2
TRAINER_BACKERS_KAY_ALI,DUCKLETT,31,,,0,14,6,1
TRAINER_BACKERS_KAY_ALI,DUCKLETT,31,,,0,14,6,2
TRAINER_BACKERS_AMI_EIRA,PANPOUR,31,,,0,14,6,1
