encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_BACKERS_JOE_ROSS,JOE & ROSS,TRAINER_CLASS_BACKERS,9,,,,TRAINER_PIC_B2W2_BACKERS_M,1,"black2white2_trainer_index=22; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=1; trainer_class_id=68; ai=129; healer=false; money=12; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route4.shtml; matched_location=Route 4",14,6,
TRAINER_ACE_TRAINER_F_LUCCA,LUCCA,TRAINER_CLASS_ACE_TRAINER_F,5,,,,TRAINER_PIC_B2W2_ACE_TRAINER_F,,"black2white2_trainer_index=43; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=49; ai=7; healer=false; money=15; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route22.shtml; matched_location=Route 22",14,6,
TRAINER_ACE_TRAINER_M_SHEL,SHEL,TRAINER_CLASS_ACE_TRAINER_M,5,,,,TRAINER_PIC_B2W2_ACE_TRAINER_M,,"black2white2_trainer_index=44; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=50; ai=7; healer=false; money=15; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route22.shtml; matched_location=Route 22",14,6,
TRAINER_WAITRESS_BONITA,BONITA,TRAINER_CLASS_WAITRESS,8,,,,TRAINER_PIC_B2W2_WAITRESS,,"black2white2_trainer_index=98; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=9; ai=1; healer=false; money=10; prize=33; location_reference=https://www.serebii.net/pokearth/unova/route3.shtml; matched_location=Route 3",14,6,
TRAINER_ACE_TRAINER_F_ANGI,ANGI,TRAINER_CLASS_ACE_TRAINER_F,36,,,,TRAINER_PIC_B2W2_ACE_TRAINER_F,,"black2white2_trainer_index=133; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=49; ai=7; healer=false; money=15; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route13.shtml; matched_location=Route 13",14,6,
TRAINER_ACE_TRAINER_M_MIGUEL,MIGUEL,TRAINER_CLASS_ACE_TRAINER_M,36,,,,TRAINER_PIC_B2W2_ACE_TRAINER_M,,"black2white2_trainer_index=134; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=50; ai=7; healer=false; money=15; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route13.shtml; matched_location=Route 13",14,6,
TRAINER_SCIENTIST_DUDLEY,DUDLEY,TRAINER_CLASS_SCIENTIST,245,,,X_SPECIAL,TRAINER_PIC_B2W2_SCIENTIST_M,,"black2white2_trainer_index=135; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=52; ai=5; healer=false; money=12; prize=0; location_reference=https://www.serebii.net/pokearth/unova/p2laboratory.shtml; matched_location=P2 Laboratory",14,6,
TRAINER_VETERAN_M_MURPHY,MURPHY,TRAINER_CLASS_VETERAN_M,256,,,,TRAINER_PIC_B2W2_VETERAN_M,,"black2white2_trainer_index=142; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=70; ai=7; healer=false; money=20; prize=0; location_reference=https://www.serebii.net/pokearth/unova/lostlornforest.shtml; matched_location=Lostlorn Forest",14,6,
TRAINER_LADY_LINA,LINA,TRAINER_CLASS_LADY,9,,,,TRAINER_PIC_B2W2_LADY,,"black2white2_trainer_index=147; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=42; ai=1; healer=false; money=40; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route4.shtml; matched_location=Route 4",14,6,
TRAINER_YOUNGSTER_TERRELL,TERRELL,TRAINER_CLASS_YOUNGSTER,39,,,,TRAINER_PIC_B2W2_YOUNGSTER,,"black2white2_trainer_index=164; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_LASS_ISABEL,ISABEL,TRAINER_CLASS_LASS,39,,,,TRAINER_PIC_B2W2_LASS,,"black2white2_trainer_index=165; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=3; ai=1; healer=false; money=4; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_SCHOOL_KID_M_SEYMOUR,SEYMOUR,TRAINER_CLASS_SCHOOL_KID_M,261,,,,TRAINER_PIC_B2W2_SCHOOL_KID_M,,"black2white2_trainer_index=169; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=4; ai=5; healer=false; money=5; prize=0; location_reference=https://www.serebii.net/pokearth/unova/floccesytown.shtml; matched_location=Floccesy Town",14,6,
TRAINER_SCHOOL_KID_F_CASSIE,CASSIE,TRAINER_CLASS_SCHOOL_KID_F,261,,,,TRAINER_PIC_B2W2_SCHOOL_KID_F,,"black2white2_trainer_index=170; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=5; ai=5; healer=false; money=5; prize=0; location_reference=https://www.serebii.net/pokearth/unova/floccesytown.shtml; matched_location=Floccesy Town",14,6,
TRAINER_PRESCHOOLER_M_ALBERT,ALBERT,TRAINER_CLASS_PRESCHOOLER_M,39,,,,TRAINER_PIC_B2W2_PRESCHOOLER_M,,"black2white2_trainer_index=173; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=15; ai=0; healer=false; money=1; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_PRESCHOOLER_F_LIN,LIN,TRAINER_CLASS_PRESCHOOLER_F,39,,,,TRAINER_PIC_B2W2_PRESCHOOLER_F,,"black2white2_trainer_index=174; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=14; ai=0; healer=false; money=1; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_TWINS_LIA_LILY,LIA & LILY,TRAINER_CLASS_TWINS,39,,,,TRAINER_PIC_B2W2_TWINS,1,"black2white2_trainer_index=175; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=1; trainer_class_id=16; ai=128; healer=false; money=4; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_NURSERY_AIDE_KIMYA,KIMYA,TRAINER_CLASS_NURSERY_AIDE,39,,,,TRAINER_PIC_B2W2_NURSERY_AIDE,,"black2white2_trainer_index=176; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=13; ai=1; healer=false; money=10; prize=0; location_reference=https://www.serebii.net/pokearth/unova/route20.shtml; matched_location=Route 20",14,6,
TRAINER_GENTLEMAN_STONEWALL,STONEWALL,TRAINER_CLASS_GENTLEMAN,251,,,,TRAINER_PIC_B2W2_GENTLEMAN,,"black2white2_trainer_index=177; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=76; ai=1; healer=false; money=50; prize=0; location_reference=https://www.serebii.net/pokearth/unova/villagebridge.shtml; matched_location=Village Bridge",14,6,
TRAINER_YOUNGSTER_KENNY,KENNY,TRAINER_CLASS_YOUNGSTER,262,,,,TRAINER_PIC_B2W2_YOUNGSTER,,"black2white2_trainer_index=180; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=0; location_reference=https://www.serebii.net/pokearth/unova/floccesyranch.shtml; matched_location=Floccesy Ranch",14,6,
