encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_SMASHER_ELENA,ELENA,TRAINER_CLASS_SMASHER,,,,,TRAINER_PIC_B2W2_SMASHER,,"black2white2_trainer_index=1; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=6; ai=7; healer=false; money=25; prize=17; location_unpaired=true",14,6,
TRAINER_LINEBACKER_DAN,DAN,TRAINER_CLASS_LINEBACKER,,,,,TRAINER_PIC_B2W2_LINEBACKER,,"black2white2_trainer_index=2; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=7; ai=7; healer=false; money=25; prize=17; location_unpaired=true",14,6,
TRAINER_SMASHER_ASPEN,ASPEN,TRAINER_CLASS_SMASHER,,,,,TRAINER_PIC_B2W2_SMASHER,,"black2white2_trainer_index=3; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=6; ai=7; healer=false; money=25; prize=25; location_unpaired=true",14,6,
TRAINER_PKMN_TRAINER_BIANCA,BIANCA,TRAINER_CLASS_PKMN_TRAINER,,,,,TRAINER_PIC_B2W2_BIANCA,,"black2white2_trainer_index=4; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=38; ai=135; healer=false; money=30; prize=0; location_unpaired=true",14,6,
TRAINER_PKMN_TRAINER_N,N,TRAINER_CLASS_PKMN_TRAINER,,,,FULL_RESTORE,TRAINER_PIC_B2W2_N,,"black2white2_trainer_index=5; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=40; ai=7; healer=false; money=50; prize=0; location_unpaired=true",14,6,
TRAINER_PKMN_TRAINER_N_2,N,TRAINER_CLASS_PKMN_TRAINER,,,,FULL_RESTORE,TRAINER_PIC_B2W2_N,,"black2white2_trainer_index=6; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=40; ai=7; healer=false; money=50; prize=0; location_unpaired=true",14,6,
TRAINER_WORKER_MATTHEW,MATTHEW,TRAINER_CLASS_WORKER,,,,,TRAINER_PIC_B2W2_WORKERICE,,"black2white2_trainer_index=7; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=44; ai=1; healer=false; money=10; prize=73; location_unpaired=true",14,6,
TRAINER_HOOPSTER_BOBBY,BOBBY,TRAINER_CLASS_HOOPSTER,,,,,TRAINER_PIC_B2W2_HOOPSTER,,"black2white2_trainer_index=8; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=45; ai=7; healer=false; money=25; prize=17; location_unpaired=true",14,6,
TRAINER_HOOPSTER_JOHN,JOHN,TRAINER_CLASS_HOOPSTER,,,,,TRAINER_PIC_B2W2_HOOPSTER,,"black2white2_trainer_index=9; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=45; ai=7; healer=false; money=25; prize=25; location_unpaired=true",14,6,
TRAINER_CLERK_F_TRISHA,TRISHA,TRAINER_CLASS_CLERK_F,,,,,TRAINER_PIC_B2W2_CLERK_F,,"black2white2_trainer_index=10; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=48; ai=1; healer=false; money=10; prize=0; location_reference=https://www.serebii.net/pokearth/unova/nimbasacity.shtml; location_unpaired=true",14,6,
TRAINER_WAITER_LOU,LOU,TRAINER_CLASS_WAITER,,,,,TRAINER_PIC_B2W2_WAITER,,"black2white2_trainer_index=11; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=8; ai=1; healer=false; money=10; prize=0; location_unpaired=true",14,6,
TRAINER_WAITRESS_OLWEN,OLWEN,TRAINER_CLASS_WAITRESS,,,,,TRAINER_PIC_B2W2_WAITRESS,,"black2white2_trainer_index=12; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=9; ai=1; healer=false; money=10; prize=0; location_unpaired=true",14,6,
TRAINER_STRIKER_TONY,TONY,TRAINER_CLASS_STRIKER,,,,,TRAINER_PIC_B2W2_STRIKER,,"black2white2_trainer_index=13; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=53; ai=7; healer=false; money=25; prize=17; location_unpaired=true",14,6,
TRAINER_STRIKER_ROBERTO,ROBERTO,TRAINER_CLASS_STRIKER,,,,,TRAINER_PIC_B2W2_STRIKER,,"black2white2_trainer_index=14; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=53; ai=7; healer=false; money=25; prize=25; location_unpaired=true",14,6,
TRAINER_ROUGHNECK_FLETCHER,FLETCHER,TRAINER_CLASS_ROUGHNECK,,,,,TRAINER_PIC_B2W2_ROUGHNECK,,"black2white2_trainer_index=15; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=57; ai=1; healer=false; money=6; prize=13; location_reference=https://www.serebii.net/pokearth/unova/nimbasacity.shtml; location_unpaired=true",14,6,
TRAINER_YOUNGSTER_ABE,ABE,TRAINER_CLASS_YOUNGSTER,,,,,TRAINER_PIC_B2W2_YOUNGSTER,,"black2white2_trainer_index=16; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=0; location_unpaired=true",14,6,
TRAINER_YOUNGSTER_KEVIN,KEVIN,TRAINER_CLASS_YOUNGSTER,,,,,TRAINER_PIC_B2W2_YOUNGSTER,,"black2white2_trainer_index=17; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=2; location_unpaired=true",14,6,
TRAINER_FISHERMAN_DEVON,DEVON,TRAINER_CLASS_FISHERMAN,,,,,TRAINER_PIC_B2W2_FISHERMAN,,"black2white2_trainer_index=18; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=29; ai=1; healer=false; money=8; prize=7; location_unpaired=true",14,6,
TRAINER_CLERK_M_CHAZ,CHAZ,TRAINER_CLASS_CLERK_M,,,,,TRAINER_PIC_B2W2_CLERK_M,,"black2white2_trainer_index=19; source_rom_paths=a/0/9/1,a/0/9/2; battle_type=0; trainer_class_id=66; ai=1; healer=false; money=10; prize=0; location_unpaired=true",14,6,
