trainer_id,trainer_index,encounter_name,trainer_name,sort_order,encounter_title,starter,type_focus,version_group_id,event_type,game_id,badge_id
12952,53,TRAINER_PKMN_TRAINER_CHEREN,CHEREN,0.1,Rival - Cheren,Grass,,11,,,
12963,54,TRAINER_PKMN_TRAINER_CHEREN_2,CHEREN,0.1,Rival - Cheren,Fire,,11,,,
12969,55,TRAINER_PKMN_TRAINER_CHEREN_3,CHEREN,0.1,Rival - Cheren,Water,,11,,,
12934,59,TRAINER_PKMN_TRAINER_BIANCA,BIANCA,0.2,Rival - Bianca,Grass,,11,,,
12944,60,TRAINER_PKMN_TRAINER_BIANCA_2,BIANCA,0.2,Rival - Bianca,Fire,,11,,,
12945,61,TRAINER_PKMN_TRAINER_BIANCA_3,BIANCA,0.2,Rival - Bianca,Water,,11,,,
12977,64,TRAINER_PKMN_TRAINER_N,N,1.1,N - Accumula Town,,,11,,,
12935,498,TRAINER_PKMN_TRAINER_BIANCA_10,BIANCA,2.1,Rival - Bianca,Grass,,11,,,
12936,499,TRAINER_PKMN_TRAINER_BIANCA_11,BIANCA,2.1,Rival - Bianca,Fire,,11,,,
12937,500,TRAINER_PKMN_TRAINER_BIANCA_12,BIANCA,2.1,Rival - Bianca,Water,,11,,,
12953,287,TRAINER_PKMN_TRAINER_CHEREN_10,CHEREN,2.2,Rival - Cheren,Grass,,11,,,
12954,288,TRAINER_PKMN_TRAINER_CHEREN_11,CHEREN,2.2,Rival - Cheren,Fire,,11,,,
12955,289,TRAINER_PKMN_TRAINER_CHEREN_12,CHEREN,2.2,Rival - Cheren,Water,,11,,,
12864,11,TRAINER_LEADER_CHILI,CHILI,3.1,Striaton City Gym,Grass,,11,,,
12867,13,TRAINER_LEADER_CRESS,CRESS,3.1,Striaton City Gym,Fire,,11,,,
12865,12,TRAINER_LEADER_CILAN,CILAN,3.1,Striaton City Gym,Water,,11,,,
12970,56,TRAINER_PKMN_TRAINER_CHEREN_4,CHEREN,5.1,Rival - Cheren,Grass,,11,,,
12971,57,TRAINER_PKMN_TRAINER_CHEREN_5,CHEREN,5.1,Rival - Cheren,Fire,,11,,,
12972,58,TRAINER_PKMN_TRAINER_CHEREN_6,CHEREN,5.1,Rival - Cheren,Water,,11,,,
12978,65,TRAINER_PKMN_TRAINER_N_2,N,6.1,N - Nacrene City,,,11,,,
12871,21,TRAINER_LEADER_LENORA,LENORA,7.1,Nacrene City Gym,,,11,,,
12863,22,TRAINER_LEADER_BURGH,BURGH,9.1,Castelia City Gym,,,11,,,
12938,507,TRAINER_PKMN_TRAINER_BIANCA_13,BIANCA,10.1,Rival - Bianca,Grass,,11,,,
12939,508,TRAINER_PKMN_TRAINER_BIANCA_14,BIANCA,10.1,Rival - Bianca,Fire,,11,,,
12940,509,TRAINER_PKMN_TRAINER_BIANCA_15,BIANCA,10.1,Rival - Bianca,Water,,11,,,
12956,403,TRAINER_PKMN_TRAINER_CHEREN_13,CHEREN,10.2,Rival - Cheren,Grass,,11,,,
12957,404,TRAINER_PKMN_TRAINER_CHEREN_14,CHEREN,10.2,Rival - Cheren,Fire,,11,,,
12958,405,TRAINER_PKMN_TRAINER_CHEREN_15,CHEREN,10.2,Rival - Cheren,Water,,11,,,
13146,89,TRAINER_TEAM_PLASMA_N,N,10.3,N - Nimbasa City,,,11,,,
12869,23,TRAINER_LEADER_ELESA,ELESA,10.4,Nimbasa City Gym,,,11,,,
12973,90,TRAINER_PKMN_TRAINER_CHEREN_7,CHEREN,13.1,Rival - Cheren,Grass,,11,,,
12974,91,TRAINER_PKMN_TRAINER_CHEREN_8,CHEREN,13.1,Rival - Cheren,Fire,,11,,,
12975,92,TRAINER_PKMN_TRAINER_CHEREN_9,CHEREN,13.1,Rival - Cheren,Water,,11,,,
12866,24,TRAINER_LEADER_CLAY,CLAY,16.1,Driftveil City Gym,,,11,,,
12946,491,TRAINER_PKMN_TRAINER_BIANCA_4,BIANCA,16.2,Rival - Bianca,Grass,,11,,,
12947,492,TRAINER_PKMN_TRAINER_BIANCA_5,BIANCA,16.2,Rival - Bianca,Fire,,11,,,
12948,493,TRAINER_PKMN_TRAINER_BIANCA_6,BIANCA,16.2,Rival - Bianca,Water,,11,,,
13147,218,TRAINER_TEAM_PLASMA_N_2,N,19.1,N - Chargestone Cave,,,11,,,
12872,25,TRAINER_LEADER_SKYLA,SKYLA,24.1,Mistralton City Gym,,,11,,,
12959,539,TRAINER_PKMN_TRAINER_CHEREN_16,CHEREN,25.1,Rival - Cheren,Grass,,11,,,
12960,540,TRAINER_PKMN_TRAINER_CHEREN_17,CHEREN,25.1,Rival - Cheren,Fire,,11,,,
12961,541,TRAINER_PKMN_TRAINER_CHEREN_18,CHEREN,25.1,Rival - Cheren,Water,,11,,,
12862,131,TRAINER_LEADER_BRYCEN,BRYCEN,26.1,Icirrus City Gym,,,11,,,
12949,494,TRAINER_PKMN_TRAINER_BIANCA_7,BIANCA,28.1,Rival - Bianca,Grass,,11,,,
12950,495,TRAINER_PKMN_TRAINER_BIANCA_8,BIANCA,28.1,Rival - Bianca,Fire,,11,,,
12951,496,TRAINER_PKMN_TRAINER_BIANCA_9,BIANCA,28.1,Rival - Bianca,Water,,11,,,
12868,133,TRAINER_LEADER_DRAYDEN,DRAYDEN,30.1,Opelucid City Gym,,,11,,17,
12870,132,TRAINER_LEADER_IRIS,IRIS,30.1,Opelucid City Gym,,,11,,18,
12962,588,TRAINER_PKMN_TRAINER_CHEREN_19,CHEREN,31.1,Rival - Cheren,Grass,,11,,,
12964,589,TRAINER_PKMN_TRAINER_CHEREN_20,CHEREN,31.1,Rival - Cheren,Fire,,11,,,
12965,590,TRAINER_PKMN_TRAINER_CHEREN_21,CHEREN,31.1,Rival - Cheren,Water,,11,,,
12784,228,TRAINER_ELITE_FOUR_SHAUNTAL,SHAUNTAL,32.1,Elite Four - Shauntal,,,11,,,
12782,229,TRAINER_ELITE_FOUR_MARSHAL,MARSHAL,32.2,Elite Four - Marshal,,,11,,,
12780,230,TRAINER_ELITE_FOUR_GRIMSLEY,GRIMSLEY,32.3,Elite Four - Grimsley,,,11,,,
12778,231,TRAINER_ELITE_FOUR_CAITLIN,CAITLIN,32.4,Elite Four - Caitlin,,,11,,,
13149,587,TRAINER_TEAM_PLASMA_N_4,N,32.5,N's Castle,,,11,,17,
13148,586,TRAINER_TEAM_PLASMA_N_3,N,32.5,N's Castle,,,11,,18,
13099,232,TRAINER_TEAM_PLASMA_GHETSIS,GHETSIS,32.6,N's Castle - Ghetsis,,,11,,,
12976,567,TRAINER_PKMN_TRAINER_CYNTHIA,CYNTHIA,37.1,Undella Town - Cynthia,,,11,,,
12745,407,TRAINER_CHAMPION_ALDER,ALDER,46.1,Champion - Alder,,,11,,,
12798,542,TRAINER_GAME_FREAK_MORIMOTO,MORIMOTO,46.2,Castelia City - Morimoto,,,11,,,
