trainer_index,map_name,zone_index,map_script_index,npc_index,npc_script_id
9,Striaton City,7,14,7,3009
10,Striaton City,7,14,8,3010
86,Nacrene City,18,36,4,3086
198,Castelia City,29,58,11,3198
196,Castelia City,29,58,12,3196
165,Castelia City,45,90,0,3165
94,Castelia City,45,90,1,3094
93,Castelia City,45,90,2,3093
166,Castelia City,45,90,3,3166
113,Castelia City,45,90,4,3113
167,Castelia City,46,92,1,3167
114,Castelia City,46,92,2,3114
170,Castelia City,46,92,3,3170
116,Castelia City,46,92,4,3116
68,Nimbasa City,63,126,2,3068
66,Nimbasa City,63,126,3,3066
363,Nimbasa City,81,162,0,3363
363,Nimbasa City,81,162,1,3363
363,Nimbasa City,81,162,2,3363
340,Nimbasa City,81,162,3,3340
332,Nimbasa City,81,162,5,3332
333,Nimbasa City,81,162,6,3333
329,Nimbasa City,81,162,7,3329
351,Nimbasa City,81,162,24,3351
323,Nimbasa City,82,164,0,3323
319,Nimbasa City,82,164,1,3319
350,Nimbasa City,82,164,2,3350
346,Nimbasa City,82,164,3,3346
363,Nimbasa City,82,164,4,3363
363,Nimbasa City,82,164,5,3363
363,Nimbasa City,82,164,6,3363
322,Nimbasa City,82,164,15,3322
327,Nimbasa City,83,166,9,3327
328,Nimbasa City,83,166,10,3328
324,Nimbasa City,83,166,11,3324
348,Nimbasa City,83,166,12,3348
345,Nimbasa City,83,166,13,3345
363,Nimbasa City,83,166,14,3363
363,Nimbasa City,83,166,15,3363
363,Nimbasa City,83,166,16,3363
317,Nimbasa City,86,172,0,3317
318,Nimbasa City,86,172,1,3318
314,Nimbasa City,86,172,2,3314
342,Nimbasa City,86,172,3,3342
352,Nimbasa City,86,172,4,3352
363,Nimbasa City,86,172,5,3363
363,Nimbasa City,86,172,6,3363
363,Nimbasa City,86,172,7,3363
337,Nimbasa City,87,174,0,3337
338,Nimbasa City,87,174,1,3338
334,Nimbasa City,87,174,2,3334
344,Nimbasa City,87,174,3,3344
353,Nimbasa City,87,174,4,3353
363,Nimbasa City,87,174,5,3363
363,Nimbasa City,87,174,6,3363
363,Nimbasa City,87,174,7,3363
202,Driftveil City,97,194,13,3202
95,Driftveil City,97,194,14,3095
168,Driftveil City,97,194,15,3168
203,Driftveil City,97,194,17,3203
201,Driftveil City,97,194,22,3201
70,Mistralton City,108,216,2,3070
71,Mistralton City,108,216,3,3071
125,Mistralton City,108,216,4,3125
127,Mistralton City,108,216,5,3127
128,Mistralton City,108,216,6,3128
215,Icirrus City,114,228,0,3215
212,Icirrus City,114,228,12,3212
216,Icirrus City,114,228,13,3216
213,Icirrus City,114,228,14,3213
214,Icirrus City,114,228,15,3214
217,Icirrus City,114,228,16,3217
272,Opelucid City,121,242,0,3272
271,Opelucid City,121,242,1,3271
265,Opelucid City,121,242,2,3265
270,Opelucid City,121,242,3,3270
266,Opelucid City,121,242,5,3266
275,Opelucid City,121,242,6,3275
267,Opelucid City,121,242,7,3267
513,Opelucid City,125,250,1,3513
514,Opelucid City,125,250,2,3514
605,Opelucid City,126,252,0,3605
604,Opelucid City,126,252,1,3604
7,Dreamyard,152,304,9,3007
8,Dreamyard,152,304,10,3008
419,Dreamyard,153,306,1,3419
423,Dreamyard,153,306,2,3423
417,Dreamyard,153,306,3,3417
144,Pinwheel Forest,154,308,2,3144
145,Pinwheel Forest,154,308,3,3145
502,Pinwheel Forest,154,308,8,3502
501,Pinwheel Forest,154,308,9,3501
546,Pinwheel Forest,154,308,12,3546
111,Pinwheel Forest,154,308,14,3111
32,Pinwheel Forest,155,310,7,3032
34,Pinwheel Forest,155,310,8,3034
26,Pinwheel Forest,155,310,10,3026
30,Pinwheel Forest,155,310,13,3030
31,Pinwheel Forest,155,310,14,3031
33,Pinwheel Forest,155,310,15,3033
236,Desert Resort,158,316,13,3236
238,Desert Resort,158,316,14,3238
235,Desert Resort,158,316,15,3235
239,Desert Resort,158,316,16,3239
233,Desert Resort,158,316,17,3233
237,Desert Resort,158,316,18,3237
234,Desert Resort,158,316,19,3234
550,Desert Resort,158,316,25,3550
549,Desert Resort,158,316,26,3549
613,Desert Resort,158,316,27,3613
52,Relic Castle,160,320,0,3052
51,Relic Castle,160,320,1,3051
221,Relic Castle,161,322,0,3221
222,Relic Castle,162,324,1,3222
225,Relic Castle,162,324,2,3225
223,Relic Castle,163,326,2,3223
226,Relic Castle,163,326,3,3226
224,Relic Castle,164,328,1,3224
227,Relic Castle,164,328,2,3227
140,Cold Storage,191,382,8,3140
77,Cold Storage,191,382,9,3077
141,Cold Storage,191,382,10,3141
76,Cold Storage,192,384,2,3076
72,Cold Storage,192,384,6,3072
73,Cold Storage,192,384,7,3073
74,Cold Storage,192,384,8,3074
75,Cold Storage,192,384,9,3075
240,Chargestone Cave,195,390,10,3240
117,Chargestone Cave,195,390,12,3117
104,Chargestone Cave,195,390,13,3104
194,Chargestone Cave,195,390,14,3194
115,Chargestone Cave,195,390,17,3115
310,Chargestone Cave,196,392,3,3310
298,Chargestone Cave,196,392,4,3298
299,Chargestone Cave,196,392,5,3299
300,Chargestone Cave,196,392,6,3300
301,Chargestone Cave,196,392,7,3301
150,Chargestone Cave,196,392,8,3150
611,Chargestone Cave,196,392,10,3611
311,Chargestone Cave,196,392,11,3311
101,Chargestone Cave,197,394,2,3101
243,Twist Mountain,198,396,0,3243
518,Twist Mountain,199,398,3,3518
241,Twist Mountain,199,398,5,3241
151,Twist Mountain,199,398,8,3151
242,Twist Mountain,200,400,1,3242
519,Twist Mountain,201,402,2,3519
195,Twist Mountain,201,402,3,3195
106,Dragonspiral Tower,206,412,0,3106
102,Dragonspiral Tower,206,412,1,3102
303,Dragonspiral Tower,210,420,9,3303
304,Dragonspiral Tower,210,420,10,3304
312,Dragonspiral Tower,210,420,11,3312
302,Dragonspiral Tower,210,420,12,3302
612,Dragonspiral Tower,210,420,14,3612
244,Victory Road,216,432,0,3244
251,Victory Road,217,434,0,3251
245,Victory Road,218,436,0,3245
246,Victory Road,221,442,0,3246
248,Victory Road,223,446,0,3248
249,Victory Road,224,448,0,3249
247,Victory Road,226,452,0,3247
250,Victory Road,227,454,0,3250
553,Liberty Garden,235,470,22,3553
554,Liberty Garden,235,470,23,3554
