encounter_name,trainer_name,trainer_class,trainer_class_id,trainer_pic,match_source
TRAINER_YOUNGSTER_JIMMY,JIMMY,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_LASS_MALI,MALI,TRAINER_CLASS_LASS,3,TRAINER_PIC_BW_LASS,trainer_class_id
TRAINER_SCHOOL_KID_M_AL,AL,TRAINER_CLASS_SCHOOL_KID_M,4,TRAINER_PIC_BW_SCHOOL_KID_M,trainer_class_id
TRAINER_SCHOOL_KID_F_MARSHA,MARSHA,TRAINER_CLASS_SCHOOL_KID_F,5,TRAINER_PIC_BW_SCHOOL_KID_F,trainer_class_id
TRAINER_SMASHER_ELENA,ELENA,TRAINER_CLASS_SMASHER,6,TRAINER_PIC_BW_SMASHER,trainer_class_id
TRAINER_LINEBACKER_DAN,DAN,TRAINER_CLASS_LINEBACKER,7,TRAINER_PIC_BW_LINEBACKER,trainer_class_id
TRAINER_YOUNGSTER_JOEY,JOEY,TRAINER_CLASS_YOUNGSTER,2,TRAINER_PIC_BW_YOUNGSTER,trainer_class_id
TRAINER_LASS_ERI,ERI,TRAINER_CLASS_LASS,3,TRAINER_PIC_BW_LASS,trainer_class_id
TRAINER_WAITER_MAXWELL,MAXWELL,TRAINER_CLASS_WAITER,8,TRAINER_PIC_BW_WAITER,trainer_class_id
TRAINER_WAITRESS_TIA,TIA,TRAINER_CLASS_WAITRESS,9,TRAINER_PIC_BW_WAITRESS,trainer_class_id
TRAINER_LEADER_CHILI,CHILI,TRAINER_CLASS_LEADER,10,TRAINER_PIC_BW_CHILI,trainer_name
TRAINER_LEADER_CILAN,CILAN,TRAINER_CLASS_LEADER,11,TRAINER_PIC_BW_CILAN,trainer_name
TRAINER_LEADER_CRESS,CRESS,TRAINER_CLASS_LEADER,12,TRAINER_PIC_BW_CRESS,trainer_name
TRAINER_NURSERY_AIDE_AUTUMN,AUTUMN,TRAINER_CLASS_NURSERY_AIDE,13,TRAINER_PIC_BW_NURSERY_AIDE,trainer_class_id
TRAINER_PRESCHOOLER_M_WENDY,WENDY,TRAINER_CLASS_PRESCHOOLER_M,14,TRAINER_PIC_BW_PRESCHOOLER_F,trainer_class_id
TRAINER_PRESCHOOLER_F_DOYLE,DOYLE,TRAINER_CLASS_PRESCHOOLER_F,15,TRAINER_PIC_BW_PRESCHOOLER_M,trainer_class_id
TRAINER_PRESCHOOLER_F_TULLY,TULLY,TRAINER_CLASS_PRESCHOOLER_F,15,TRAINER_PIC_BW_PRESCHOOLER_M,trainer_class_id
TRAINER_TWINS_KUMI_AMY,KUMI & AMY,TRAINER_CLASS_TWINS,16,TRAINER_PIC_BW_TWINS,trainer_class_id
TRAINER_PKMN_BREEDER_M_GALEN,GALEN,TRAINER_CLASS_PKMN_BREEDER_M,17,TRAINER_PIC_BW_POKEMON_BREEDER_M,trainer_class_id
TRAINER_PKMN_BREEDER_F_ADELAIDE,ADELAIDE,TRAINER_CLASS_PKMN_BREEDER_F,18,TRAINER_PIC_BW_POKEMON_BREEDER_F,trainer_class_id
TRAINER_LEADER_LENORA,LENORA,TRAINER_CLASS_LEADER,19,TRAINER_PIC_BW_LENORA,trainer_name
TRAINER_LEADER_BURGH,BURGH,TRAINER_CLASS_LEADER,20,TRAINER_PIC_BW_BURGH,trainer_name
