encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_YOUNGSTER_JIMMY,PATRAT,7,,,0,11,6,1
TRAINER_LASS_MALI,PURRLOIN,7,,,0,11,6,1
TRAINER_SCHOOL_KID_M_AL,BLITZLE,13,,,50,11,6,1
TRAINER_SCHOOL_KID_F_MARSHA,WOOBAT,13,,,50,11,6,1
TRAINER_SMASHER_ELENA,BLITZLE,25,,,100,11,6,1
TRAINER_LINEBACKER_DAN,DARUMAKA,24,,,100,11,6,1
TRAINER_LINEBACKER_DAN,TIMBURR,24,,,100,11,6,2
TRAINER_YOUNGSTER_JOEY,PATRAT,7,,,0,11,6,1
TRAINER_YOUNGSTER_JOEY,PATRAT,7,,,0,11,6,2
TRAINER_YOUNGSTER_JOEY,LILLIPUP,7,,,0,11,6,3
TRAINER_LASS_ERI,PURRLOIN,8,,,0,11,6,1
TRAINER_LASS_ERI,PURRLOIN,8,,,0,11,6,2
TRAINER_WAITER_MAXWELL,LILLIPUP,11,,,50,11,6,1
TRAINER_WAITRESS_TIA,PATRAT,10,,,50,11,6,1
TRAINER_WAITRESS_TIA,PURRLOIN,10,,,50,11,6,2
TRAINER_LEADER_CHILI,LILLIPUP,12,"BITE,WORK_UP",,50,11,6,1
TRAINER_LEADER_CHILI,PANSEAR,14,"INCINERATE,WORK_UP",,100,11,6,2
TRAINER_LEADER_CILAN,LILLIPUP,12,"BITE,WORK_UP",,50,11,6,1
TRAINER_LEADER_CILAN,PANSAGE,14,"VINE_WHIP,WORK_UP",,100,11,6,2
TRAINER_LEADER_CRESS,LILLIPUP,12,"BITE,WORK_UP",,50,11,6,1
TRAINER_LEADER_CRESS,PANPOUR,14,"WATER_GUN,WORK_UP",,100,11,6,2
TRAINER_NURSERY_AIDE_AUTUMN,LILLIPUP,10,,,30,11,6,1
TRAINER_NURSERY_AIDE_AUTUMN,MUNNA,10,,,30,11,6,2
TRAINER_PRESCHOOLER_M_WENDY,PANSEAR,10,,,0,11,6,1
TRAINER_PRESCHOOLER_F_DOYLE,PANPOUR,10,,,0,11,6,1
TRAINER_PRESCHOOLER_F_TULLY,PANSAGE,10,,,0,11,6,1
TRAINER_TWINS_KUMI_AMY,PURRLOIN,10,,,0,11,6,1
TRAINER_TWINS_KUMI_AMY,PURRLOIN,10,,,0,11,6,2
TRAINER_PKMN_BREEDER_M_GALEN,SIMISAGE,32,,,100,11,6,1
TRAINER_PKMN_BREEDER_M_GALEN,SIMISEAR,32,,,100,11,6,2
TRAINER_PKMN_BREEDER_M_GALEN,SIMIPOUR,32,,,100,11,6,3
TRAINER_PKMN_BREEDER_F_ADELAIDE,PATRAT,9,,,100,11,6,1
TRAINER_PKMN_BREEDER_F_ADELAIDE,LILLIPUP,9,,,100,11,6,2
TRAINER_PKMN_BREEDER_F_ADELAIDE,PIDOVE,9,,,100,11,6,3
TRAINER_LEADER_LENORA,HERDIER,18,"TAKE_DOWN,BITE,RETALIATE,LEER",,50,11,6,1
TRAINER_LEADER_LENORA,WATCHOG,20,"LEER,CRUNCH,RETALIATE,HYPNOSIS",,100,11,6,2
TRAINER_LEADER_BURGH,WHIRLIPEDE,21,"POISON_TAIL,STRUGGLE_BUG,PURSUIT,SCREECH",,100,11,6,1
TRAINER_LEADER_BURGH,DWEBBLE,21,"SMACK_DOWN,STRUGGLE_BUG,FAINT_ATTACK,SAND_ATTACK",,100,11,6,2
TRAINER_LEADER_BURGH,LEAVANNY,23,"RAZOR_LEAF,STRUGGLE_BUG,STRING_SHOT,PROTECT",,150,11,6,3
TRAINER_LEADER_ELESA,EMOLGA,25,"PURSUIT,QUICK_ATTACK,VOLT_SWITCH,AERIAL_ACE",,100,11,6,1
TRAINER_LEADER_ELESA,EMOLGA,25,"PURSUIT,QUICK_ATTACK,VOLT_SWITCH,AERIAL_ACE",,100,11,6,2
TRAINER_LEADER_ELESA,ZEBSTRIKA,27,"QUICK_ATTACK,SPARK,VOLT_SWITCH,FLAME_CHARGE",,150,11,6,3
TRAINER_LEADER_CLAY,KROKOROK,29,"CRUNCH,SWAGGER,BULLDOZE,TORMENT",,100,11,6,1
TRAINER_LEADER_CLAY,PALPITOAD,29,"MUDDY_WATER,AQUA_RING,BULLDOZE,BUBBLEBEAM",,100,11,6,2
TRAINER_LEADER_CLAY,EXCADRILL,31,"SLASH,ROCK_SLIDE,BULLDOZE,HONE_CLAWS",,150,11,6,3
TRAINER_LEADER_SKYLA,SWOOBAT,33,"HEART_STAMP,AMNESIA,ACROBATICS,ASSURANCE",,100,11,6,1
TRAINER_LEADER_SKYLA,UNFEZANT,33,"QUICK_ATTACK,AIR_SLASH,LEER,RAZOR_WIND",,100,11,6,2
TRAINER_LEADER_SKYLA,SWANNA,35,"AQUA_RING,AERIAL_ACE,AIR_SLASH,BUBBLEBEAM",,150,11,6,3
