encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_YOUNGSTER_JIMMY,JIMMY,TRAINER_CLASS_YOUNGSTER,6,,,,,,"blackwhite_trainer_index=1; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=0; map_refs=Route 2[zone=319]; matched_location=Route 2",11,6,
TRAINER_LASS_MALI,MALI,TRAINER_CLASS_LASS,6,,,,,,"blackwhite_trainer_index=2; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=3; ai=0; healer=false; money=4; prize=0; map_refs=Route 2[zone=319]; matched_location=Route 2",11,6,
TRAINER_SCHOOL_KID_M_AL,AL,TRAINER_CLASS_SCHOOL_KID_M,8,,,,,,"blackwhite_trainer_index=3; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=4; ai=5; healer=false; money=5; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_SCHOOL_KID_F_MARSHA,MARSHA,TRAINER_CLASS_SCHOOL_KID_F,8,,,,,,"blackwhite_trainer_index=4; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=5; ai=5; healer=false; money=5; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_YOUNGSTER_JOEY,JOEY,TRAINER_CLASS_YOUNGSTER,234,,,,,,"blackwhite_trainer_index=7; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=2; ai=1; healer=false; money=4; prize=0; map_refs=Dreamyard[zone=152]; matched_location=Dreamyard",11,6,
TRAINER_LASS_ERI,ERI,TRAINER_CLASS_LASS,234,,,,,,"blackwhite_trainer_index=8; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=3; ai=0; healer=false; money=4; prize=0; map_refs=Dreamyard[zone=152]; matched_location=Dreamyard",11,6,
TRAINER_WAITER_MAXWELL,MAXWELL,TRAINER_CLASS_WAITER,233,,,,,,"blackwhite_trainer_index=9; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=8; ai=1; healer=false; money=10; prize=0; map_refs=Striaton City[zone=7]; matched_location=Striaton City",11,6,
TRAINER_WAITRESS_TIA,TIA,TRAINER_CLASS_WAITRESS,233,,,,,,"blackwhite_trainer_index=10; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=9; ai=1; healer=false; money=10; prize=0; map_refs=Striaton City[zone=7]; matched_location=Striaton City",11,6,
TRAINER_NURSERY_AIDE_AUTUMN,AUTUMN,TRAINER_CLASS_NURSERY_AIDE,8,,,,,,"blackwhite_trainer_index=14; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=13; ai=1; healer=false; money=10; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_PRESCHOOLER_M_WENDY,WENDY,TRAINER_CLASS_PRESCHOOLER_M,8,,,,,,"blackwhite_trainer_index=15; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=14; ai=0; healer=false; money=1; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_PRESCHOOLER_F_DOYLE,DOYLE,TRAINER_CLASS_PRESCHOOLER_F,8,,,,,,"blackwhite_trainer_index=16; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=15; ai=0; healer=false; money=1; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_PRESCHOOLER_F_TULLY,TULLY,TRAINER_CLASS_PRESCHOOLER_F,8,,,,,,"blackwhite_trainer_index=17; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=15; ai=0; healer=false; money=1; prize=0; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
TRAINER_PKMN_BREEDER_M_GALEN,GALEN,TRAINER_CLASS_PKMN_BREEDER_M,8,,,,,,"blackwhite_trainer_index=19; source_rom_paths=a/0/9/2,a/0/9/3; battle_type=0; trainer_class_id=17; ai=5; healer=false; money=12; prize=157; map_refs=Route 3[zone=321]; matched_location=Route 3",11,6,
