game_id,location_id,canonical_location_id,species_id,min_level,max_level,method,enounter_rate
1001,,3,506,,,grass-normal,20
1002,,3,506,,,grass-normal,20
1001,,3,16,,,grass-normal,20
1002,,3,16,,,grass-normal,20
1001,,3,399,,,grass-normal,10
1002,,3,399,,,grass-normal,10
1001,,3,161,,,grass-normal,10
1002,,3,161,,,grass-normal,10
1001,,3,19,,,grass-normal,10
1002,,3,19,,,grass-normal,10
1001,,3,263,,,grass-normal,10
1002,,3,263,,,grass-normal,10
1001,,3,396,,,grass-normal,10
1002,,3,396,,,grass-normal,10
1001,,3,163,,,grass-normal,10
1002,,3,163,,,grass-normal,10
1001,,3,507,,,grass-doubles,20
1002,,3,507,,,grass-doubles,20
1001,,3,505,,,grass-doubles,20
1002,,3,505,,,grass-doubles,20
1001,,3,400,,,grass-doubles,10
1002,,3,400,,,grass-doubles,10
1001,,3,162,,,grass-doubles,10
1002,,3,162,,,grass-doubles,10
1001,,3,20,,,grass-doubles,10
1002,,3,20,,,grass-doubles,10
1001,,3,264,,,grass-doubles,10
1002,,3,264,,,grass-doubles,10
1001,,3,262,,,grass-doubles,5
1002,,3,262,,,grass-doubles,5
1001,,3,17,,,grass-doubles,5
1002,,3,17,,,grass-doubles,5
1001,,3,397,,,grass-doubles,5
1002,,3,397,,,grass-doubles,5
1001,,3,164,,,grass-doubles,5
1002,,3,164,,,grass-doubles,5
1001,,3,531,,,grass-special,80
1002,,3,531,,,grass-special,80
1001,,3,440,,,grass-special,10
1002,,3,440,,,grass-special,10
1001,,3,298,,,grass-special,10
1002,,3,298,,,grass-special,10
1001,,3,550,,,surf-normal,60
1002,,3,550,,,surf-normal,60
1001,,3,183,,,surf-normal,30
1002,,3,183,,,surf-normal,30
1001,,3,349,,,surf-normal,10
1002,,3,349,,,surf-normal,10
1001,,3,550,,,surf-special,60
1002,,3,550,,,surf-special,60
1001,,3,184,,,surf-special,30
1002,,3,184,,,surf-special,30
1001,,3,349,,,surf-special,10
1002,,3,349,,,surf-special,10
1001,,3,118,,,fish-normal,60
1002,,3,118,,,fish-normal,60
1001,,3,129,,,fish-normal,30
1002,,3,129,,,fish-normal,30
1001,,3,349,,,fish-normal,10
1002,,3,349,,,fish-normal,10
1001,,3,550,,,fish-special,60
1002,,3,550,,,fish-special,60
1001,,3,147,,,fish-special,30
1002,,3,147,,,fish-special,30
1001,,3,130,,,fish-special,5
1002,,3,130,,,fish-special,5
1001,,3,350,,,fish-special,5
1002,,3,350,,,fish-special,5
1001,,6,509,,,grass-normal,20
1002,,6,509,,,grass-normal,20
1001,,6,504,,,grass-normal,20
1002,,6,504,,,grass-normal,20
1001,,6,401,,,grass-normal,10
1002,,6,401,,,grass-normal,10
1001,,6,10,,,grass-normal,10
1002,,6,10,,,grass-normal,10
1001,,6,265,,,grass-normal,10
1002,,6,265,,,grass-normal,10
1001,,6,13,,,grass-normal,10
1002,,6,13,,,grass-normal,10
1001,,6,261,,,grass-normal,5
1002,,6,261,,,grass-normal,5
1001,,6,52,,,grass-normal,5
1002,,6,52,,,grass-normal,5
1001,,6,21,,,grass-normal,5
1002,,6,21,,,grass-normal,5
1001,,6,56,,,grass-normal,5
1002,,6,56,,,grass-normal,5
1001,,6,531,,,grass-special,60
1002,,6,531,,,grass-special,60
1001,,6,300,,,grass-special,10
1002,,6,300,,,grass-special,10
1001,,6,290,,,grass-special,10
1002,,6,290,,,grass-special,10
1001,,6,12,,,grass-special,5
1002,,6,12,,,grass-special,5
1001,,6,15,,,grass-special,5
1002,,6,15,,,grass-special,5
1001,,6,267,,,grass-special,5
1002,,6,267,,,grass-special,5
1001,,6,269,,,grass-special,5
1002,,6,269,,,grass-special,5
1001,,233,183,,,surf-normal,100
1002,,233,183,,,surf-normal,100
1001,,233,184,,,surf-special,100
1002,,233,184,,,surf-special,100
1001,,233,54,,,fish-normal,60
1002,,233,54,,,fish-normal,60
1001,,233,79,,,fish-normal,30
1002,,233,79,,,fish-normal,30
1001,,233,120,,,fish-normal,10
1002,,233,120,,,fish-normal,10
1001,,233,550,,,fish-special,60
1002,,233,550,,,fish-special,60
1001,,233,120,,,fish-special,40
1002,,233,120,,,fish-special,40
1001,,234,517,,,grass-normal,20
1002,,234,517,,,grass-normal,20
1001,,234,96,,,grass-normal,20
1002,,234,96,,,grass-normal,20
1001,,234,327,,,grass-normal,10
1002,,234,327,,,grass-normal,10
1001,,234,177,,,grass-normal,10
1002,,234,177,,,grass-normal,10
1001,,234,48,,,grass-normal,10
1002,,234,48,,,grass-normal,10
1001,,234,280,,,grass-normal,10
1002,,234,280,,,grass-normal,10
1001,,234,35,,,grass-normal,5
1002,,234,35,,,grass-normal,5
1001,,234,39,,,grass-normal,5
1002,,234,39,,,grass-normal,5
1001,,234,32,,,grass-normal,5
1002,,234,32,,,grass-normal,5
1001,,234,29,,,grass-normal,5
1002,,234,29,,,grass-normal,5
1001,,234,517,,,grass-doubles,20
1002,,234,517,,,grass-doubles,20
1001,,234,97,,,grass-doubles,20
1002,,234,97,,,grass-doubles,20
1001,,234,35,,,grass-doubles,10
1002,,234,35,,,grass-doubles,10
1001,,234,39,,,grass-doubles,10
1002,,234,39,,,grass-doubles,10
1001,,234,178,,,grass-doubles,10
1002,,234,178,,,grass-doubles,10
1001,,234,49,,,grass-doubles,10
1002,,234,49,,,grass-doubles,10
1001,,234,281,,,grass-doubles,10
1002,,234,281,,,grass-doubles,10
1001,,234,327,,,grass-doubles,10
1002,,234,327,,,grass-doubles,10
1001,,234,531,,,grass-special,40
1002,,234,531,,,grass-special,40
1001,,234,175,,,grass-special,20
1002,,234,175,,,grass-special,20
1001,,234,173,,,grass-special,10
1002,,234,173,,,grass-special,10
1001,,234,174,,,grass-special,10
1002,,234,174,,,grass-special,10
1001,,234,433,,,grass-special,10
1002,,234,433,,,grass-special,10
1001,,234,337,,,grass-special,5
1002,,234,337,,,grass-special,5
1001,,234,338,,,grass-special,5
1002,,234,338,,,grass-special,5
1001,,234,385,30,30,legendary,1
1002,,234,385,30,30,legendary,1
1001,,234,518,70,70,special,1
1002,,234,518,70,70,special,1
1001,,8,179,,,grass-normal,20
1002,,8,179,,,grass-normal,20
1001,,8,276,,,grass-normal,20
1002,,8,276,,,grass-normal,20
1001,,8,422,,,grass-normal,10
1002,,8,422,,,grass-normal,10
1001,,8,191,,,grass-normal,10
1002,,8,191,,,grass-normal,10
1001,,8,270,,,grass-normal,10
1002,,8,270,,,grass-normal,10
1001,,8,273,,,grass-normal,10
1002,,8,273,,,grass-normal,10
1001,,8,403,,,grass-normal,10
1002,,8,403,,,grass-normal,10
1001,,8,63,,,grass-normal,5
1002,,8,63,,,grass-normal,5
1001,,8,231,,,grass-normal,5
1002,,8,231,,,grass-normal,5
1001,,8,522,,,grass-doubles,20
1002,,8,522,,,grass-doubles,20
1001,,8,519,,,grass-doubles,20
1002,,8,519,,,grass-doubles,20
1001,,8,58,,,grass-doubles,10
1002,,8,58,,,grass-doubles,10
1001,,8,37,,,grass-doubles,10
1002,,8,37,,,grass-doubles,10
1001,,8,187,,,grass-doubles,10
1002,,8,187,,,grass-doubles,10
1001,,8,406,,,grass-doubles,10
1002,,8,406,,,grass-doubles,10
1001,,8,183,,,grass-doubles,5
1002,,8,183,,,grass-doubles,5
1001,,8,228,,,grass-doubles,5
1002,,8,228,,,grass-doubles,5
1001,,8,313,,,grass-doubles,4
1002,,8,313,,,grass-doubles,4
1001,,8,314,,,grass-doubles,4
1002,,8,314,,,grass-doubles,4
1001,,8,271,,,grass-doubles,1
1002,,8,271,,,grass-doubles,1
1001,,8,274,,,grass-doubles,1
1002,,8,274,,,grass-doubles,1
1001,,8,531,,,grass-special,70
1002,,8,531,,,grass-special,70
1001,,8,501,,,grass-special,10
1002,,8,501,,,grass-special,10
1001,,8,7,,,grass-special,5
1002,,8,7,,,grass-special,5
1001,,8,158,,,grass-special,5
1002,,8,158,,,grass-special,5
