species_id,move_id,learn_method,learn_level,version_group_id
1,33,level-up,1,1001
1,45,level-up,3,1001
1,73,level-up,7,1001
1,22,level-up,9,1001
1,77,level-up,13,1001
1,79,level-up,13,1001
1,36,level-up,15,1001
1,75,level-up,19,1001
1,230,level-up,21,1001
1,74,level-up,25,1001
1,38,level-up,27,1001
1,267,level-up,29,1001
1,388,level-up,31,1001
1,235,level-up,33,1001
1,402,level-up,37,1001
1,438,level-up,41,1001
2,33,level-up,1,1001
2,45,level-up,1,1001
2,73,level-up,1,1001
2,22,level-up,9,1001
2,77,level-up,13,1001
2,79,level-up,13,1001
2,36,level-up,15,1001
2,75,level-up,20,1001
2,230,level-up,23,1001
2,74,level-up,28,1001
2,38,level-up,31,1001
2,267,level-up,33,1001
2,388,level-up,36,1001
2,235,level-up,39,1001
2,76,level-up,44,1001
2,438,level-up,49,1001
2,437,level-up,53,1001
3,22,level-up,1,1001
3,33,level-up,1,1001
3,45,level-up,1,1001
3,73,level-up,1,1001
3,246,level-up,1,1001
3,77,level-up,13,1001
3,79,level-up,13,1001
3,36,level-up,15,1001
3,75,level-up,20,1001
3,230,level-up,23,1001
3,74,level-up,28,1001
3,38,level-up,31,1001
3,80,level-up,32,1001
3,267,level-up,36,1001
3,388,level-up,39,1001
3,235,level-up,45,1001
3,76,level-up,53,1001
3,438,level-up,57,1001
3,437,level-up,63,1001
4,10,level-up,1,1001
4,45,level-up,1,1001
4,52,level-up,7,1001
4,108,level-up,10,1001
4,82,level-up,16,1001
4,184,level-up,19,1001
4,424,level-up,25,1001
4,481,level-up,28,1001
4,163,level-up,34,1001
4,53,level-up,37,1001
4,83,level-up,43,1001
4,517,level-up,46,1001
4,187,level-up,50,1001
5,10,level-up,1,1001
5,45,level-up,1,1001
5,52,level-up,1,1001
5,108,level-up,10,1001
5,82,level-up,17,1001
5,184,level-up,21,1001
5,424,level-up,28,1001
5,481,level-up,32,1001
5,163,level-up,39,1001
5,53,level-up,43,1001
5,83,level-up,50,1001
5,517,level-up,54,1001
5,187,level-up,61,1001
6,10,level-up,1,1001
6,45,level-up,1,1001
6,52,level-up,1,1001
6,108,level-up,1,1001
6,242,level-up,1,1001
6,337,level-up,1,1001
6,403,level-up,1,1001
6,421,level-up,1,1001
6,82,level-up,17,1001
6,184,level-up,21,1001
6,424,level-up,28,1001
6,481,level-up,32,1001
6,17,level-up,36,1001
6,406,level-up,41,1001
6,53,level-up,47,1001
6,349,level-up,56,1001
6,517,level-up,61,1001
6,200,level-up,66,1001
6,257,level-up,71,1001
6,394,level-up,77,1001
6,187,level-up,83,1001
7,33,level-up,1,1001
7,39,level-up,4,1001
7,145,level-up,7,1001
7,110,level-up,10,1001
7,55,level-up,13,1001
7,44,level-up,16,1001
7,229,level-up,19,1001
7,182,level-up,22,1001
7,352,level-up,25,1001
7,401,level-up,28,1001
7,130,level-up,31,1001
7,428,level-up,31,1001
7,334,level-up,34,1001
7,240,level-up,37,1001
7,56,level-up,40,1001
7,323,level-up,43,1001
7,504,level-up,46,1001
8,33,level-up,1,1001
8,39,level-up,1,1001
8,145,level-up,1,1001
8,110,level-up,10,1001
8,55,level-up,13,1001
8,44,level-up,16,1001
8,453,level-up,16,1001
8,229,level-up,20,1001
8,182,level-up,24,1001
8,352,level-up,28,1001
8,401,level-up,32,1001
8,130,level-up,36,1001
8,428,level-up,36,1001
8,334,level-up,40,1001
8,240,level-up,44,1001
8,56,level-up,48,1001
8,323,level-up,52,1001
8,504,level-up,56,1001
9,33,level-up,1,1001
9,39,level-up,1,1001
9,110,level-up,1,1001
9,145,level-up,1,1001
9,192,level-up,1,1001
9,430,level-up,1,1001
9,55,level-up,13,1001
9,44,level-up,16,1001
9,453,level-up,16,1001
9,229,level-up,20,1001
9,182,level-up,24,1001
9,352,level-up,28,1001
9,401,level-up,32,1001
9,130,level-up,39,1001
9,428,level-up,39,1001
9,334,level-up,46,1001
9,240,level-up,53,1001
9,56,level-up,60,1001
9,323,level-up,67,1001
9,504,level-up,74,1001
10,33,level-up,1,1001
10,81,level-up,1,1001
10,173,level-up,1,1001
10,450,level-up,1,1001
10,522,level-up,6,1001
12,93,level-up,1,1001
12,522,level-up,1,1001
12,314,level-up,10,1001
12,77,level-up,12,1001
12,78,level-up,12,1001
12,79,level-up,12,1001
12,16,level-up,16,1001
12,48,level-up,18,1001
12,18,level-up,22,1001
12,60,level-up,24,1001
12,202,level-up,26,1001
12,318,level-up,28,1001
12,366,level-up,30,1001
12,403,level-up,32,1001
12,476,level-up,34,1001
12,219,level-up,36,1001
12,355,level-up,38,1001
12,445,level-up,40,1001
12,405,level-up,42,1001
12,483,level-up,46,1001
12,226,level-up,50,1001
13,40,level-up,1,1001
13,81,level-up,1,1001
13,450,level-up,1,1001
13,342,level-up,6,1001
15,31,level-up,1,1001
15,450,level-up,1,1001
15,99,level-up,10,1001
15,440,level-up,10,1001
15,116,level-up,13,1001
15,41,level-up,16,1001
15,404,level-up,19,1001
15,228,level-up,22,1001
15,390,level-up,25,1001
15,42,level-up,28,1001
15,97,level-up,31,1001
15,372,level-up,34,1001
15,398,level-up,37,1001
15,283,level-up,40,1001
15,224,level-up,43,1001
15,226,level-up,46,1001
16,13,level-up,1,1001
16,16,level-up,1,1001
16,33,level-up,1,1001
16,28,level-up,5,1001
16,365,level-up,9,1001
16,98,level-up,11,1001
16,185,level-up,13,1001
16,18,level-up,15,1001
16,369,level-up,17,1001
16,189,level-up,19,1001
16,239,level-up,21,1001
16,297,level-up,25,1001
16,97,level-up,29,1001
16,17,level-up,33,1001
16,355,level-up,37,1001
16,366,level-up,41,1001
16,119,level-up,45,1001
16,403,level-up,49,1001
16,542,level-up,53,1001
16,413,level-up,57,1001
17,13,level-up,1,1001
17,16,level-up,1,1001
17,28,level-up,1,1001
17,33,level-up,1,1001
17,365,level-up,9,1001
17,98,level-up,11,1001
17,185,level-up,13,1001
17,18,level-up,15,1001
17,369,level-up,17,1001
17,512,level-up,18,1001
17,211,level-up,20,1001
17,239,level-up,22,1001
17,297,level-up,27,1001
17,97,level-up,32,1001
17,17,level-up,37,1001
17,355,level-up,42,1001
17,366,level-up,47,1001
17,119,level-up,52,1001
17,403,level-up,57,1001
17,542,level-up,62,1001
17,413,level-up,67,1001
18,13,level-up,1,1001
18,16,level-up,1,1001
18,28,level-up,1,1001
18,33,level-up,1,1001
18,365,level-up,9,1001
18,98,level-up,11,1001
18,185,level-up,13,1001
18,18,level-up,15,1001
18,369,level-up,17,1001
18,512,level-up,18,1001
18,370,level-up,20,1001
18,239,level-up,22,1001
18,297,level-up,27,1001
18,97,level-up,32,1001
18,17,level-up,38,1001
18,355,level-up,44,1001
18,366,level-up,50,1001
18,119,level-up,56,1001
18,403,level-up,62,1001
18,542,level-up,68,1001
18,413,level-up,74,1001
19,33,level-up,1,1001
19,39,level-up,1,1001
19,44,level-up,1,1001
19,98,level-up,4,1001
19,116,level-up,7,1001
19,172,level-up,10,1001
19,228,level-up,13,1001
19,158,level-up,16,1001
19,389,level-up,19,1001
19,242,level-up,22,1001
19,372,level-up,25,1001
19,162,level-up,28,1001
19,38,level-up,31,1001
19,179,level-up,34,1001
19,283,level-up,37,1001
19,382,level-up,40,1001
19,515,level-up,43,1001
20,33,level-up,1,1001
20,39,level-up,1,1001
20,44,level-up,1,1001
20,98,level-up,1,1001
20,116,level-up,1,1001
20,172,level-up,10,1001
20,228,level-up,13,1001
20,158,level-up,16,1001
20,389,level-up,19,1001
20,14,level-up,20,1001
20,184,level-up,20,1001
20,422,level-up,20,1001
20,423,level-up,20,1001
20,424,level-up,20,1001
20,242,level-up,24,1001
20,372,level-up,29,1001
20,162,level-up,34,1001
20,38,level-up,39,1001
20,179,level-up,44,1001
20,283,level-up,49,1001
20,382,level-up,54,1001
20,515,level-up,59,1001
21,45,level-up,1,1001
21,49,level-up,1,1001
21,64,level-up,1,1001
21,228,level-up,1,1001
21,43,level-up,5,1001
21,31,level-up,9,1001
21,211,level-up,13,1001
21,332,level-up,17,1001
21,119,level-up,21,1001
21,97,level-up,25,1001
21,372,level-up,29,1001
21,355,level-up,33,1001
21,65,level-up,37,1001
22,31,level-up,1,1001
22,43,level-up,1,1001
22,45,level-up,1,1001
22,64,level-up,1,1001
22,228,level-up,1,1001
22,365,level-up,1,1001
22,211,level-up,13,1001
22,332,level-up,17,1001
22,119,level-up,23,1001
22,97,level-up,29,1001
22,372,level-up,35,1001
22,355,level-up,41,1001
22,65,level-up,47,1001
22,529,level-up,53,1001
23,35,level-up,1,1001
23,43,level-up,1,1001
23,40,level-up,4,1001
23,44,level-up,9,1001
23,137,level-up,12,1001
23,103,level-up,17,1001
23,51,level-up,20,1001
23,342,level-up,22,1001
23,254,level-up,25,1001
23,255,level-up,25,1001
23,256,level-up,25,1001
23,491,level-up,28,1001
23,426,level-up,33,1001
23,380,level-up,36,1001
23,114,level-up,41,1001
23,489,level-up,44,1001
23,441,level-up,49,1001
24,35,level-up,1,1001
24,40,level-up,1,1001
24,43,level-up,1,1001
24,44,level-up,1,1001
24,422,level-up,1,1001
24,423,level-up,1,1001
24,424,level-up,1,1001
24,137,level-up,12,1001
24,103,level-up,17,1001
24,51,level-up,20,1001
24,242,level-up,22,1001
24,342,level-up,23,1001
24,254,level-up,27,1001
24,255,level-up,27,1001
24,256,level-up,27,1001
24,491,level-up,32,1001
24,426,level-up,39,1001
24,380,level-up,44,1001
24,114,level-up,51,1001
24,489,level-up,56,1001
24,441,level-up,63,1001
25,45,level-up,1,1001
25,84,level-up,1,1001
25,39,level-up,5,1001
25,86,level-up,10,1001
25,98,level-up,13,1001
25,486,level-up,18,1001
25,104,level-up,21,1001
25,21,level-up,26,1001
25,85,level-up,29,1001
25,268,level-up,32,1001
25,364,level-up,34,1001
25,97,level-up,37,1001
25,435,level-up,42,1001
25,113,level-up,45,1001
25,87,level-up,50,1001
25,344,level-up,54,1001
26,39,level-up,1,1001
26,84,level-up,1,1001
26,85,level-up,1,1001
26,98,level-up,1,1001
26,344,level-up,54,1001
27,10,level-up,1,1001
27,111,level-up,3,1001
27,28,level-up,7,1001
27,40,level-up,9,1001
27,229,level-up,13,1001
27,129,level-up,15,1001
27,400,level-up,17,1001
27,154,level-up,19,1001
27,205,level-up,21,1001
27,232,level-up,23,1001
27,210,level-up,25,1001
27,328,level-up,27,1001
27,162,level-up,29,1001
27,163,level-up,31,1001
27,360,level-up,33,1001
27,201,level-up,37,1001
28,10,level-up,1,1001
28,28,level-up,1,1001
28,111,level-up,1,1001
28,40,level-up,9,1001
28,229,level-up,13,1001
28,129,level-up,15,1001
28,400,level-up,17,1001
28,154,level-up,19,1001
28,205,level-up,21,1001
28,306,level-up,22,1001
28,232,level-up,25,1001
28,210,level-up,28,1001
28,328,level-up,33,1001
28,162,level-up,37,1001
28,163,level-up,40,1001
28,360,level-up,45,1001
28,201,level-up,52,1001
29,10,level-up,1,1001
29,45,level-up,1,1001
29,236,level-up,1,1001
29,39,level-up,7,1001
29,24,level-up,9,1001
29,186,level-up,11,1001
29,40,level-up,13,1001
29,142,level-up,16,1001
29,154,level-up,19,1001
29,44,level-up,21,1001
29,270,level-up,25,1001
29,162,level-up,28,1001
29,390,level-up,31,1001
29,260,level-up,33,1001
29,242,level-up,37,1001
29,445,level-up,43,1001
29,305,level-up,45,1001
30,10,level-up,1,1001
30,45,level-up,1,1001
30,39,level-up,7,1001
30,24,level-up,9,1001
30,40,level-up,13,1001
30,154,level-up,20,1001
30,44,level-up,23,1001
30,270,level-up,28,1001
30,162,level-up,31,1001
30,390,level-up,35,1001
30,260,level-up,38,1001
30,242,level-up,43,1001
30,445,level-up,50,1001
30,305,level-up,58,1001
32,43,level-up,1,1001
32,64,level-up,1,1001
32,234,level-up,1,1001
32,116,level-up,7,1001
32,24,level-up,9,1001
32,186,level-up,11,1001
32,40,level-up,13,1001
32,142,level-up,16,1001
32,31,level-up,19,1001
32,30,level-up,21,1001
32,270,level-up,25,1001
32,162,level-up,28,1001
32,390,level-up,31,1001
32,260,level-up,33,1001
32,398,level-up,37,1001
32,445,level-up,43,1001
32,32,level-up,45,1001
33,43,level-up,1,1001
33,64,level-up,1,1001
33,116,level-up,7,1001
33,24,level-up,9,1001
33,40,level-up,13,1001
33,31,level-up,20,1001
33,30,level-up,23,1001
33,270,level-up,28,1001
33,162,level-up,31,1001
33,390,level-up,35,1001
33,260,level-up,38,1001
33,398,level-up,43,1001
33,445,level-up,50,1001
33,32,level-up,58,1001
35,1,level-up,1,1001
35,45,level-up,1,1001
35,118,level-up,1,1001
35,227,level-up,4,1001
35,47,level-up,7,1001
35,3,level-up,10,1001
35,111,level-up,13,1001
35,266,level-up,16,1001
35,107,level-up,19,1001
35,358,level-up,22,1001
35,516,level-up,25,1001
35,322,level-up,28,1001
35,381,level-up,31,1001
35,312,level-up,34,1001
35,356,level-up,37,1001
35,236,level-up,40,1001
35,500,level-up,43,1001
35,113,level-up,46,1001
35,361,level-up,49,1001
35,495,level-up,52,1001
35,309,level-up,55,1001
36,3,level-up,1,1001
36,47,level-up,1,1001
36,107,level-up,1,1001
36,118,level-up,1,1001
36,7,level-up,23,1001
36,8,level-up,23,1001
36,9,level-up,23,1001
36,187,level-up,35,1001
36,273,level-up,47,1001
37,52,level-up,1,1001
37,83,level-up,1,1001
37,39,level-up,4,1001
37,46,level-up,7,1001
37,98,level-up,11,1001
37,481,level-up,14,1001
37,109,level-up,17,1001
37,286,level-up,21,1001
37,506,level-up,24,1001
37,219,level-up,27,1001
37,261,level-up,31,1001
37,399,level-up,34,1001
37,53,level-up,37,1001
37,445,level-up,41,1001
37,517,level-up,44,1001
37,288,level-up,47,1001
37,326,level-up,51,1001
37,126,level-up,54,1001
