species_id,generation,ability1,ability2,ability3,version_group_id
1,,Overgrow,Chlorophyll,,1001
2,,Overgrow,Chlorophyll,,1001
3,,Overgrow,Chlorophyll,,1001
4,,Blaze,Solar Power,,1001
5,,Blaze,Solar Power,,1001
6,,Blaze,Solar Power,,1001
7,,Torrent,Sturdy,,1001
8,,Torrent,Sturdy,,1001
9,,Torrent,Sturdy,,1001
10,,Shield Dust,Suction Cups,,1001
11,,Shed Skin,Battle Armor,,1001
12,,Compound Eyes,Tinted Lens,,1001
13,,Shield Dust,Poison Touch,,1001
14,,Shed Skin,Battle Armor,,1001
15,,Sniper,Poison Touch,,1001
16,,Big Pecks,Tangled Feet,,1001
17,,Big Pecks,Tangled Feet,,1001
18,,Big Pecks,Tangled Feet,,1001
19,,Hustle,Guts,,1001
20,,Hustle,Guts,,1001
21,,Keen Eye,Sniper,,1001
22,,Keen Eye,Sniper,,1001
23,,Intimidate,Shed Skin,,1001
24,,Intimidate,Shed Skin,,1001
25,,Static,Lightning Rod,,1001
26,,Static,Lightning Rod,,1001
27,,Sand Veil,Sand Rush,,1001
28,,Sand Veil,Sand Rush,,1001
29,,Poison Point,Rivalry,,1001
30,,Hustle,Rivalry,,1001
31,,Sheer Force,Rivalry,,1001
32,,Poison Point,Rivalry,,1001
33,,Hustle,Rivalry,,1001
34,,Sheer Force,Rivalry,,1001
35,,Cute Charm,Magic Guard,,1001
36,,Unaware,Magic Guard,,1001
37,,Flash Fire,Drought,,1001
38,,Flash Fire,Drought,,1001
39,,Cute Charm,Friend Guard,,1001
40,,Cute Charm,Frisk,,1001
41,,Inner Focus,Infiltrator,,1001
42,,Inner Focus,Infiltrator,,1001
43,,Chlorophyll,Run Away,,1001
44,,Chlorophyll,Stench,,1001
45,,Chlorophyll,Effect Spore,,1001
46,,Effect Spore,Dry Skin,,1001
47,,Effect Spore,Dry Skin,,1001
48,,Compound Eyes,Tinted Lens,,1001
49,,Wonder Skin,Tinted Lens,,1001
50,,Sand Force,Arena Trap,,1001
51,,Sand Force,Arena Trap,,1001
52,,Pickup,Technician,,1001
53,,Limber,Technician,,1001
54,,Swift Swim,Cloud Nine,,1001
55,,Swift Swim,Cloud Nine,,1001
56,,Defiant,Anger Point,,1001
57,,Defiant,Anger Point,,1001
58,,Intimidate,Justified,,1001
59,,Intimidate,Justified,,1001
60,,Water Absorb,Swift Swim,,1001
61,,Water Absorb,Swift Swim,,1001
62,,Water Absorb,Swift Swim,,1001
63,,Synchronize,Magic Guard,,1001
64,,Synchronize,Magic Guard,,1001
65,,Synchronize,Magic Guard,,1001
66,,Guts,No Guard,,1001
67,,Guts,No Guard,,1001
68,,Guts,No Guard,,1001
69,,Chlorophyll,Limber,,1001
70,,Chlorophyll,Gluttony,,1001
71,,Chlorophyll,Intimidate,,1001
72,,Clear Body,Liquid Ooze,,1001
73,,Clear Body,Liquid Ooze,,1001
74,,Rock Head,Sturdy,,1001
75,,Rock Head,Sturdy,,1001
76,,Rock Head,Sturdy,,1001
77,,Flame Body,Flash Fire,,1001
78,,Flame Body,Flash Fire,,1001
79,,Regenerator,Drizzle,,1001
80,,Regenerator,Drizzle,,1001
81,,Magnet Pull,Analytic,,1001
82,,Magnet Pull,Analytic,,1001
83,,Defiant,Super Luck,,1001
84,,Tangled Feet,Early Bird,,1001
85,,Anger Point,Early Bird,,1001
86,,Thick Fat,Hydration,,1001
87,,Thick Fat,Hydration,,1001
88,,Stench,Poison Touch,,1001
89,,Stench,Poison Touch,,1001
90,,Overcoat,Skill Link,,1001
91,,Overcoat,Skill Link,,1001
92,,Levitate,Levitate,,1001
93,,Levitate,Levitate,,1001
94,,Levitate,Levitate,,1001
95,,Weak Armor,Sturdy,,1001
96,,Insomnia,Forewarn,,1001
97,,Insomnia,Forewarn,,1001
98,,Hyper Cutter,Sheer Force,,1001
99,,Hyper Cutter,Sheer Force,,1001
100,,Aftermath,Static,,1001
101,,Aftermath,Static,,1001
102,,Chlorophyll,Harvest,,1001
103,,Chlorophyll,Harvest,,1001
104,,Rock Head,Mold Breaker,,1001
105,,Rock Head,Mold Breaker,,1001
106,,Unburden,Reckless,,1001
107,,Inner Focus,Iron Fist,,1001
108,,Cloud Nine,Gluttony,,1001
109,,Levitate,Levitate,,1001
110,,Levitate,Levitate,,1001
111,,Reckless,Rock Head,,1001
112,,Reckless,Rock Head,,1001
113,,Natural Cure,Serene Grace,,1001
114,,Chlorophyll,Regenerator,,1001
115,,Early Bird,Scrappy,,1001
116,,Swift Swim,Sniper,,1001
117,,Poison Point,Poison Touch,,1001
118,,Swift Swim,Lightning Rod,,1001
119,,Swift Swim,Lightning Rod,,1001
120,,Regenerator,Natural Cure,,1001
121,,Regenerator,Natural Cure,,1001
122,,Technician,Filter,,1001
123,,Swarm,Technician,,1001
124,,Trace,Dry Skin,,1001
125,,Static,Vital Spirit,,1001
126,,Flame Body,Vital Spirit,,1001
127,,Moxie,Mold Breaker,,1001
128,,Intimidate,Sheer Force,,1001
129,,Swift Swim,Rattled,,1001
130,,Intimidate,Moxie,,1001
131,,Water Absorb,Shell Armor,,1001
132,,Imposter,Imposter,,1001
133,,Anticipation,Adaptability,,1001
134,,Water Absorb,Hydration,,1001
135,,Volt Absorb,Lightning Rod,,1001
136,,Flash Fire,Sheer Force,,1001
137,,Trace,Download,,1001
138,,Swift Swim,Shell Armor,,1001
139,,Swift Swim,Iron Barbs,,1001
140,,Swift Swim,Battle Armor,,1001
141,,Swift Swim,Hyper Cutter,,1001
142,,Rock Head,Pressure,,1001
143,,Gluttony,Thick Fat,,1001
144,,Pressure,Snow Cloak,,1001
145,,Pressure,Lightning Rod,,1001
146,,Pressure,Flame Body,,1001
147,,Shed Skin,Marvel Scale,,1001
148,,Shed Skin,Marvel Scale,,1001
149,,Multiscale,Marvel Scale,,1001
150,,Pressure,Unnerve,,1001
151,,Synchronize,Magic Guard,,1001
152,,Overgrow,Natural Cure,,1001
153,,Overgrow,Natural Cure,,1001
154,,Overgrow,Natural Cure,,1001
155,,Blaze,Flash Fire,,1001
156,,Blaze,Flash Fire,,1001
157,,Blaze,Flash Fire,,1001
158,,Torrent,Sheer Force,,1001
159,,Torrent,Sheer Force,,1001
160,,Torrent,Sheer Force,,1001
161,,Frisk,Keen Eye,,1001
162,,Frisk,Keen Eye,,1001
163,,Insomnia,Tinted Lens,,1001
164,,Insomnia,Tinted Lens,,1001
165,,Rattled,Early Bird,,1001
166,,Iron Fist,Early Bird,,1001
167,,Sniper,Insomnia,,1001
168,,Sniper,Insomnia,,1001
169,,Inner Focus,Infiltrator,,1001
170,,Volt Absorb,Water Absorb,,1001
171,,Volt Absorb,Water Absorb,,1001
172,,Static,Lightning Rod,,1001
173,,Friend Guard,Magic Guard,,1001
174,,Cute Charm,Friend Guard,,1001
175,,Super Luck,Serene Grace,,1001
176,,Super Luck,Serene Grace,,1001
177,,Synchronize,Magic Bounce,,1001
178,,Synchronize,Magic Bounce,,1001
179,,Static,Overcoat,,1001
180,,Static,Overcoat,,1001
181,,Static,Overcoat,,1001
182,,Chlorophyll,Own Tempo,,1001
183,,Sap Sipper,Huge Power,,1001
184,,Sap Sipper,Huge Power,,1001
185,,Sturdy,Rattled,,1001
186,,Water Absorb,Drizzle,,1001
187,,Chlorophyll,Prankster,,1001
188,,Chlorophyll,Prankster,,1001
189,,Chlorophyll,Prankster,,1001
190,,Skill Link,Pickup,,1001
191,,Chlorophyll,Simple,,1001
192,,Chlorophyll,Simple,,1001
193,,Speed Boost,Compound Eyes,,1001
194,,Unaware,Water Absorb,,1001
195,,Unaware,Water Absorb,,1001
196,,Synchronize,Magic Bounce,,1001
197,,Synchronize,Prankster,,1001
198,,Prankster,Super Luck,,1001
199,,Regenerator,Drizzle,,1001
200,,Levitate,Levitate,,1001
201,,Levitate,Levitate,,1001
202,,Shadow Tag,Telepathy,,1001
203,,Sap Sipper,Early Bird,,1001
204,,Sturdy,Overcoat,,1001
205,,Sturdy,Overcoat,,1001
206,,Serene Grace,Rattled,,1001
207,,Hyper Cutter,Immunity,,1001
208,,Sheer Force,Sturdy,,1001
209,,Intimidate,Rattled,,1001
210,,Intimidate,Rattled,,1001
211,,Poison Touch,Intimidate,,1001
212,,Swarm,Technician,,1001
213,,Sturdy,Solid Rock,,1001
214,,Moxie,Guts,,1001
215,,Pickpocket,Technician,,1001
216,,Pickup,Honey Gather,,1001
217,,Guts,Sheer Force,,1001
218,,Magma Armor,Flame Body,,1001
219,,Solid Rock,Flame Body,,1001
220,,Thick Fat,Snow Cloak,,1001
221,,Thick Fat,Snow Cloak,,1001
222,,Regenerator,Natural Cure,,1001
223,,Moody,Sniper,,1001
224,,Moody,Sniper,,1001
225,,Vital Spirit,Technician,,1001
226,,Swift Swim,Water Absorb,,1001
227,,Light Metal,Sturdy,,1001
228,,Intimidate,Flash Fire,,1001
229,,Intimidate,Flash Fire,,1001
230,,Swift Swim,Sniper,,1001
231,,Pickup,Sand Veil,,1001
232,,Sturdy,Sand Force,,1001
233,,Trace,Download,,1001
234,,Intimidate,Sap Sipper,,1001
235,,Moody,Technician,,1001
236,,Guts,Vital Spirit,,1001
237,,Intimidate,Technician,,1001
238,,Trace,Hydration,,1001
239,,Static,Vital Spirit,,1001
240,,Flame Body,Vital Spirit,,1001
241,,Thick Fat,Scrappy,,1001
242,,Natural Cure,Serene Grace,,1001
243,,Pressure,Volt Absorb,,1001
244,,Pressure,Flash Fire,,1001
245,,Pressure,Water Absorb,,1001
246,,Guts,Hustle,,1001
247,,Shed Skin,Battle Armor,,1001
248,,Sand Stream,Battle Armor,,1001
249,,Pressure,Multiscale,,1001
250,,Pressure,Regenerator,,1001
251,,Natural Cure,Magic Guard,,1001
252,,Overgrow,Adaptability,,1001
253,,Overgrow,Adaptability,,1001
254,,Overgrow,Adaptability,,1001
255,,Blaze,Speed Boost,,1001
256,,Blaze,Speed Boost,,1001
257,,Blaze,Speed Boost,,1001
258,,Torrent,Mold Breaker,,1001
259,,Torrent,Mold Breaker,,1001
260,,Torrent,Mold Breaker,,1001
