species_id,generation,bst,hp,atk,def,spa,spd,spe,version_group_id
12,,420,60,45,50,95,80,90,1001
15,,385,65,95,40,45,45,95,1001
18,,521,105,90,85,70,80,91,1001
20,,436,60,87,60,50,70,109,1001
22,,452,65,100,65,61,61,100,1001
24,,457,60,96,69,80,65,87,1001
25,,390,35,80,30,85,50,110,1001
26,,525,60,100,55,100,90,120,1001
31,,510,90,92,87,90,75,76,1001
34,,515,81,102,77,95,75,85,1001
36,,501,105,70,73,93,100,60,1001
39,,323,128,65,20,65,25,20,1001
40,,503,140,83,60,95,80,45,1001
45,,510,85,80,85,110,100,50,1001
47,,480,80,110,100,60,90,40,1001
49,,470,70,65,60,100,75,100,1001
51,,450,35,105,50,70,70,120,1001
53,,460,65,70,60,85,65,115,1001
57,,480,65,115,60,60,70,110,1001
62,,500,90,105,95,70,70,70,1001
71,,550,90,115,65,100,100,80,1001
76,,485,90,110,130,55,55,45,1001
83,,475,70,105,70,50,70,110,1001
87,,490,90,70,80,85,95,70,1001
95,,410,35,70,160,30,45,70,1001
105,,450,60,80,110,50,80,70,1001
110,,500,65,90,120,95,70,60,1001
119,,490,80,112,65,65,80,88,1001
122,,470,40,45,65,100,120,100,1001
124,,470,65,50,35,125,95,100,1001
128,,500,75,110,95,40,70,110,1001
136,,525,110,130,65,60,65,95,1001
162,,435,85,86,64,45,55,100,1001
164,,462,100,50,50,96,96,70,1001
165,,265,40,40,30,20,80,55,1001
166,,430,55,95,50,35,110,85,1001
168,,440,70,90,70,60,70,80,1001
171,,480,125,58,58,86,86,67,1001
178,,480,65,75,70,100,70,100,1001
182,,520,85,80,95,100,110,50,1001
183,,280,70,20,50,50,50,40,1001
184,,460,110,50,80,90,80,50,1001
185,,470,85,115,130,30,80,30,1001
192,,495,75,75,85,135,95,30,1001
195,,450,95,95,95,65,65,35,1001
201,,456,48,112,48,112,48,88,1001
203,,495,70,80,65,110,65,105,1001
206,,455,120,90,70,65,65,45,1001
208,,515,75,90,200,55,65,30,1001
210,,465,105,120,75,60,60,45,1001
211,,480,65,95,85,95,55,85,1001
219,,505,60,50,135,115,115,30,1001
222,,485,65,55,115,105,110,35,1001
225,,475,50,95,55,105,55,115,1001
234,,470,73,100,62,85,65,85,1001
235,,290,55,20,35,20,45,115,1001
241,,500,95,90,105,40,70,100,1001
262,,435,70,105,70,60,60,70,1001
264,,435,78,85,61,50,61,100,1001
267,,420,60,70,50,105,50,85,1001
269,,420,60,50,70,50,105,85,1001
277,,480,70,100,60,75,50,125,1001
279,,465,60,50,120,100,70,65,1001
280,,218,28,25,25,65,35,40,1001
281,,308,38,35,35,95,55,50,1001
284,,484,70,60,62,100,102,90,1001
288,,460,80,100,80,55,55,90,1001
301,,450,70,75,65,95,55,90,1001
302,,460,70,95,95,65,85,50,1001
303,,460,70,105,90,55,90,50,1001
313,,430,80,30,60,90,80,90,1001
314,,430,80,30,60,80,90,90,1001
317,,497,100,73,83,103,83,55,1001
324,,500,70,100,140,100,70,20,1001
327,,480,80,80,80,80,80,80,1001
330,,550,80,110,75,110,75,100,1001
334,,520,75,70,90,100,105,80,1001
337,,480,90,55,65,115,85,70,1001
338,,480,90,115,85,55,65,70,1001
340,,488,110,98,73,76,71,60,1001
351,,500,80,80,70,100,70,100,1001
352,,480,100,90,70,60,120,40,1001
354,,485,64,130,65,83,63,80,1001
357,,535,110,85,90,90,90,70,1001
358,,500,70,50,80,110,100,90,1001
362,,500,100,100,120,60,60,60,1001
370,,450,50,35,60,100,80,125,1001
398,,510,100,120,80,50,60,100,1001
400,,435,89,95,60,60,60,71,1001
402,,425,77,104,51,55,51,87,1001
405,,535,80,120,79,95,79,82,1001
407,,525,60,70,65,125,105,100,1001
413,,524,60,99,115,99,115,36,1001
414,,480,70,94,50,104,96,66,1001
417,,460,60,45,70,100,90,95,1001
421,,480,70,60,70,107,78,95,1001
429,,525,70,70,70,105,105,105,1001
430,,525,120,125,52,105,52,71,1001
432,,479,89,91,64,64,59,112,1001
441,,475,76,65,56,112,55,111,1001
455,,514,74,120,72,90,72,86,1001
457,,490,69,69,76,89,86,101,1001
478,,500,70,80,70,100,70,110,1001
479,,460,50,50,77,95,77,111,1001
489,,540,90,90,90,90,90,90,1001
497,,535,82,75,95,75,95,113,1001
500,,535,120,130,80,70,80,55,1001
503,,535,95,100,85,105,70,80,1001
505,,445,60,85,69,85,69,77,1001
508,,520,105,110,90,45,90,80,1001
510,,466,64,98,50,98,50,106,1001
519,,264,50,36,30,55,50,43,1001
520,,358,62,50,42,77,62,65,1001
521,,518,80,65,55,115,100,103,1001
528,,485,77,67,55,107,65,114,1001
537,,519,105,95,75,95,75,74,1001
550,,480,70,102,65,80,55,108,1001
556,,486,75,101,67,116,67,60,1001
561,,500,72,58,80,108,80,102,1001
569,,494,80,95,82,80,82,75,1001
573,,480,75,105,60,65,60,115,1001
576,,500,70,45,95,115,110,65,1001
579,,500,110,65,85,125,85,30,1001
581,,503,75,97,63,97,63,108,1001
584,,535,70,70,80,145,90,80,1001
586,,500,80,115,70,60,70,105,1001
587,,468,55,95,60,95,60,103,1001
594,,485,165,90,80,40,45,65,1001
596,,492,70,77,60,107,60,118,1001
601,,535,60,115,115,70,85,90,1001
606,,505,75,75,95,125,95,40,1001
614,,540,110,130,85,70,85,60,1001
615,,530,80,50,60,100,135,105,1001
618,,491,109,66,84,101,99,32,1001
623,,513,99,124,90,55,90,55,1001
625,,510,65,125,100,60,70,90,1001
631,,510,85,100,70,115,70,70,1001
632,,510,75,111,112,48,55,109,1001
