encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot,ability,ability_clean,nature
TRAINER_BB_PKMN_RANGER_BRENDA,VAPOREON,52,,,,1001,7,1,,,
TRAINER_BB_PKMN_RANGER_BRENDA,ABSOL,52,,,,1001,7,2,,,
TRAINER_BB_PKMN_RANGER_CLAUDE,DRIFBLIM,52,,,,1001,7,1,,,
TRAINER_BB_PKMN_RANGER_CLAUDE,LICKILICKY,52,,,,1001,7,2,,,
TRAINER_BB_FISHERMAN_SEAN,SEADRA,50,,,,1001,7,1,,,
TRAINER_BB_FISHERMAN_SEAN,SEAKING,50,,,,1001,7,2,,,
TRAINER_BB_FISHERMAN_SEAN,KINGLER,50,,,,1001,7,3,,,
TRAINER_BB_YOUNGSTER_JIMMY,HOOTHOOT,7,,,,1001,7,1,,,
TRAINER_BB_YOUNGSTER_JIMMY,WURMPLE,7,,,,1001,7,2,,,
TRAINER_BB_YOUNGSTER_JIMMY,PATRAT,7,,,,1001,7,3,,,
TRAINER_BB_LASS_MAIL,ZIGZAGOON,7,,,,1001,7,1,,,
TRAINER_BB_LASS_MAIL,MEOWTH,7,,,,1001,7,2,,,
TRAINER_BB_LASS_MAIL,PIDGEY,7,,,,1001,7,3,,,
TRAINER_BB_LASS_MAIL,CATERPIE,7,,,,1001,7,4,,,
TRAINER_BB_YOUNGSTER_ROLAND,LILLIPUP,7,,,,1001,7,1,,,
TRAINER_BB_YOUNGSTER_ROLAND,BIDOOF,7,,,,1001,7,2,,,
TRAINER_BB_YOUNGSTER_ROLAND,KRICKETOT,7,,,,1001,7,3,,,
TRAINER_BB_YOUNGSTER_ROLAND,WEEDLE,7,,,,1001,7,4,,,
TRAINER_BB_WAITER_MAXWELL,SLOWPOKE,11,,,,1001,7,1,,,
TRAINER_BB_WAITER_MAXWELL,GROWLITHE,11,,,,1001,7,2,,,
TRAINER_BB_WAITER_MAXWELL,BUDEW,11,,,,1001,7,3,,,
TRAINER_BB_WAITRESS_TIA,HOPPIP,12,,,,1001,7,1,,,
TRAINER_BB_WAITRESS_TIA,SLUGMA,12,,,,1001,7,2,,,
TRAINER_BB_WAITRESS_TIA,MARILL,12,,,,1001,7,3,,,
TRAINER_BB_LASS_ERI,SENTRET,10,,,,1001,7,1,,,
