encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_BB_PKMN_RANGER_BRENDA,BRENDA,TRAINER_CLASS_PKMN_RANGER,3,,,,TRAINER_PIC_BW_POKEMON_RANGER_F,,blazeblack_doc=trainer_rosters; location_header=Route 1,1001,7,
TRAINER_BB_PKMN_RANGER_CLAUDE,CLAUDE,TRAINER_CLASS_PKMN_RANGER,3,,,,TRAINER_PIC_BW_POKEMON_RANGER_M,,blazeblack_doc=trainer_rosters; location_header=Route 1,1001,7,
TRAINER_BB_FISHERMAN_SEAN,SEAN,TRAINER_CLASS_FISHERMAN,3,,,,TRAINER_PIC_BW_FISHERMAN,,blazeblack_doc=trainer_rosters; location_header=Route 1,1001,7,
TRAINER_BB_YOUNGSTER_JIMMY,JIMMY,TRAINER_CLASS_YOUNGSTER,6,,,,TRAINER_PIC_BW_YOUNGSTER,,blazeblack_doc=trainer_rosters; location_header=Route 2,1001,7,
TRAINER_BB_LASS_MAIL,MAIL,TRAINER_CLASS_LASS,6,,,,TRAINER_PIC_BW_LASS,,blazeblack_doc=trainer_rosters; location_header=Route 2,1001,7,
TRAINER_BB_YOUNGSTER_ROLAND,ROLAND,TRAINER_CLASS_YOUNGSTER,6,,,,TRAINER_PIC_BW_YOUNGSTER,,blazeblack_doc=trainer_rosters; location_header=Route 2,1001,7,
TRAINER_BB_WAITER_MAXWELL,MAXWELL,TRAINER_CLASS_WAITER,233,,,,TRAINER_PIC_BW_WAITER,,blazeblack_doc=trainer_rosters; location_header=Striation City,1001,7,
TRAINER_BB_WAITRESS_TIA,TIA,TRAINER_CLASS_WAITRESS,233,,,,TRAINER_PIC_BW_WAITRESS,,blazeblack_doc=trainer_rosters; location_header=Striation City,1001,7,
TRAINER_BB_LASS_ERI,ERI,TRAINER_CLASS_LASS,234,,,,TRAINER_PIC_BW_LASS,,blazeblack_doc=trainer_rosters; location_header=Dreamyard,1001,7,
TRAINER_BB_YOUNGSTER_JOEY,JOEY,TRAINER_CLASS_YOUNGSTER,234,,,,TRAINER_PIC_BW_YOUNGSTER,,blazeblack_doc=trainer_rosters; location_header=Dreamyard,1001,7,
TRAINER_BB_PLASMA_GRUNT_PLASMA_GRUNT,PLASMA GRUNT,TRAINER_CLASS_PLASMA_GRUNT,234,,,,TRAINER_PIC_BW_PLASMA_GRUNT_M,,blazeblack_doc=trainer_rosters; location_header=Dreamyard,1001,7,
TRAINER_BB_PLASMA_GRUNT_PLASMA_GRUNT_2,PLASMA GRUNT,TRAINER_CLASS_PLASMA_GRUNT,234,,,,TRAINER_PIC_BW_PLASMA_GRUNT_M,,blazeblack_doc=trainer_rosters; location_header=Dreamyard,1001,7,
TRAINER_BB_DUO_KUMI_AMY,KUMI & AMY,TRAINER_CLASS_DUO,8,,,,TRAINER_PIC_BW_TWINS,true,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_NURSERY_AIDE_AUTUMN,AUTUMN,TRAINER_CLASS_NURSERY_AIDE,8,,,,TRAINER_PIC_BW_NURSERY_AIDE,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PRESCHOOLER_DOYLE,DOYLE,TRAINER_CLASS_PRESCHOOLER,8,,,,TRAINER_PIC_BW_PRESCHOOLER_M,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PRESCHOOLER_WENDY,WENDY,TRAINER_CLASS_PRESCHOOLER,8,,,,TRAINER_PIC_BW_PRESCHOOLER_F,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PRESCHOOLER_TULLY,TULLY,TRAINER_CLASS_PRESCHOOLER,8,,,,TRAINER_PIC_BW_PRESCHOOLER_M,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PKMN_BREEDER_ADELAIDE,ADELAIDE,TRAINER_CLASS_PKMN_BREEDER,8,,,,TRAINER_PIC_BW_POKEMON_BREEDER_F,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_SCHOOL_KID_AL,AL,TRAINER_CLASS_SCHOOL_KID,8,,,,TRAINER_PIC_BW_SCHOOL_KID_M,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_SCHOOL_KID_MARSHA,MARSHA,TRAINER_CLASS_SCHOOL_KID,8,,,,TRAINER_PIC_BW_SCHOOL_KID_F,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_SCHOOL_KID_GINA,GINA,TRAINER_CLASS_SCHOOL_KID,8,,,,TRAINER_PIC_BW_SCHOOL_KID_F,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_SCHOOL_KID_EDGAR,EDGAR,TRAINER_CLASS_SCHOOL_KID,8,,,,TRAINER_PIC_BW_SCHOOL_KID_M,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PKMN_BREEDER_GALEN,GALEN,TRAINER_CLASS_PKMN_BREEDER,8,,,,TRAINER_PIC_BW_POKEMON_BREEDER_M,,blazeblack_doc=trainer_rosters; location_header=Route 3,1001,7,
TRAINER_BB_PLASMA_GRUNT_PLASMA_GRUNT_3,PLASMA GRUNT,TRAINER_CLASS_PLASMA_GRUNT,235,,,,TRAINER_PIC_BW_PLASMA_GRUNT_M,,blazeblack_doc=trainer_rosters; location_header=Wellspring Cave,1001,7,
TRAINER_BB_PLASMA_GRUNT_PLASMA_GRUNT_4,PLASMA GRUNT,TRAINER_CLASS_PLASMA_GRUNT,235,,,,TRAINER_PIC_BW_PLASMA_GRUNT_M,,blazeblack_doc=trainer_rosters; location_header=Wellspring Cave,1001,7,
TRAINER_BB_PLASMA_GRUNT_PLASMA_GRUNT_5,PLASMA GRUNT,TRAINER_CLASS_PLASMA_GRUNT,235,,,,TRAINER_PIC_BW_PLASMA_GRUNT_M,,blazeblack_doc=trainer_rosters; location_header=Wellspring Cave,1001,7,
TRAINER_BB_LASS_DYE,DYE,TRAINER_CLASS_LASS,236,,,,TRAINER_PIC_BW_LASS,,blazeblack_doc=trainer_rosters; location_header=Nacrene City,1001,7,
TRAINER_BB_SCHOOL_KID_CARTER,CARTER,TRAINER_CLASS_SCHOOL_KID,236,,,,TRAINER_PIC_BW_SCHOOL_KID_M,,blazeblack_doc=trainer_rosters; location_header=Nacrene City,1001,7,
TRAINER_BB_SCIENTIST_SATOMI,SATOMI,TRAINER_CLASS_SCIENTIST,236,,,,TRAINER_PIC_BW_SCIENTIST_F,,blazeblack_doc=trainer_rosters; location_header=Nacrene City,1001,7,
TRAINER_BB_SCHOOL_KID_LYDIA,LYDIA,TRAINER_CLASS_SCHOOL_KID,236,,,,TRAINER_PIC_BW_SCHOOL_KID_F,,blazeblack_doc=trainer_rosters; location_header=Nacrene City,1001,7,
TRAINER_BB_NURSE_SHERY,SHERY,TRAINER_CLASS_NURSE,237,,,,TRAINER_PIC_BW_NURSE,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
TRAINER_BB_PRESCHOOLER_JULIET,JULIET,TRAINER_CLASS_PRESCHOOLER,237,,,,TRAINER_PIC_BW_PRESCHOOLER_F,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
TRAINER_BB_PRESCHOOLER_HOMER,HOMER,TRAINER_CLASS_PRESCHOOLER,237,,,,TRAINER_PIC_BW_PRESCHOOLER_M,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
TRAINER_BB_YOUNGSTER_KEITA,KEITA,TRAINER_CLASS_YOUNGSTER,237,,,,TRAINER_PIC_BW_YOUNGSTER,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
TRAINER_BB_YOUNGSTER_ZACHARY,ZACHARY,TRAINER_CLASS_YOUNGSTER,237,,,,TRAINER_PIC_BW_YOUNGSTER,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
TRAINER_BB_BATTLE_GIRL_LEE,LEE,TRAINER_CLASS_BATTLE_GIRL,237,,,,TRAINER_PIC_BW_BATTLE_GIRL,,blazeblack_doc=trainer_rosters; location_header=Pinwheel Forest,1001,7,
