encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,crystal_class,crystal_id,map,source,map_line,x,y,location_method
TRAINER_FALKNER_FALKNER1,FALKNER,TRAINER_CLASS_FALKNER,60,Violet City,,True,,TRAINER_PIC_FALKNER,,crystal_map=VioletGym; source=loadtrainer; script_label=VioletGymFalknerScript; map_line=21,4,4,,FALKNER,FALKNER1,VioletGym,loadtrainer,21,,,manual
TRAINER_WHITNEY_WHITNEY1,WHITNEY,TRAINER_CLASS_WHITNEY,70,Goldenrod City,,True,,TRAINER_PIC_WHITNEY,,crystal_map=GoldenrodGym; source=loadtrainer; script_label=GoldenrodGymWhitneyScript; map_line=31,4,4,,WHITNEY,WHITNEY1,GoldenrodGym,loadtrainer,31,,,manual
TRAINER_BUGSY_BUGSY1,BUGSY,TRAINER_CLASS_BUGSY,66,Azalea Town,,True,,TRAINER_PIC_BUGSY,,crystal_map=AzaleaGym; source=loadtrainer; script_label=AzaleaGymBugsyScript; map_line=24,4,4,,BUGSY,BUGSY1,AzaleaGym,loadtrainer,24,,,manual
TRAINER_MORTY_MORTY1,MORTY,TRAINER_CLASS_MORTY,75,Ecruteak City,,True,,TRAINER_PIC_MORTY,,crystal_map=EcruteakGym; source=loadtrainer; script_label=EcruteakGymMortyScript; map_line=33,4,4,,MORTY,MORTY1,EcruteakGym,loadtrainer,33,,,manual
TRAINER_JASMINE_JASMINE1,JASMINE,TRAINER_CLASS_JASMINE,80,Olivine City,,True,,TRAINER_PIC_JASMINE,,crystal_map=OlivineGym; source=loadtrainer; script_label=OlivineGymJasmineScript; map_line=19,4,4,,JASMINE,JASMINE1,OlivineGym,loadtrainer,19,,,manual
TRAINER_CHUCK_CHUCK1,CHUCK,TRAINER_CLASS_CHUCK,84,Cianwood City,,True,,TRAINER_PIC_CHUCK,,crystal_map=CianwoodGym; source=loadtrainer; script_label=CianwoodGymChuckScript; map_line=41,4,4,,CHUCK,CHUCK1,CianwoodGym,loadtrainer,41,,,manual
TRAINER_CLAIR_CLAIR1,CLAIR,TRAINER_CLASS_CLAIR,92,Blackthorn City,,True,,TRAINER_PIC_CLAIR,,crystal_map=BlackthornGym1F; source=loadtrainer; script_label=BlackthornGymClairScript; map_line=40,4,4,,CLAIR,CLAIR1,BlackthornGym1F,loadtrainer,40,,,manual
TRAINER_RIVAL1_RIVAL1_1_CHIKORITA,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=133,4,4,,RIVAL1,RIVAL1_1_CHIKORITA,CherrygroveCity,loadtrainer,133,,,direct
TRAINER_RIVAL1_RIVAL1_1_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=144,4,4,,RIVAL1,RIVAL1_1_CYNDAQUIL,CherrygroveCity,loadtrainer,144,,,direct
TRAINER_RIVAL1_RIVAL1_1_TOTODILE,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=122,4,4,,RIVAL1,RIVAL1_1_TOTODILE,CherrygroveCity,loadtrainer,122,,,direct
TRAINER_RIVAL1_RIVAL1_2_CHIKORITA,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,crystal_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=78,4,4,,RIVAL1,RIVAL1_2_CHIKORITA,AzaleaTown,loadtrainer,78,,,direct
TRAINER_RIVAL1_RIVAL1_2_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,crystal_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=87,4,4,,RIVAL1,RIVAL1_2_CYNDAQUIL,AzaleaTown,loadtrainer,87,,,direct
TRAINER_RIVAL1_RIVAL1_2_TOTODILE,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,crystal_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=69,4,4,,RIVAL1,RIVAL1_2_TOTODILE,AzaleaTown,loadtrainer,69,,,direct
TRAINER_RIVAL1_RIVAL1_3_CHIKORITA,,TRAINER_CLASS_RIVAL1,76,Burned Tower,,True,,TRAINER_PIC_RIVAL1,,crystal_map=BurnedTower1F; source=loadtrainer; script_label=BurnedTowerRivalBattleScript; map_line=78,4,4,,RIVAL1,RIVAL1_3_CHIKORITA,BurnedTower1F,loadtrainer,78,,,manual
TRAINER_RIVAL1_RIVAL1_3_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,76,Burned Tower,,True,,TRAINER_PIC_RIVAL1,,crystal_map=BurnedTower1F; source=loadtrainer; script_label=BurnedTowerRivalBattleScript; map_line=87,4,4,,RIVAL1,RIVAL1_3_CYNDAQUIL,BurnedTower1F,loadtrainer,87,,,manual
TRAINER_RIVAL1_RIVAL1_3_TOTODILE,,TRAINER_CLASS_RIVAL1,76,Burned Tower,,True,,TRAINER_PIC_RIVAL1,,crystal_map=BurnedTower1F; source=loadtrainer; script_label=BurnedTowerRivalBattleScript; map_line=69,4,4,,RIVAL1,RIVAL1_3_TOTODILE,BurnedTower1F,loadtrainer,69,,,manual
TRAINER_RIVAL1_RIVAL1_4_CHIKORITA,,TRAINER_CLASS_RIVAL1,70,Goldenrod City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=GoldenrodUndergroundSwitchRoomEntrances; source=loadtrainer; script_label=UndergroundRivalBattleScript; map_line=149,4,4,,RIVAL1,RIVAL1_4_CHIKORITA,GoldenrodUndergroundSwitchRoomEntrances,loadtrainer,149,,,manual
TRAINER_RIVAL1_RIVAL1_4_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,70,Goldenrod City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=GoldenrodUndergroundSwitchRoomEntrances; source=loadtrainer; script_label=UndergroundRivalBattleScript; map_line=158,4,4,,RIVAL1,RIVAL1_4_CYNDAQUIL,GoldenrodUndergroundSwitchRoomEntrances,loadtrainer,158,,,manual
TRAINER_RIVAL1_RIVAL1_4_TOTODILE,,TRAINER_CLASS_RIVAL1,70,Goldenrod City,,True,,TRAINER_PIC_RIVAL1,,crystal_map=GoldenrodUndergroundSwitchRoomEntrances; source=loadtrainer; script_label=UndergroundRivalBattleScript; map_line=140,4,4,,RIVAL1,RIVAL1_4_TOTODILE,GoldenrodUndergroundSwitchRoomEntrances,loadtrainer,140,,,manual
TRAINER_RIVAL1_RIVAL1_5_CHIKORITA,,TRAINER_CLASS_RIVAL1,48,Victory Road,,True,,TRAINER_PIC_RIVAL1,,crystal_map=VictoryRoad; source=loadtrainer; script_label=VictoryRoadRivalNext; map_line=74,4,4,,RIVAL1,RIVAL1_5_CHIKORITA,VictoryRoad,loadtrainer,74,,,direct
TRAINER_RIVAL1_RIVAL1_5_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,48,Victory Road,,True,,TRAINER_PIC_RIVAL1,,crystal_map=VictoryRoad; source=loadtrainer; script_label=VictoryRoadRivalNext; map_line=83,4,4,,RIVAL1,RIVAL1_5_CYNDAQUIL,VictoryRoad,loadtrainer,83,,,direct
TRAINER_RIVAL1_RIVAL1_5_TOTODILE,,TRAINER_CLASS_RIVAL1,48,Victory Road,,True,,TRAINER_PIC_RIVAL1,,crystal_map=VictoryRoad; source=loadtrainer; script_label=VictoryRoadRivalNext; map_line=65,4,4,,RIVAL1,RIVAL1_5_TOTODILE,VictoryRoad,loadtrainer,65,,,direct
TRAINER_WILL_WILL1,WILL,TRAINER_CLASS_WILL,48,Victory Road,,True,,TRAINER_PIC_WILL,,crystal_map=WillsRoom; source=loadtrainer; script_label=WillScript_Battle; map_line=52,4,4,,WILL,WILL1,WillsRoom,loadtrainer,52,,,manual
TRAINER_CAL_CAL2,CAL,TRAINER_CLASS_CAL,4,Viridian City,,True,,TRAINER_PIC_CAL,,crystal_map=TrainerHouseB1F; source=loadtrainer; script_label=TrainerHouseReceptionistScript; map_line=47,4,4,,CAL,CAL2,TrainerHouseB1F,loadtrainer,47,,,manual
TRAINER_CAL_CAL3,CAL,TRAINER_CLASS_CAL,4,Viridian City,,True,,TRAINER_PIC_CAL,,crystal_map=TrainerHouseB1F; source=loadtrainer; script_label=TrainerHouseReceptionistScript; map_line=54,4,4,,CAL,CAL3,TrainerHouseB1F,loadtrainer,54,,,manual
TRAINER_BRUNO_BRUNO1,BRUNO,TRAINER_CLASS_BRUNO,48,Victory Road,,True,,TRAINER_PIC_BRUNO,,crystal_map=BrunosRoom; source=loadtrainer; script_label=BrunoScript_Battle; map_line=52,4,4,,BRUNO,BRUNO1,BrunosRoom,loadtrainer,52,,,manual
TRAINER_KAREN_KAREN1,KAREN,TRAINER_CLASS_KAREN,48,Victory Road,,True,,TRAINER_PIC_KAREN,,crystal_map=KarensRoom; source=loadtrainer; script_label=KarenScript_Battle; map_line=52,4,4,,KAREN,KAREN1,KarensRoom,loadtrainer,52,,,manual
TRAINER_KOGA_KOGA1,KOGA,TRAINER_CLASS_KOGA,48,Victory Road,,True,,TRAINER_PIC_KOGA,,crystal_map=KogasRoom; source=loadtrainer; script_label=KogaScript_Battle; map_line=52,4,4,,KOGA,KOGA1,KogasRoom,loadtrainer,52,,,manual
TRAINER_CHAMPION_LANCE,LANCE,TRAINER_CLASS_CHAMPION,48,Victory Road,,True,,TRAINER_PIC_CHAMPION,,crystal_map=LancesRoom; source=loadtrainer; script_label=LancesRoomLanceScript; map_line=60,4,4,,CHAMPION,LANCE,LancesRoom,loadtrainer,60,,,manual
TRAINER_BROCK_BROCK1,BROCK,TRAINER_CLASS_BROCK,54,Pewter City,,True,,TRAINER_PIC_BROCK,,crystal_map=PewterGym; source=loadtrainer; script_label=PewterGymBrockScript; map_line=20,4,4,,BROCK,BROCK1,PewterGym,loadtrainer,20,,,manual
TRAINER_MISTY_MISTY1,MISTY,TRAINER_CLASS_MISTY,11,Cerulean City,,True,,TRAINER_PIC_MISTY,,crystal_map=CeruleanGym; source=loadtrainer; script_label=CeruleanGymMistyScript; map_line=68,4,4,,MISTY,MISTY1,CeruleanGym,loadtrainer,68,,,manual
TRAINER_LT_SURGE_LT_SURGE1,LT.SURGE,TRAINER_CLASS_LT_SURGE,16,Vermilion City,,True,,TRAINER_PIC_LT_SURGE,,crystal_map=VermilionGym; source=loadtrainer; script_label=VermilionGymSurgeScript; map_line=22,4,4,,LT_SURGE,LT_SURGE1,VermilionGym,loadtrainer,22,,,manual
