encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,crystal_class,crystal_id,map,source,map_line,x,y,location_method
TRAINER_PRYCE_PRYCE1,PRYCE,TRAINER_CLASS_PRYCE,,,,True,,TRAINER_PIC_PRYCE,,crystal_map=MahoganyGym; source=loadtrainer; script_label=MahoganyGymPryceScript; map_line=24; no canonical event_location match in current Crystal script,4,4,,PRYCE,PRYCE1,MahoganyGym,loadtrainer,24,,,manual_missing
TRAINER_CAL_CAL1,CAL,TRAINER_CLASS_CAL,,,,,,TRAINER_PIC_CAL,,party exists in decomp but no map trainer/loadtrainer reference was found,4,4,,CAL,CAL1,,,,,,unreferenced
TRAINER_ERIKA_ERIKA1,ERIKA,TRAINER_CLASS_ERIKA,,,,True,,TRAINER_PIC_ERIKA,,crystal_map=CeladonGym; source=loadtrainer; script_label=CeladonGymErikaScript; map_line=23; canonical candidate 26 Celadon City is not in Crystal event_locations,4,4,,ERIKA,ERIKA1,CeladonGym,loadtrainer,23,,,canon_not_in_event
TRAINER_YOUNGSTER_JOEY2,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,crystal_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=98; rematch variant; base fight should drive current app display,4,4,,YOUNGSTER,JOEY2,Route30,loadtrainer,98,,,route
TRAINER_YOUNGSTER_JOEY3,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,crystal_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=106; rematch variant; base fight should drive current app display,4,4,,YOUNGSTER,JOEY3,Route30,loadtrainer,106,,,route
TRAINER_YOUNGSTER_JOEY4,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,crystal_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=114; rematch variant; base fight should drive current app display,4,4,,YOUNGSTER,JOEY4,Route30,loadtrainer,114,,,route
TRAINER_YOUNGSTER_JOEY5,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,crystal_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=122; rematch variant; base fight should drive current app display,4,4,,YOUNGSTER,JOEY5,Route30,loadtrainer,122,,,route
TRAINER_SCHOOLBOY_JACK2,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=131; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,JACK2,NationalPark,loadtrainer,131,,,direct
TRAINER_SCHOOLBOY_JACK3,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=139; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,JACK3,NationalPark,loadtrainer,139,,,direct
TRAINER_SCHOOLBOY_ALAN2,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=228; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,ALAN2,Route36,loadtrainer,228,,,route
TRAINER_SCHOOLBOY_ALAN3,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=236; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,ALAN3,Route36,loadtrainer,236,,,route
TRAINER_SCHOOLBOY_CHAD2,CHAD,TRAINER_CLASS_SCHOOLBOY,78,Route 38,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route38; source=loadtrainer; script_label=TrainerSchoolboyChad1; map_line=234; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,CHAD2,Route38,loadtrainer,234,,,route
TRAINER_SCHOOLBOY_CHAD3,CHAD,TRAINER_CLASS_SCHOOLBOY,78,Route 38,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route38; source=loadtrainer; script_label=TrainerSchoolboyChad1; map_line=242; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,CHAD3,Route38,loadtrainer,242,,,route
TRAINER_SCHOOLBOY_JACK4,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=147; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,JACK4,NationalPark,loadtrainer,147,,,direct
TRAINER_SCHOOLBOY_JACK5,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=155; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,JACK5,NationalPark,loadtrainer,155,,,direct
TRAINER_SCHOOLBOY_ALAN4,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=244; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,ALAN4,Route36,loadtrainer,244,,,route
TRAINER_SCHOOLBOY_ALAN5,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=252; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,ALAN5,Route36,loadtrainer,252,,,route
TRAINER_SCHOOLBOY_CHAD4,CHAD,TRAINER_CLASS_SCHOOLBOY,78,Route 38,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route38; source=loadtrainer; script_label=TrainerSchoolboyChad1; map_line=250; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,CHAD4,Route38,loadtrainer,250,,,route
TRAINER_SCHOOLBOY_CHAD5,CHAD,TRAINER_CLASS_SCHOOLBOY,78,Route 38,True,True,,TRAINER_PIC_SCHOOLBOY,,crystal_map=Route38; source=loadtrainer; script_label=TrainerSchoolboyChad1; map_line=258; rematch variant; base fight should drive current app display,4,4,,SCHOOLBOY,CHAD5,Route38,loadtrainer,258,,,route
