encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,crystal_class,crystal_id,map,source,map_line,x,y,location_method
TRAINER_PRYCE_PRYCE1,PRYCE,TRAINER_CLASS_PRYCE,,,,True,,TRAINER_PIC_PRYCE,,crystal_map=MahoganyGym; source=loadtrainer; script_label=MahoganyGymPryceScript; map_line=24; no canonical event_location match in current Crystal script,4,4,,PRYCE,PRYCE1,MahoganyGym,loadtrainer,24,,,manual_missing
TRAINER_ERIKA_ERIKA1,ERIKA,TRAINER_CLASS_ERIKA,,,,True,,TRAINER_PIC_ERIKA,,crystal_map=CeladonGym; source=loadtrainer; script_label=CeladonGymErikaScript; map_line=23; canonical candidate 26 Celadon City is not in Crystal event_locations,4,4,,ERIKA,ERIKA1,CeladonGym,loadtrainer,23,,,canon_not_in_event
TRAINER_LASS_MICHELLE,MICHELLE,TRAINER_CLASS_LASS,,,,,,TRAINER_PIC_LASS,,"crystal_map=CeladonGym; source=trainer; script_label=TrainerLassMichelle; map_line=51; object_xy=7,8; canonical candidate 26 Celadon City is not in Crystal event_locations",4,4,,LASS,MICHELLE,CeladonGym,trainer,51,7,8,canon_not_in_event
TRAINER_BEAUTY_JULIA,JULIA,TRAINER_CLASS_BEAUTY,,,,,,TRAINER_PIC_BEAUTY,,"crystal_map=CeladonGym; source=trainer; script_label=TrainerBeautyJulia; map_line=73; object_xy=3,5; canonical candidate 26 Celadon City is not in Crystal event_locations",4,4,,BEAUTY,JULIA,CeladonGym,trainer,73,3,5,canon_not_in_event
TRAINER_SKIER_ROXANNE,ROXANNE,TRAINER_CLASS_SKIER,,,,,,TRAINER_PIC_SKIER,,"crystal_map=MahoganyGym; source=trainer; script_label=TrainerSkierRoxanne; map_line=72; object_xy=4,6; no canonical event_location match in current Crystal script",4,4,,SKIER,ROXANNE,MahoganyGym,trainer,72,4,6,manual_missing
TRAINER_SKIER_CLARISSA,CLARISSA,TRAINER_CLASS_SKIER,,,,,,TRAINER_PIC_SKIER,,"crystal_map=MahoganyGym; source=trainer; script_label=TrainerSkierClarissa; map_line=83; object_xy=9,17; no canonical event_location match in current Crystal script",4,4,,SKIER,CLARISSA,MahoganyGym,trainer,83,9,17,manual_missing
TRAINER_SABRINA_SABRINA1,SABRINA,TRAINER_CLASS_SABRINA,,,,True,,TRAINER_PIC_SABRINA,,crystal_map=SaffronGym; source=loadtrainer; script_label=SaffronGymSabrinaScript; map_line=23; canonical candidate 27 Saffron City is not in Crystal event_locations,4,4,,SABRINA,SABRINA1,SaffronGym,loadtrainer,23,,,canon_not_in_event
TRAINER_BLAINE_BLAINE1,BLAINE,TRAINER_CLASS_BLAINE,,,,True,,TRAINER_PIC_BLAINE,,crystal_map=SeafoamGym; source=loadtrainer; script_label=SeafoamGymBlaineScript; map_line=23; canonical candidate 40 Seafoam Islands is not in Crystal event_locations,4,4,,BLAINE,BLAINE1,SeafoamGym,loadtrainer,23,,,canon_not_in_event
TRAINER_PSYCHIC_T_FRANKLIN,FRANKLIN,TRAINER_CLASS_PSYCHIC_T,,,,,,TRAINER_PIC_PSYCHIC_T,,"crystal_map=SaffronGym; source=trainer; script_label=TrainerPsychicFranklin; map_line=59; object_xy=3,16; canonical candidate 27 Saffron City is not in Crystal event_locations",4,4,,PSYCHIC_T,FRANKLIN,SaffronGym,trainer,59,3,16,canon_not_in_event
TRAINER_PSYCHIC_T_JARED,JARED,TRAINER_CLASS_PSYCHIC_T,,,,,,TRAINER_PIC_PSYCHIC_T,,"crystal_map=SaffronGym; source=trainer; script_label=TrainerPsychicJared; map_line=81; object_xy=17,4; canonical candidate 27 Saffron City is not in Crystal event_locations",4,4,,PSYCHIC_T,JARED,SaffronGym,trainer,81,17,4,canon_not_in_event
TRAINER_PICNICKER_TANYA,TANYA,TRAINER_CLASS_PICNICKER,,,,,,TRAINER_PIC_PICNICKER,,"crystal_map=CeladonGym; source=trainer; script_label=TrainerPicnickerTanya; map_line=62; object_xy=2,8; canonical candidate 26 Celadon City is not in Crystal event_locations",4,4,,PICNICKER,TANYA,CeladonGym,trainer,62,2,8,canon_not_in_event
TRAINER_MEDIUM_REBECCA,REBECCA,TRAINER_CLASS_MEDIUM,,,,,,TRAINER_PIC_MEDIUM,,"crystal_map=SaffronGym; source=trainer; script_label=TrainerMediumRebecca; map_line=48; object_xy=17,16; canonical candidate 27 Saffron City is not in Crystal event_locations",4,4,,MEDIUM,REBECCA,SaffronGym,trainer,48,17,16,canon_not_in_event
TRAINER_MEDIUM_DORIS,DORIS,TRAINER_CLASS_MEDIUM,,,,,,TRAINER_PIC_MEDIUM,,"crystal_map=SaffronGym; source=trainer; script_label=TrainerMediumDoris; map_line=70; object_xy=3,4; canonical candidate 27 Saffron City is not in Crystal event_locations",4,4,,MEDIUM,DORIS,SaffronGym,trainer,70,3,4,canon_not_in_event
TRAINER_BOARDER_RONALD,RONALD,TRAINER_CLASS_BOARDER,,,,,,TRAINER_PIC_BOARDER,,"crystal_map=MahoganyGym; source=trainer; script_label=TrainerBoarderRonald; map_line=94; object_xy=0,17; no canonical event_location match in current Crystal script",4,4,,BOARDER,RONALD,MahoganyGym,trainer,94,0,17,manual_missing
TRAINER_BOARDER_BRAD,BRAD,TRAINER_CLASS_BOARDER,,,,,,TRAINER_PIC_BOARDER,,"crystal_map=MahoganyGym; source=trainer; script_label=TrainerBoarderBrad; map_line=105; object_xy=5,9; no canonical event_location match in current Crystal script",4,4,,BOARDER,BRAD,MahoganyGym,trainer,105,5,9,manual_missing
TRAINER_BOARDER_DOUGLAS,DOUGLAS,TRAINER_CLASS_BOARDER,,,,,,TRAINER_PIC_BOARDER,,"crystal_map=MahoganyGym; source=trainer; script_label=TrainerBoarderDouglas; map_line=116; object_xy=2,4; no canonical event_location match in current Crystal script",4,4,,BOARDER,DOUGLAS,MahoganyGym,trainer,116,2,4,manual_missing
TRAINER_TWINS_JOANDZOE1,JO & ZOE,TRAINER_CLASS_TWINS,,,,,,TRAINER_PIC_TWINS,,"crystal_map=CeladonGym; source=trainer; script_label=TrainerTwinsJoAndZoe1; map_line=84; object_xy=4,10; canonical candidate 26 Celadon City is not in Crystal event_locations",4,4,,TWINS,JOANDZOE1,CeladonGym,trainer,84,4,10,canon_not_in_event
TRAINER_TWINS_JOANDZOE2,JO & ZOE,TRAINER_CLASS_TWINS,,,,,,TRAINER_PIC_TWINS,,"crystal_map=CeladonGym; source=trainer; script_label=TrainerTwinsJoAndZoe2; map_line=95; object_xy=5,10; canonical candidate 26 Celadon City is not in Crystal event_locations",4,4,,TWINS,JOANDZOE2,CeladonGym,trainer,95,5,10,canon_not_in_event
