row_num,event_id,trainer_id,encounter_name,sort_order,encounter_title,starter,event_type,version_group_id
1,362,10658,TRAINER_PKMN_TRAINER_BARRY_CEDRIC,5.1,Route 203,Water,Rival,8
2,363,10659,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_2,5.1,Route 203,Grass,Rival,8
3,364,10660,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_3,5.1,Route 203,Fire,Rival,8
4,365,10657,TRAINER_LEADER_ROARK_ROARK,7.1,Oreburgh City Gym,,,8
5,366,10706,TRAINER_COMMANDER_MARS_MARS,14.1,Valley Windworks,,,8
6,367,10726,TRAINER_LEADER_GARDENIA_GARDENIA,17.1,Eterna City Gym,,,8
7,368,10817,TRAINER_COMMANDER_JUPITER_JUPITER,17.2,Team Galactic Eterna Building,,,8
8,369,10881,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_4,22.1,Hearthome City,Water,Rival,8
9,370,10882,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_5,22.1,Hearthome City,Grass,Rival,8
10,371,10883,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_6,22.1,Hearthome City,Fire,Rival,8
11,372,10728,TRAINER_LEADER_MAYLENE_MAYLENE,28.1,Veilstone City Gym,,,8
12,373,10727,TRAINER_LEADER_WAKE_WAKE,30.1,Pastoria City Gym,,,8
13,374,10884,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_7,30.2,Pastoria City,Water,Rival,8
14,375,10885,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_8,30.2,Pastoria City,Grass,Rival,8
15,376,10886,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_9,30.2,Pastoria City,Fire,Rival,8
16,377,10729,TRAINER_LEADER_FANTINA_FANTINA,30.3,Hearthome City Gym,,,8
17,378,10819,TRAINER_COMMANDER_SATURN_SATURN,35.1,Lake Valor,,,8
18,379,10887,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_10,46.1,Canalave City,Water,Rival,8
19,380,10888,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_11,46.1,Canalave City,Grass,Rival,8
20,381,10889,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_12,46.1,Canalave City,Fire,Rival,8
21,382,10661,TRAINER_LEADER_BYRON_BYRON,46.2,Canalave City Gym,,,8
22,383,10816,TRAINER_COMMANDER_MARS_MARS_2,46.3,Lake Verity,,,8
23,384,10730,TRAINER_LEADER_CANDICE_CANDICE,52.1,Snowpoint City Gym,,,8
24,385,10814,TRAINER_GALACTIC_BOSS_CYRUS,52.2,Galactic HQ,,,8
25,386,10820,TRAINER_COMMANDER_SATURN_SATURN_2,52.3,Galactic HQ,,,8
26,387,10939,TRAINER_COMMANDER_MARS_MARS_3,52.4,Spear Pillar,,,8
27,388,10818,TRAINER_COMMANDER_JUPITER_JUPITER_2,52.5,Spear Pillar,,,8
28,389,10815,TRAINER_GALACTIC_BOSS_CYRUS_2,52.6,Spear Pillar,,,8
29,390,10731,TRAINER_LEADER_VOLKNER_VOLKNER,55.1,Sunyshore City Gym,,,8
30,391,10890,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_13,58.1,Pokemon League,Water,Rival,8
31,392,10891,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_14,58.1,Pokemon League,Grass,Rival,8
32,393,10892,TRAINER_PKMN_TRAINER_BARRY_CEDRIC_15,58.1,Pokemon League,Fire,Rival,8
33,394,10672,TRAINER_ELITE_FOUR_AARON_AARON,58.2,Elite Four,,,8
34,395,10673,TRAINER_ELITE_FOUR_BERTHA_BERTHA,58.3,Elite Four,,,8
35,396,10674,TRAINER_ELITE_FOUR_FLINT_FLINT,58.4,Elite Four,,,8
36,397,10675,TRAINER_ELITE_FOUR_LUCIEN_LUCIAN,58.5,Elite Four,,,8
37,398,10678,TRAINER_CHAMPION_CYNTHIA,58.6,Champion,,,8
