encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_ACE_TRAINER_F_ALYSSA,PONYTA,27,"FIRE_SPIN,STOMP,GROWL",,50,8,5,1
TRAINER_ACE_TRAINER_F_ALYSSA,GROTLE,27,"MEGA_DRAIN,BITE,CURSE",,50,8,5,2
TRAINER_ACE_TRAINER_F_ANGELICA,RATTATA,5,,,0,8,5,1
TRAINER_ACE_TRAINER_F_ANGELICA_2,RATTATA,5,,,0,8,5,1
TRAINER_ACE_TRAINER_F_ANGELICA_3,RATTATA,5,,,0,8,5,1
TRAINER_ACE_TRAINER_F_ARIANA,AMBIPOM,54,"DOUBLE_HIT,ASTONISH,AGILITY,BATON_PASS",,50,8,5,1
TRAINER_ACE_TRAINER_F_ARIANA,RAPIDASH,54,"BOUNCE,FIRE_BLAST,STOMP,GROWL",,50,8,5,2
TRAINER_ACE_TRAINER_F_ARIANA,CHANSEY,54,"DOUBLE_EDGE,MINIMIZE,DEFENSE_CURL,LIGHT_SCREEN",,50,8,5,3
TRAINER_ACE_TRAINER_F_ARIANA_2,AMBIPOM,59,"DOUBLE_HIT,IRON_TAIL,U_TURN,SCREECH",,50,8,5,1
TRAINER_ACE_TRAINER_F_ARIANA_2,RAPIDASH,59,"FLARE_BLITZ,BOUNCE,POISON_JAB,WILL_O_WISP",,50,8,5,2
TRAINER_ACE_TRAINER_F_ARIANA_2,CHANSEY,59,"DOUBLE_EDGE,DEFENSE_CURL,SING,DREAM_EATER",,50,8,5,3
TRAINER_ACE_TRAINER_F_BRANDI,PACHIRISU,54,"DISCHARGE,SUPER_FANG,SWEET_KISS,CHARM",,50,8,5,1
TRAINER_ACE_TRAINER_F_BRANDI,AZUMARILL,54,"HYDRO_PUMP,AQUA_TAIL,DOUBLE_EDGE,RAIN_DANCE",,50,8,5,2
TRAINER_ACE_TRAINER_F_BRANDI,BLISSEY,54,"HYPER_BEAM,SOFT_BOILED,LIGHT_SCREEN,MINIMIZE",,50,8,5,3
TRAINER_ACE_TRAINER_F_BREANNA,AZUMARILL,33,"IRON_TAIL,ATTRACT,TAIL_WHIP,DEFENSE_CURL",,60,8,5,1
TRAINER_ACE_TRAINER_F_BRENDA,PELIPPER,33,"WATER_PULSE,WING_ATTACK,ROOST,PROTECT",,50,8,5,1
TRAINER_ACE_TRAINER_F_BRENDA,SUDOWOODO,33,"ROCK_SLIDE,FEINT_ATTACK,LOW_KICK,FLAIL",,50,8,5,2
