encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_YOUNGSTER_TRISTAN,TRISTAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=1; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_YOUNGSTER_LOGAN,LOGAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=2; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_LASS_NATALIE,NATALIE,TRAINER_CLASS_LASS,173,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=3; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_YOUNGSTER_MICHAEL,MICHAEL,TRAINER_CLASS_YOUNGSTER,174,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=4; source=files/poketool/trainer/trdata.json; map_refs=R203; matched_map=R203,8,5,
TRAINER_YOUNGSTER_TYLER,TYLER,TRAINER_CLASS_YOUNGSTER,179,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=10; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_LASS_SAMANTHA,SAMANTHA,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=11; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_LASS_SARAH,SARAH,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=12; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_BUG_CATCHER_BRANDON,BRANDON,TRAINER_CLASS_BUG_CATCHER,179,,,,TRAINER_PIC_BUG_CATCHER,,diamondpearl_trainer_index=13; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_AROMA_LADY_TAYLOR,TAYLOR,TRAINER_CLASS_AROMA_LADY,179,,,,TRAINER_PIC_AROMA_LADY,,diamondpearl_trainer_index=14; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_TWINS_LIV_LIZ,LIV & LIZ,TRAINER_CLASS_TWINS,179,,,,TRAINER_PIC_TWINS,True,diamondpearl_trainer_index=15; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_CAMPER_JACOB,JACOB,TRAINER_CLASS_CAMPER,182,,,,TRAINER_PIC_CAMPER,,diamondpearl_trainer_index=16; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_PICNICKER_SIENA,SIENA,TRAINER_CLASS_PICNICKER,182,,,,TRAINER_PIC_PICNICKER,,diamondpearl_trainer_index=17; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_HIKER_DANIEL,DANIEL,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=18; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_HIKER_NICHOLAS,NICHOLAS,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=19; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_BATTLE_GIRL_KELSEY,KELSEY,TRAINER_CLASS_BATTLE_GIRL,182,,,,TRAINER_PIC_BATTLE_GIRL,,diamondpearl_trainer_index=20; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_AROMA_LADY_ELIZABETH,ELIZABETH,TRAINER_CLASS_AROMA_LADY,182,,,,TRAINER_PIC_AROMA_LADY,,diamondpearl_trainer_index=21; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_FISHERMAN_ANDREW,ANDREW,TRAINER_CLASS_FISHERMAN,182,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=22; source=files/poketool/trainer/trdata.json; map_refs=R205B; matched_map=R205B,8,5,
TRAINER_FISHERMAN_JOSEPH,JOSEPH,TRAINER_CLASS_FISHERMAN,182,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=23; source=files/poketool/trainer/trdata.json; map_refs=R205B; matched_map=R205B,8,5,
