encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_YOUNGSTER_TRISTAN,TRISTAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=1; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_YOUNGSTER_LOGAN,LOGAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=2; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_LASS_NATALIE,NATALIE,TRAINER_CLASS_LASS,173,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=3; source=files/poketool/trainer/trdata.json; map_refs=R202; matched_map=R202,8,5,
TRAINER_YOUNGSTER_MICHAEL,MICHAEL,TRAINER_CLASS_YOUNGSTER,174,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=4; source=files/poketool/trainer/trdata.json; map_refs=R203; matched_map=R203,8,5,
TRAINER_CAMPER_MICKEY,MICKEY,TRAINER_CLASS_CAMPER,,,,,TRAINER_PIC_CAMPER,,diamondpearl_trainer_index=5; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_CAMPER_MICKEY_2,MICKEY,TRAINER_CLASS_CAMPER,,true,,,TRAINER_PIC_CAMPER,,diamondpearl_trainer_index=6; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_PICNICKER_ANGELICA,ANGELICA,TRAINER_CLASS_PICNICKER,,,,,TRAINER_PIC_PICNICKER,,diamondpearl_trainer_index=7; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_PICNICKER_ANGELICA_2,ANGELICA,TRAINER_CLASS_PICNICKER,,true,,,TRAINER_PIC_PICNICKER,,diamondpearl_trainer_index=8; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_YOUNGSTER_MICKEY,MICKEY,TRAINER_CLASS_YOUNGSTER,,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=9; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_YOUNGSTER_TYLER,TYLER,TRAINER_CLASS_YOUNGSTER,179,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=10; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_LASS_SAMANTHA,SAMANTHA,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=11; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_LASS_SARAH,SARAH,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,diamondpearl_trainer_index=12; source=files/poketool/trainer/trdata.json; map_refs=R204A; matched_map=R204A,8,5,
TRAINER_BUG_CATCHER_BRANDON,BRANDON,TRAINER_CLASS_BUG_CATCHER,179,,,,TRAINER_PIC_BUG_CATCHER,,diamondpearl_trainer_index=13; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_AROMA_LADY_TAYLOR,TAYLOR,TRAINER_CLASS_AROMA_LADY,179,,,,TRAINER_PIC_AROMA_LADY,,diamondpearl_trainer_index=14; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_TWINS_LIV_LIZ,LIV & LIZ,TRAINER_CLASS_TWINS,179,,,,TRAINER_PIC_TWINS,True,diamondpearl_trainer_index=15; source=files/poketool/trainer/trdata.json; map_refs=R204B; matched_map=R204B,8,5,
TRAINER_CAMPER_JACOB,JACOB,TRAINER_CLASS_CAMPER,182,,,,TRAINER_PIC_CAMPER,,diamondpearl_trainer_index=16; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_PICNICKER_SIENA,SIENA,TRAINER_CLASS_PICNICKER,182,,,,TRAINER_PIC_PICNICKER,,diamondpearl_trainer_index=17; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_HIKER_DANIEL,DANIEL,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=18; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_HIKER_NICHOLAS,NICHOLAS,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=19; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_BATTLE_GIRL_KELSEY,KELSEY,TRAINER_CLASS_BATTLE_GIRL,182,,,,TRAINER_PIC_BATTLE_GIRL,,diamondpearl_trainer_index=20; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_AROMA_LADY_ELIZABETH,ELIZABETH,TRAINER_CLASS_AROMA_LADY,182,,,,TRAINER_PIC_AROMA_LADY,,diamondpearl_trainer_index=21; source=files/poketool/trainer/trdata.json; map_refs=R205A; matched_map=R205A,8,5,
TRAINER_FISHERMAN_ANDREW,ANDREW,TRAINER_CLASS_FISHERMAN,182,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=22; source=files/poketool/trainer/trdata.json; map_refs=R205B; matched_map=R205B,8,5,
TRAINER_FISHERMAN_JOSEPH,JOSEPH,TRAINER_CLASS_FISHERMAN,182,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=23; source=files/poketool/trainer/trdata.json; map_refs=R205B; matched_map=R205B,8,5,
TRAINER_FISHERMAN_ZACHARY,ZACHARY,TRAINER_CLASS_FISHERMAN,182,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=24; source=files/poketool/trainer/trdata.json; map_refs=R205B; matched_map=R205B,8,5,
TRAINER_CYCLIST_M_AXEL,AXEL,TRAINER_CLASS_CYCLIST_M,187,,,,TRAINER_PIC_CYCLIST_MALE,,diamondpearl_trainer_index=25; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_M_JAMES,JAMES,TRAINER_CLASS_CYCLIST_M,187,,,,TRAINER_PIC_CYCLIST_MALE,,diamondpearl_trainer_index=26; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_M_JOHN,JOHN,TRAINER_CLASS_CYCLIST_M,187,,,,TRAINER_PIC_CYCLIST_MALE,,diamondpearl_trainer_index=27; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_M_RYAN,RYAN,TRAINER_CLASS_CYCLIST_M,187,,,,TRAINER_PIC_CYCLIST_MALE,,diamondpearl_trainer_index=28; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_F_MEGAN,MEGAN,TRAINER_CLASS_CYCLIST_F,187,,,,TRAINER_PIC_CYCLIST_FEMALE,,diamondpearl_trainer_index=29; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_F_NICOLE,NICOLE,TRAINER_CLASS_CYCLIST_F,187,,,,TRAINER_PIC_CYCLIST_FEMALE,,diamondpearl_trainer_index=30; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_F_KAYLA,KAYLA,TRAINER_CLASS_CYCLIST_F,187,,,,TRAINER_PIC_CYCLIST_FEMALE,,diamondpearl_trainer_index=31; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_CYCLIST_F_RACHEL,RACHEL,TRAINER_CLASS_CYCLIST_F,187,,,,TRAINER_PIC_CYCLIST_FEMALE,,diamondpearl_trainer_index=32; source=files/poketool/trainer/trdata.json; map_refs=R206; matched_map=R206,8,5,
TRAINER_YOUNGSTER_AUSTIN,AUSTIN,TRAINER_CLASS_YOUNGSTER,178,,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=33; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_CAMPER_ANTHONY,ANTHONY,TRAINER_CLASS_CAMPER,178,,,,TRAINER_PIC_CAMPER,,diamondpearl_trainer_index=34; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_PICNICKER_LAUREN,LAUREN,TRAINER_CLASS_PICNICKER,178,,,,TRAINER_PIC_PICNICKER,,diamondpearl_trainer_index=35; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_HIKER_KEVIN,KEVIN,TRAINER_CLASS_HIKER,178,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=36; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_HIKER_JUSTIN,JUSTIN,TRAINER_CLASS_HIKER,178,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=37; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_BATTLE_GIRL_HELEN,HELEN,TRAINER_CLASS_BATTLE_GIRL,178,,,,TRAINER_PIC_BATTLE_GIRL,,diamondpearl_trainer_index=38; source=files/poketool/trainer/trdata.json; map_refs=R207; matched_map=R207,8,5,
TRAINER_HIKER_ROBERT,ROBERT,TRAINER_CLASS_HIKER,190,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=39; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_HIKER_ALEXANDER,ALEXANDER,TRAINER_CLASS_HIKER,190,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=40; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_HIKER_JONATHAN,JONATHAN,TRAINER_CLASS_HIKER,190,,,,TRAINER_PIC_HIKER,,diamondpearl_trainer_index=41; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_BLACK_BELT_KYLE,KYLE,TRAINER_CLASS_BLACK_BELT,190,,,,TRAINER_PIC_BLACK_BELT,,diamondpearl_trainer_index=42; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_FISHERMAN_CODY,CODY,TRAINER_CLASS_FISHERMAN,190,,,,TRAINER_PIC_FISHERMAN,,diamondpearl_trainer_index=43; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_AROMA_LADY_HANNAH,HANNAH,TRAINER_CLASS_AROMA_LADY,190,,,,TRAINER_PIC_AROMA_LADY,,diamondpearl_trainer_index=44; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_ARTIST_WILLIAM,WILLIAM,TRAINER_CLASS_ARTIST,190,,,,TRAINER_PIC_ARTIST,,diamondpearl_trainer_index=45; source=files/poketool/trainer/trdata.json; map_refs=R208; matched_map=R208,8,5,
TRAINER_PKMN_BREEDER_M_ALBERT,ALBERT,TRAINER_CLASS_PKMN_BREEDER_M,192,,,,TRAINER_PIC_BREEDER_MALE,,diamondpearl_trainer_index=46; source=files/poketool/trainer/trdata.json; map_refs=R209; matched_map=R209,8,5,
TRAINER_PKMN_BREEDER_F_JENNIFER,JENNIFER,TRAINER_CLASS_PKMN_BREEDER_F,192,,,,TRAINER_PIC_BREEDER_FEMALE,,diamondpearl_trainer_index=47; source=files/poketool/trainer/trdata.json; map_refs=R209; matched_map=R209,8,5,
TRAINER_COWGIRL_SHELLEY,SHELLEY,TRAINER_CLASS_COWGIRL,192,,,,TRAINER_PIC_COWGIRL,,diamondpearl_trainer_index=48; source=files/poketool/trainer/trdata.json; map_refs=R209; matched_map=R209,8,5,
TRAINER_JOGGER_RICHARD,RICHARD,TRAINER_CLASS_JOGGER,192,,,,TRAINER_PIC_JOGGER,,diamondpearl_trainer_index=49; source=files/poketool/trainer/trdata.json; map_refs=R209; matched_map=R209,8,5,
TRAINER_POKEFAN_M_MICKEY,MICKEY,TRAINER_CLASS_POKEFAN_M,,,,,TRAINER_PIC_POKEFAN_MALE,,diamondpearl_trainer_index=50; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_POKEFAN_F_ANGELICA,ANGELICA,TRAINER_CLASS_POKEFAN_F,,,,,TRAINER_PIC_POKEFAN_FEMALE,,diamondpearl_trainer_index=51; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
TRAINER_YOUNGSTER_MICKEY_2,MICKEY,TRAINER_CLASS_YOUNGSTER,,true,,,TRAINER_PIC_YOUNGSTER,,diamondpearl_trainer_index=52; source=files/poketool/trainer/trdata.json; location_unpaired=true,8,5,
