version_group_id,trainer_key,canonical_location_id,area_name,status,is_rematch,is_event,game_id,note
11,TRAINER_ACE_TRAINER_F_AUSTIN,492,,placed,t,f,,"Nimbasa Ferris Wheel companion (female player, Summer), daily-repeatable; Serebii Swoobat list and Bulbapedia Nimbasa_City confirm Swoobat L27"
11,TRAINER_ACE_TRAINER_F_BECKETT,246,4F,placed,f,f,,"Serebii Stoutland trainer list: Ace Trainer Beckett, Celestial Tower 4F, Stoutland L33"
11,TRAINER_ACE_TRAINER_F_CHARLIE,502,,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White 'Additional Trainers': post-game, appears at either venue in random groups of three, daily"
11,TRAINER_ACE_TRAINER_F_HENRY,501,,placed,f,t,,Bulbapedia Royal_Unova BW passenger list confirms Ace Trainer Henry (Tauros/Wailord L66); ROM class slot says F but Bulbapedia lists him as male Ace Trainer
11,TRAINER_ACE_TRAINER_F_JARED,244,1F,placed,f,f,,Bulbapedia Chargestone Cave BW: Ace Trainer Jared 1F with Archen L31
11,TRAINER_ACE_TRAINER_F_JOSE,494,,placed,,,,
11,TRAINER_ACE_TRAINER_F_LOU,494,,placed,t,f,17," [Opelucid Battle House: triple=Black, rotation=White, daily]"
11,TRAINER_ACE_TRAINER_F_LOU_2,494,,placed,t,f,18," [Opelucid Battle House: triple=Black, rotation=White, daily]"
11,TRAINER_ACE_TRAINER_F_TERRY,495,,placed,,,,
11,TRAINER_ACE_TRAINER_F_TOM,494,,placed,,,,
11,TRAINER_ACE_TRAINER_F_TRAINER_273,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ACE_TRAINER_F_TRAINER_522,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ACE_TRAINER_F_TRAINER_534,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ACE_TRAINER_F_VINCENT,503,,placed,t,f,17,"Bulbapedia Black_City resident trainer: Ace Trainer Vincent, Magmortar L62"
11,TRAINER_ACE_TRAINER_F_WEBSTER,494,,placed,,,,
11,TRAINER_ACE_TRAINER_M_BEVERLY,495,B1F,placed,f,f,,"Serebii Grumpig trainer list: Ace Trainer Beverly, Challenger's Cave B1F, Grumpig L64 (post-game cave)"
11,TRAINER_ACE_TRAINER_M_CLARA,494,,placed,,,,
11,TRAINER_ACE_TRAINER_M_DARA,494,,placed,,,,
11,TRAINER_ACE_TRAINER_M_EILEEN,494,,placed,t,f,18," [Opelucid Battle House: triple=Black, rotation=White, daily]"
11,TRAINER_ACE_TRAINER_M_EILEEN_2,494,,placed,t,f,17," [Opelucid Battle House: triple=Black, rotation=White, daily]"
11,TRAINER_ACE_TRAINER_M_GLINDA,255,,placed,t,f,17,"Bulbapedia Marvelous Bridge: Glinda, eastern bridge gate, once per day (extra battle possible after beating the Opelucid Battle House trainer). Marvelous Bridge is the inverted pair: Triple Battle in Black / Rotation in White; bt=2 = triple -> Black."
11,TRAINER_ACE_TRAINER_M_GLINDA_2,255,,placed,t,f,18,"Marvelous Bridge daily trainer, bt=3 = rotation flag -> White (Glinda's Rotation Battle is the White version per Bulbapedia)."
11,TRAINER_ACE_TRAINER_M_KASSANDRA,246,4F,placed,f,f,,"Serebii Gothorita trainer list: Ace Trainer Kassandra, Celestial Tower 4F, Gothorita L32"
11,TRAINER_ACE_TRAINER_M_LENA,503,,placed,t,f,17,"Bulbapedia Black_City resident trainer: Ace Trainer Lena, Gardevoir/Gallade L61"
11,TRAINER_ACE_TRAINER_M_LUCILLE,502,,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White 'Additional Trainers': post-game, appears at either venue in random groups of three, daily"
11,TRAINER_ACE_TRAINER_M_MARIANA,501,,placed,f,t,,Bulbapedia Royal_Unova BW passenger list confirms Ace Trainer Mariana (Rotom/Butterfree/Alomomola L65); ROM class slot says M but Bulbapedia lists her as female Ace Trainer
11,TRAINER_ACE_TRAINER_M_OLWEN,494,,placed,,,,
11,TRAINER_ACE_TRAINER_M_STELLA,244,B2F,placed,f,f,,"Bulbapedia Chargestone Cave BW: Ace Trainer Stella B2F, exact party/levels match"
11,TRAINER_ACE_TRAINER_M_TRAINER_268,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ACE_TRAINER_M_TRAINER_280,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ACE_TRAINER_M_TRAINER_521,,,excluded,,,,unused ROM placeholder (nameless Patrat L10 template)
11,TRAINER_ARTIST_PIERRE,502,,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: post-game additional trainer, either arena, Smeargle L65 matches"
11,TRAINER_BACKERS_AI_CIEL,502,,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_ALF_FRED,502,,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_AMI_EIRA,502,Big Stadium,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Big Stadium, 5-6 badge tier, Sun/Mon/Thu rotation; double battle"
11,TRAINER_BACKERS_AMI_EIRA_2,502,Big Stadium,placed,t,f,,Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Big Stadium audience pair; _2 = 'After 7th and 8th Badges' L39 tier (Simipour/Simisear L39 confirmed); daily re-battleable
11,TRAINER_BACKERS_AMI_EIRA_3,502,Big Stadium,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_CAM_ABBY,502,,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_HAWK_DAR,502,Big Stadium,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Big Stadium, 5-6 badge tier, Wed/Sat rotation; double battle"
11,TRAINER_BACKERS_HAWK_DAR_2,502,Big Stadium,placed,t,f,,Bulbapedia BW stadium subpage: Backers Hawk & Dar accompany the football division in Big Stadium; tier progression L31/L39/L65 — this is the L39 tier (double battle)
11,TRAINER_BACKERS_HAWK_DAR_3,502,Big Stadium,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_JOE_ROSS,502,Small Court,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Small Court, 5-6 badge tier, Sun/Mon/Wed/Fri rotation; double battle"
11,TRAINER_BACKERS_JOE_ROSS_2,502,Small Court,placed,t,f,,Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Small Court audience pair; _2 = 'After 7th and 8th Badges' L39 tier; daily re-battleable
11,TRAINER_BACKERS_JOE_ROSS_3,502,Small Court,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_KAT_PHAE,502,,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_KAY_ALI,502,Big Stadium,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Big Stadium, 5-6 badge tier, Tue/Fri rotation; double battle"
11,TRAINER_BACKERS_KAY_ALI_2,502,Big Stadium,placed,t,f,,Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Big Stadium audience pair; _2 = 'After 7th and 8th Badges' L39 tier (Swanna L39 x2 confirmed); daily re-battleable
11,TRAINER_BACKERS_KAY_ALI_3,502,Big Stadium,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_LES_WEB,502,,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKERS_MASA_YAS,502,Small Court,placed,t,f,,"Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Small Court, 5-6 badge tier, Tue/Thu/Sat rotation; double battle"
11,TRAINER_BACKERS_MASA_YAS_2,502,Small Court,placed,t,f,,Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: Small Court audience pair; _2 = 'After 7th and 8th Badges' L39 tier; daily re-battleable
11,TRAINER_BACKERS_MASA_YAS_3,502,Small Court,placed,t,f,," [moved from Nimbasa City: Big Stadium & Small Court roster, daily rematch]"
11,TRAINER_BACKPACKER_F_EMI,503,,placed,t,f,17,"Bulbapedia Black_City resident trainer: Backpacker Emi, Blissey L30"
11,TRAINER_BACKPACKER_F_MOLLY,503,,placed,t,f,17,"Bulbapedia Black_City resident trainer: Backpacker Molly, Azumarill L30"
11,TRAINER_BACKPACKER_F_PATTY,502,,placed,t,f,,Bulbapedia Big_Stadium_and_Small_Court/Black_and_White: post-game Additional Trainer; rotates into either arena
