map,file,line,label,class,id,event,source,x,y,location_method,canonical_location_id,canonical_location_name
AzaleaGym,AzaleaGym.asm,71,TrainerTwinsAmyandmay1,TWINS,AMYANDMAY1,EVENT_BEAT_TWINS_AMY_AND_MAY,trainer,4,10,manual,66,Azalea Town
AzaleaGym,AzaleaGym.asm,82,TrainerTwinsAmyandmay2,TWINS,AMYANDMAY2,EVENT_BEAT_TWINS_AMY_AND_MAY,trainer,5,10,manual,66,Azalea Town
AzaleaGym,AzaleaGym.asm,93,TrainerBugCatcherBenny,BUG_CATCHER,BENNY,EVENT_BEAT_BUG_CATCHER_BENNY,trainer,5,3,manual,66,Azalea Town
AzaleaGym,AzaleaGym.asm,104,TrainerBugCatcherAl,BUG_CATCHER,AL,EVENT_BEAT_BUG_CATCHER_AL,trainer,8,8,manual,66,Azalea Town
AzaleaGym,AzaleaGym.asm,115,TrainerBugCatcherJosh,BUG_CATCHER,JOSH,EVENT_BEAT_BUG_CATCHER_JOSH,trainer,0,2,manual,66,Azalea Town
BlackthornGym1F,BlackthornGym1F.asm,94,TrainerCooltrainermPaul,COOLTRAINERM,PAUL,EVENT_BEAT_COOLTRAINERM_PAUL,trainer,1,14,manual,92,Blackthorn City
BlackthornGym1F,BlackthornGym1F.asm,105,TrainerCooltrainermMike,COOLTRAINERM,MIKE,EVENT_BEAT_COOLTRAINERM_MIKE,trainer,6,6,manual,92,Blackthorn City
BlackthornGym1F,BlackthornGym1F.asm,116,TrainerCooltrainerfLola,COOLTRAINERF,LOLA,EVENT_BEAT_COOLTRAINERF_LOLA,trainer,9,2,manual,92,Blackthorn City
BlackthornGym2F,BlackthornGym2F.asm,60,TrainerCooltrainermCody,COOLTRAINERM,CODY,EVENT_BEAT_COOLTRAINERM_CODY,trainer,4,1,manual,92,Blackthorn City
BlackthornGym2F,BlackthornGym2F.asm,71,TrainerCooltrainerfFran,COOLTRAINERF,FRAN,EVENT_BEAT_COOLTRAINERF_FRAN,trainer,4,11,manual,92,Blackthorn City
BurnedTower1F,BurnedTower1F.asm,127,TrainerFirebreatherNed,FIREBREATHER,NED,EVENT_BEAT_FIREBREATHER_NED,trainer,16,8,manual,76,Burned Tower
CeladonGym,CeladonGym.asm,51,TrainerLassMichelle,LASS,MICHELLE,EVENT_BEAT_LASS_MICHELLE,trainer,7,8,canon_not_in_event,26,Celadon City
CeladonGym,CeladonGym.asm,62,TrainerPicnickerTanya,PICNICKER,TANYA,EVENT_BEAT_PICNICKER_TANYA,trainer,2,8,canon_not_in_event,26,Celadon City
CeladonGym,CeladonGym.asm,73,TrainerBeautyJulia,BEAUTY,JULIA,EVENT_BEAT_BEAUTY_JULIA,trainer,3,5,canon_not_in_event,26,Celadon City
