encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_FALKNER_FALKNER1,PIDGEY,7,"TACKLE,MUD_SLAP",,0,3,4,1
TRAINER_FALKNER_FALKNER1,PIDGEOTTO,9,"TACKLE,MUD_SLAP,GUST",,0,3,4,2
TRAINER_WHITNEY_WHITNEY1,CLEFAIRY,18,"DOUBLESLAP,MIMIC,ENCORE,METRONOME",,0,3,4,1
TRAINER_WHITNEY_WHITNEY1,MILTANK,20,"ROLLOUT,ATTRACT,STOMP,MILK_DRINK",,0,3,4,2
TRAINER_BUGSY_BUGSY1,METAPOD,14,"TACKLE,STRING_SHOT,HARDEN",,0,3,4,1
TRAINER_BUGSY_BUGSY1,KAKUNA,14,"POISON_STING,STRING_SHOT,HARDEN",,0,3,4,2
TRAINER_BUGSY_BUGSY1,SCYTHER,16,"QUICK_ATTACK,LEER,FURY_CUTTER",,0,3,4,3
TRAINER_MORTY_MORTY1,GASTLY,21,"LICK,SPITE,MEAN_LOOK,CURSE",,0,3,4,1
TRAINER_MORTY_MORTY1,HAUNTER,21,"HYPNOSIS,MIMIC,CURSE,NIGHT_SHADE",,0,3,4,2
TRAINER_MORTY_MORTY1,GENGAR,25,"HYPNOSIS,SHADOW_BALL,MEAN_LOOK,DREAM_EATER",,0,3,4,3
TRAINER_MORTY_MORTY1,HAUNTER,23,"SPITE,MEAN_LOOK,MIMIC,NIGHT_SHADE",,0,3,4,4
TRAINER_PRYCE_PRYCE1,SEEL,27,"HEADBUTT,ICY_WIND,AURORA_BEAM,REST",,0,3,4,1
TRAINER_PRYCE_PRYCE1,DEWGONG,29,"HEADBUTT,ICY_WIND,AURORA_BEAM,REST",,0,3,4,2
TRAINER_PRYCE_PRYCE1,PILOSWINE,31,"ICY_WIND,FURY_ATTACK,MIST,BLIZZARD",,0,3,4,3
TRAINER_JASMINE_JASMINE1,MAGNEMITE,30,"THUNDERBOLT,SUPERSONIC,SONICBOOM,THUNDER_WAVE",,0,3,4,1
TRAINER_JASMINE_JASMINE1,MAGNEMITE,30,"THUNDERBOLT,SUPERSONIC,SONICBOOM,THUNDER_WAVE",,0,3,4,2
TRAINER_JASMINE_JASMINE1,STEELIX,35,"SCREECH,SUNNY_DAY,ROCK_THROW,IRON_TAIL",,0,3,4,3
TRAINER_CHUCK_CHUCK1,PRIMEAPE,27,"LEER,RAGE,KARATE_CHOP,FURY_SWIPES",,0,3,4,1
TRAINER_CHUCK_CHUCK1,POLIWRATH,30,"HYPNOSIS,MIND_READER,SURF,DYNAMICPUNCH",,0,3,4,2
TRAINER_CLAIR_CLAIR1,DRAGONAIR,37,"THUNDER_WAVE,SURF,SLAM,DRAGONBREATH",,0,3,4,1
TRAINER_CLAIR_CLAIR1,DRAGONAIR,37,"THUNDER_WAVE,THUNDERBOLT,SLAM,DRAGONBREATH",,0,3,4,2
TRAINER_CLAIR_CLAIR1,DRAGONAIR,37,"THUNDER_WAVE,ICE_BEAM,SLAM,DRAGONBREATH",,0,3,4,3
TRAINER_CLAIR_CLAIR1,KINGDRA,40,"SMOKESCREEN,SURF,HYPER_BEAM,DRAGONBREATH",,0,3,4,4
TRAINER_RIVAL1_RIVAL1_1_CHIKORITA,CHIKORITA,5,,,0,3,4,1
TRAINER_RIVAL1_RIVAL1_1_CYNDAQUIL,CYNDAQUIL,5,,,0,3,4,1
TRAINER_RIVAL1_RIVAL1_1_TOTODILE,TOTODILE,5,,,0,3,4,1
