encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,crystal_class,crystal_id,map,source,map_line,x,y,location_method
TRAINER_PRYCE_PRYCE1,PRYCE,TRAINER_CLASS_PRYCE,,,,True,,TRAINER_PIC_PRYCE,,goldsilver_map=MahoganyGym; source=loadtrainer; script_label=MahoganyGymPryceScript; map_line=24; no canonical event_location match in current Crystal script,3,4,,PRYCE,PRYCE1,MahoganyGym,loadtrainer,24,,,manual_missing
TRAINER_CAL_CAL1,CAL,TRAINER_CLASS_CAL,,,,,,TRAINER_PIC_CAL,,party exists in decomp but no map trainer/loadtrainer reference was found,3,4,,CAL,CAL1,,,,,,unreferenced
TRAINER_ERIKA_ERIKA1,ERIKA,TRAINER_CLASS_ERIKA,,,,True,,TRAINER_PIC_ERIKA,,goldsilver_map=CeladonGym; source=loadtrainer; script_label=CeladonGymErikaScript; map_line=23; canonical candidate 26 Celadon City is not in Crystal event_locations,3,4,,ERIKA,ERIKA1,CeladonGym,loadtrainer,23,,,canon_not_in_event
TRAINER_YOUNGSTER_JOEY2,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,goldsilver_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=80; rematch variant; base fight should drive current app display,3,4,,YOUNGSTER,JOEY2,Route30,loadtrainer,80,,,route
TRAINER_YOUNGSTER_JOEY3,JOEY,TRAINER_CLASS_YOUNGSTER,57,Route 30,True,True,,TRAINER_PIC_YOUNGSTER,,goldsilver_map=Route30; source=loadtrainer; script_label=TrainerYoungsterJoey; map_line=87; rematch variant; base fight should drive current app display,3,4,,YOUNGSTER,JOEY3,Route30,loadtrainer,87,,,route
TRAINER_SCHOOLBOY_JACK2,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,goldsilver_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=114; rematch variant; base fight should drive current app display,3,4,,SCHOOLBOY,JACK2,NationalPark,loadtrainer,114,,,direct
TRAINER_SCHOOLBOY_JACK3,JACK,TRAINER_CLASS_SCHOOLBOY,72,National Park,True,True,,TRAINER_PIC_SCHOOLBOY,,goldsilver_map=NationalPark; source=loadtrainer; script_label=TrainerSchoolboyJack1; map_line=121; rematch variant; base fight should drive current app display,3,4,,SCHOOLBOY,JACK3,NationalPark,loadtrainer,121,,,direct
TRAINER_SCHOOLBOY_ALAN2,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,goldsilver_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=157; rematch variant; base fight should drive current app display,3,4,,SCHOOLBOY,ALAN2,Route36,loadtrainer,157,,,route
TRAINER_SCHOOLBOY_ALAN3,ALAN,TRAINER_CLASS_SCHOOLBOY,73,Route 36,True,True,,TRAINER_PIC_SCHOOLBOY,,goldsilver_map=Route36; source=loadtrainer; script_label=TrainerSchoolboyAlan1; map_line=164; rematch variant; base fight should drive current app display,3,4,,SCHOOLBOY,ALAN3,Route36,loadtrainer,164,,,route
TRAINER_SCHOOLBOY_CHAD2,CHAD,TRAINER_CLASS_SCHOOLBOY,78,Route 38,True,True,,TRAINER_PIC_SCHOOLBOY,,goldsilver_map=Route38; source=loadtrainer; script_label=TrainerSchoolboyChad1; map_line=161; rematch variant; base fight should drive current app display,3,4,,SCHOOLBOY,CHAD2,Route38,loadtrainer,161,,,route
