encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,crystal_class,crystal_id,map,source,map_line,x,y,location_method
TRAINER_FALKNER_FALKNER1,FALKNER,TRAINER_CLASS_FALKNER,60,Violet City,,True,,TRAINER_PIC_FALKNER,,goldsilver_map=VioletGym; source=loadtrainer; script_label=VioletGymFalknerScript; map_line=21,3,4,,FALKNER,FALKNER1,VioletGym,loadtrainer,21,,,manual
TRAINER_WHITNEY_WHITNEY1,WHITNEY,TRAINER_CLASS_WHITNEY,70,Goldenrod City,,True,,TRAINER_PIC_WHITNEY,,goldsilver_map=GoldenrodGym; source=loadtrainer; script_label=GoldenrodGymWhitneyScript; map_line=31,3,4,,WHITNEY,WHITNEY1,GoldenrodGym,loadtrainer,31,,,manual
TRAINER_BUGSY_BUGSY1,BUGSY,TRAINER_CLASS_BUGSY,66,Azalea Town,,True,,TRAINER_PIC_BUGSY,,goldsilver_map=AzaleaGym; source=loadtrainer; script_label=AzaleaGymBugsyScript; map_line=24,3,4,,BUGSY,BUGSY1,AzaleaGym,loadtrainer,24,,,manual
TRAINER_MORTY_MORTY1,MORTY,TRAINER_CLASS_MORTY,75,Ecruteak City,,True,,TRAINER_PIC_MORTY,,goldsilver_map=EcruteakGym; source=loadtrainer; script_label=EcruteakGymMortyScript; map_line=23,3,4,,MORTY,MORTY1,EcruteakGym,loadtrainer,23,,,manual
TRAINER_PRYCE_PRYCE1,PRYCE,TRAINER_CLASS_PRYCE,,,,True,,TRAINER_PIC_PRYCE,,goldsilver_map=MahoganyGym; source=loadtrainer; script_label=MahoganyGymPryceScript; map_line=24; no canonical event_location match in current Crystal script,3,4,,PRYCE,PRYCE1,MahoganyGym,loadtrainer,24,,,manual_missing
TRAINER_JASMINE_JASMINE1,JASMINE,TRAINER_CLASS_JASMINE,80,Olivine City,,True,,TRAINER_PIC_JASMINE,,goldsilver_map=OlivineGym; source=loadtrainer; script_label=OlivineGymJasmineScript; map_line=19,3,4,,JASMINE,JASMINE1,OlivineGym,loadtrainer,19,,,manual
TRAINER_CHUCK_CHUCK1,CHUCK,TRAINER_CLASS_CHUCK,84,Cianwood City,,True,,TRAINER_PIC_CHUCK,,goldsilver_map=CianwoodGym; source=loadtrainer; script_label=CianwoodGymChuckScript; map_line=41,3,4,,CHUCK,CHUCK1,CianwoodGym,loadtrainer,41,,,manual
TRAINER_CLAIR_CLAIR1,CLAIR,TRAINER_CLASS_CLAIR,92,Blackthorn City,,True,,TRAINER_PIC_CLAIR,,goldsilver_map=BlackthornGym1F; source=loadtrainer; script_label=BlackthornGymClairScript; map_line=40,3,4,,CLAIR,CLAIR1,BlackthornGym1F,loadtrainer,40,,,manual
TRAINER_RIVAL1_RIVAL1_1_CHIKORITA,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=133,3,4,,RIVAL1,RIVAL1_1_CHIKORITA,CherrygroveCity,loadtrainer,133,,,direct
TRAINER_RIVAL1_RIVAL1_1_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=144,3,4,,RIVAL1,RIVAL1_1_CYNDAQUIL,CherrygroveCity,loadtrainer,144,,,direct
TRAINER_RIVAL1_RIVAL1_1_TOTODILE,,TRAINER_CLASS_RIVAL1,56,Cherrygrove City,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=CherrygroveCity; source=loadtrainer; script_label=CherrygroveRivalSceneNorth; map_line=122,3,4,,RIVAL1,RIVAL1_1_TOTODILE,CherrygroveCity,loadtrainer,122,,,direct
TRAINER_RIVAL1_RIVAL1_2_CHIKORITA,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=73,3,4,,RIVAL1,RIVAL1_2_CHIKORITA,AzaleaTown,loadtrainer,73,,,direct
TRAINER_RIVAL1_RIVAL1_2_CYNDAQUIL,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=82,3,4,,RIVAL1,RIVAL1_2_CYNDAQUIL,AzaleaTown,loadtrainer,82,,,direct
TRAINER_RIVAL1_RIVAL1_2_TOTODILE,,TRAINER_CLASS_RIVAL1,66,Azalea Town,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=AzaleaTown; source=loadtrainer; script_label=AzaleaTownRivalBattleScript; map_line=64,3,4,,RIVAL1,RIVAL1_2_TOTODILE,AzaleaTown,loadtrainer,64,,,direct
TRAINER_RIVAL1_RIVAL1_3_CHIKORITA,,TRAINER_CLASS_RIVAL1,76,Burned Tower,,True,,TRAINER_PIC_RIVAL1,,goldsilver_map=BurnedTower1F; source=loadtrainer; script_label=BurnedTower1FRivalBattleScript; map_line=61,3,4,,RIVAL1,RIVAL1_3_CHIKORITA,BurnedTower1F,loadtrainer,61,,,manual
