row_num,event_id,trainer_id,encounter_name,sort_order,encounter_title,starter,event_type,version_group_id
1,399,11525,TRAINER_RIVAL_SILVER_6,4.1,Cherrygrove City,Water,Rival,10
2,400,11262,TRAINER_RIVAL_SILVER_2,4.1,Cherrygrove City,Grass,Rival,10
3,401,11263,TRAINER_RIVAL_SILVER_3,4.1,Cherrygrove City,Fire,Rival,10
4,402,11280,TRAINER_LEADER_FALKNER_FALKNER,8.1,Violet City Gym,,,10
5,403,11746,TRAINER_EXECUTIVE_PROTON_PROTON,15.1,Slowpoke Well,,,10
6,404,11281,TRAINER_LEADER_BUGSY_BUGSY,14.1,Azalea Town Gym,,,10
7,405,11261,TRAINER_RIVAL_SILVER,14.2,Azalea Town,Water,Rival,10
8,406,11526,TRAINER_RIVAL_SILVER_7,14.2,Azalea Town,Grass,Rival,10
9,407,11529,TRAINER_RIVAL_SILVER_10,14.2,Azalea Town,Fire,Rival,10
10,408,11290,TRAINER_LEADER_WHITNEY,18.1,Goldenrod City Gym,,,10
11,409,11523,TRAINER_RIVAL_SILVER_4,24.1,Burned Tower,Water,Rival,10
12,410,11527,TRAINER_RIVAL_SILVER_8,24.1,Burned Tower,Grass,Rival,10
13,411,11530,TRAINER_RIVAL_SILVER_11,24.1,Burned Tower,Fire,Rival,10
14,412,11291,TRAINER_LEADER_MORTY_MORTY,23.1,Ecruteak City Gym,,,10
15,413,11294,TRAINER_LEADER_CHUCK_CHUCK,32.1,Cianwood City Gym,,,10
16,414,11293,TRAINER_LEADER_JASMINE_JASMINE,32.2,Olivine City Gym,,,10
17,415,11748,TRAINER_EXECUTIVE_PETREL_PETREL_2,41.1,Rocket Hideout,,,10
18,416,11739,TRAINER_EXECUTIVE_ARIANA_ARIANA_2,41.2,Rocket Hideout,,,10
19,417,11292,TRAINER_LEADER_PRYCE_PRYCE,41.3,Mahogany Town Gym,,,10
20,418,11548,TRAINER_RIVAL_SILVER_17,43.1,Goldenrod City,Water,Rival,10
21,419,11549,TRAINER_RIVAL_SILVER_18,43.1,Goldenrod City,Grass,Rival,10
22,420,11531,TRAINER_RIVAL_SILVER_12,43.1,Goldenrod City,Fire,Rival,10
23,421,11747,TRAINER_EXECUTIVE_PETREL_PETREL,43.2,Radio Tower,,,10
24,422,11966,TRAINER_EXECUTIVE_PROTON_PROTON_2,43.3,Radio Tower,,,10
25,423,11738,TRAINER_EXECUTIVE_ARIANA_ARIANA,43.4,Radio Tower,,,10
26,424,11745,TRAINER_EXECUTIVE_ARCHER_ARCHER,43.5,Radio Tower,,,10
27,425,11295,TRAINER_LEADER_CLAIR_CLAIR,46.1,Blackthorn City Gym,,,10
28,426,11524,TRAINER_RIVAL_SILVER_5,52.1,Victory Road,Water,Rival,10
29,427,11528,TRAINER_RIVAL_SILVER_9,52.1,Victory Road,Grass,Rival,10
30,428,11532,TRAINER_RIVAL_SILVER_13,52.1,Victory Road,Fire,Rival,10
31,429,11505,TRAINER_ELITE_FOUR_WILL_WILL,52.2,Elite Four,,,10
32,430,11507,TRAINER_ELITE_FOUR_KOGA_KOGA,52.3,Elite Four,,,10
33,431,11678,TRAINER_ELITE_FOUR_BRUNO_BRUNO,52.4,Elite Four,,,10
34,432,11506,TRAINER_ELITE_FOUR_KAREN_KAREN,52.5,Elite Four,,,10
35,433,11504,TRAINER_CHAMPION_LANCE,52.6,Champion,,,10
36,434,11515,TRAINER_LEADER_LT_SURGE_LT__SURGE,53.1,Vermilion City Gym,,,10
37,435,11518,TRAINER_LEADER_SABRINA_SABRINA,55.1,Saffron City Gym,,,10
38,436,11516,TRAINER_LEADER_ERIKA_ERIKA,57.1,Celadon City Gym,,,10
39,437,11517,TRAINER_LEADER_JANINE_JANINE,61.1,Fuchsia City Gym,,,10
40,438,11514,TRAINER_LEADER_MISTY_MISTY,73.1,Cerulean City Gym,,,10
41,439,11513,TRAINER_LEADER_BROCK_BROCK,78.1,Pewter City Gym,,,10
42,440,11545,TRAINER_RIVAL_SILVER_14,80.1,Mt. Moon,Water,Rival,10
43,441,11546,TRAINER_RIVAL_SILVER_15,80.1,Mt. Moon,Grass,Rival,10
44,442,11547,TRAINER_RIVAL_SILVER_16,80.1,Mt. Moon,Fire,Rival,10
45,443,11519,TRAINER_LEADER_BLAINE_BLAINE,87.1,Cinnabar Island Gym,,,10
46,444,11521,TRAINER_LEADER_BLUE_BLUE,83.1,Viridian City Gym,,,10
47,445,11520,TRAINER_PKMN_TRAINER_RED_RED,92.1,Mt. Silver,,,10
