canonical_location_id,canonical_location_name,sort_order
1,Starter,0
101,New Bark  Town,1
55,Route 29,2
95,Route 46,3
56,Cherrygrove City,4
57,Route 30,5
58,Route 31,6
59,Dark  Cave,7
60,Violet City,8
61,Sprout Tower,9
62,Route 32,10
63,Ruins of Alph,11
64,Union Cave,12
65,Route 33,13
66,Azalea Town,14
67,Slowpoke Well,15
68,Ilex Forest,16
69,Route 34,17
70,Goldenrod City,18
71,Route 35,19
72,National Park,20
73,Route 36,21
74,Route 37,22
75,Ecruteak City,23
76,Burned Tower,24
479,Bell Tower,25
78,Route 38,26
79,Route 39,27
80,Olivine City,28
81,Route 40,29
82,Route 41,30
83,Whirl Islands,31
84,Cianwood City,32
228,Cliff Edge Gate,33
229,Route 47,34
230,Cliff Cave,35
231,Route 48,36
232,Safari Zone Gate,37
33,Safari Zone,38
85,Route 42,39
86,Mt. Mortar,40
89,Rocket Hideout,41
88,Lake of Rage,42
87,Route 43,43
90,Route 44,44
91,Ice Path,45
92,Blackthorn City,46
93,Dragon's Den,47
94,Route 45,48
96,Route 27,49
97,Tohjo Falls,50
98,Route 26,51
48,Victory Road,52
16,Vermilion City,53
15,Route 6,54
27,Saffron City,55
25,Route 7,56
26,Celadon City,57
29,Route 16,58
30,Route 17,59
31,Route 18,60
32,Fuschia City,61
34,Route 15,62
35,Route 14,63
36,Route 13,64
23,Route 12,65
24,Route 8,66
14,Route 5,67
19,Route 9,68
20,Route 10,69
37,Power Plant,70
12,Route 24,71
13,Route 25,72
11,Cerulean City,73
21,Rock Tunnel,74
9,Route 4,75
17,Route 11,76
18,Digletts Cave,77
54,Pewter City,78
8,Route 3,79
10,Mt. Moon,80
7,Viridian  Forest,81
6,Route 2,82
4,Viridian City,83
3,Route 1,84
2,Pallet Town,85
46,Route 21,86
41,Cinnabar Island,87
39,Route 20,88
38,Route 19,89
5,Route 22,90
99,Route 28,91
100,Mt. Silver,92
