encounter_name,map_name,matched_canonical_location_id,matched_canonical_location_name,matched_map
TRAINER_RIVAL_SILVER,0866_T23,66,Azalea Town,0866_T23
TRAINER_BUG_CATCHER_WADE,032_R31,58,Route 31,032_R31
TRAINER_BEAUTY_VICTORIA,0886_T25GYM0101,70,Goldenrod City,0886_T25GYM0101
TRAINER_BEAUTY_VICTORIA,133_T25GYM0101,70,Goldenrod City,0886_T25GYM0101
TRAINER_POLICEMAN_KEITH,035_R34,69,Route 34,035_R34
TRAINER_JUGGLER_IRWIN,036_R35,71,Route 35,036_R35
TRAINER_YOUNGSTER_JOEY,031_R30,57,Route 30,031_R30
TRAINER_SWIMMER_F_ELAINE,091_W40,81,Route 40,091_W40
TRAINER_TWINS_AMY_AND_MIMI,0869_T23GYM0102,66,Azalea Town,0869_T23GYM0102
TRAINER_TWINS_AMY_AND_MIMI,173_T23GYM0102,66,Azalea Town,0869_T23GYM0102
TRAINER_TEAM_ROCKET_GRUNT,170_D26R0102,67,Slowpoke Well,170_D26R0102
TRAINER_TEAM_ROCKET_F_GRUNT,170_D26R0102,67,Slowpoke Well,170_D26R0102
TRAINER_BURGLAR_DUNCAN,194_D37R0104,,,
TRAINER_FIREBREATHER_OTIS,008_R03,8,Route 3,008_R03
TRAINER_SWIMMER_M_SIMON,091_W40,81,Route 40,091_W40
TRAINER_BLACK_BELT_KENJI,044_R45,94,Route 45,044_R45
TRAINER_FISHERMAN_JUSTIN,033_R32,62,Route 32,033_R32
TRAINER_LEADER_FALKNER_FALKNER,0859_T22GYM0101,60,Violet City,0859_T22GYM0101
TRAINER_LEADER_BUGSY_BUGSY,0869_T23GYM0102,66,Azalea Town,0869_T23GYM0102
TRAINER_LASS_CARRIE,0886_T25GYM0101,70,Goldenrod City,0886_T25GYM0101
TRAINER_LASS_CARRIE,133_T25GYM0101,70,Goldenrod City,0886_T25GYM0101
TRAINER_POKE_MANIAC_LARRY,096_D25R0101,64,Union Cave,096_D25R0101
TRAINER_SCHOOL_KID_M_ALAN,037_R36,73,Route 36,037_R36
TRAINER_HIKER_RUSSEL,096_D25R0101,64,Union Cave,096_D25R0101
TRAINER_CAMPER_ROLAND,033_R32,62,Route 32,033_R32
TRAINER_PICNICKER_LIZ,033_R32,62,Route 32,033_R32
TRAINER_ACE_TRAINER_M_JAKE,027_R26,98,Route 26,027_R26
TRAINER_BIRD_KEEPER_GS_ROD,0859_T22GYM0101,60,Violet City,0859_T22GYM0101
TRAINER_BIRD_KEEPER_GS_ROD,131_T22GYM0101,60,Violet City,0859_T22GYM0101
TRAINER_LEADER_WHITNEY,0886_T25GYM0101,70,Goldenrod City,0886_T25GYM0101
TRAINER_LEADER_MORTY_MORTY,0922_T27GYM0101,75,Ecruteak City,0922_T27GYM0101
TRAINER_LEADER_PRYCE_PRYCE,0932_T28GYM0101,,,
TRAINER_LEADER_JASMINE_JASMINE,0913_T26GYM0101,80,Olivine City,0913_T26GYM0101
TRAINER_LEADER_CHUCK_CHUCK,0877_T24GYM0101,84,Cianwood City,0877_T24GYM0101
TRAINER_LEADER_CLAIR_CLAIR,0943_T30GYM0101,92,Blackthorn City,0943_T30GYM0101
TRAINER_ACE_TRAINER_F_JOYCE,027_R26,98,Route 26,027_R26
TRAINER_GENTLEMAN_PRESTON,209_D27R0105,,,
TRAINER_TEACHER_COLETTE,020_R15,34,Route 15,020_R15
TRAINER_SAILOR_EUGENE,040_R39,79,Route 39,040_R39
TRAINER_GUITARIST_CLYDE,282_P01R0305,,,
TRAINER_PSYCHIC_M_NATHAN,110_D24R0101,63,Ruins of Alph,110_D24R0101
