encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_ACE_TRAINER_F_CAROL,ELECTRODE,43,"THUNDER,SELFDESTRUCT,SWIFT,RAIN_DANCE",,50,10,5,1
TRAINER_ACE_TRAINER_F_CAROL,STARMIE,43,"RECOVER,BRINE,THUNDER,PSYCHIC",,50,10,5,2
TRAINER_ACE_TRAINER_F_CAROL,NINETALES,43,"NASTY_PLOT,FIRE_BLAST,CONFUSE_RAY,WILL_O_WISP",,50,10,5,3
TRAINER_ACE_TRAINER_F_CYBIL,MAREEP,29,"DISCHARGE,COTTON_SPORE,CHARGE,TACKLE",,50,10,5,1
TRAINER_ACE_TRAINER_F_CYBIL,BELLOSSOM,29,"MEGA_DRAIN,STUN_SPORE,ACID,MAGICAL_LEAF",,50,10,5,2
TRAINER_ACE_TRAINER_F_EMMA,POLIWHIRL,28,,,50,10,5,1
TRAINER_ACE_TRAINER_F_FRAN,SEADRA,38,,,60,10,5,1
TRAINER_ACE_TRAINER_F_GWEN,EEVEE,26,,,50,10,5,1
TRAINER_ACE_TRAINER_F_GWEN,FLAREON,22,,,50,10,5,2
TRAINER_ACE_TRAINER_F_GWEN,VAPOREON,22,,,50,10,5,3
TRAINER_ACE_TRAINER_F_GWEN,JOLTEON,22,,,50,10,5,4
TRAINER_ACE_TRAINER_F_IRENE,GOLDEEN,22,,,50,10,5,1
TRAINER_ACE_TRAINER_F_IRENE,SEAKING,24,,,50,10,5,2
TRAINER_ACE_TRAINER_F_JAMIE,RAPIDASH,36,"STOMP,FIRE_SPIN,WILL_O_WISP,AGILITY",,50,10,5,1
TRAINER_ACE_TRAINER_F_JAMIE,FLAAFFY,31,"DISCHARGE,COTTON_SPORE,THUNDER_WAVE,CHARGE",,50,10,5,2
TRAINER_ACE_TRAINER_F_JAMIE_2,RAPIDASH,38,"STOMP,FIRE_SPIN,FLAME_WHEEL,EMBER",,50,10,5,1
TRAINER_ACE_TRAINER_F_JAMIE_2,AMPHAROS,37,"DISCHARGE,SIGNAL_BEAM,CHARGE,THUNDER_PUNCH",,50,10,5,2
TRAINER_ACE_TRAINER_F_JAMIE_3,RAPIDASH,42,"STOMP,FIRE_SPIN,FIRE_BLAST,EMBER",,50,10,5,1
TRAINER_ACE_TRAINER_F_JAMIE_3,AMPHAROS,40,"DISCHARGE,SIGNAL_BEAM,CHARGE,THUNDER_WAVE",,50,10,5,2
TRAINER_ACE_TRAINER_F_JAMIE_4,RAPIDASH,56,"BOUNCE,FIRE_SPIN,FLARE_BLITZ,EMBER",,50,10,5,1
TRAINER_ACE_TRAINER_F_JAMIE_4,AMPHAROS,59,"POWER_GEM,THUNDER,SIGNAL_BEAM,CHARGE",,50,10,5,2
TRAINER_ACE_TRAINER_F_JENN,STARYU,24,,,50,10,5,1
TRAINER_ACE_TRAINER_F_JENN,STARMIE,26,,,50,10,5,2
TRAINER_ACE_TRAINER_F_JOYCE,PIKACHU,36,"QUICK_ATTACK,DOUBLE_TEAM,THUNDERBOLT,THUNDER_WAVE",,50,10,5,1
TRAINER_ACE_TRAINER_F_JOYCE,BLASTOISE,36,"BITE,AQUA_TAIL,SURF,RAIN_DANCE",,50,10,5,2
TRAINER_ACE_TRAINER_F_KATE,SHELLDER,26,,,50,10,5,1
TRAINER_ACE_TRAINER_F_KATE,CLOYSTER,28,,,50,10,5,2
TRAINER_ACE_TRAINER_F_KELLY,MARILL,27,,,50,10,5,1
TRAINER_ACE_TRAINER_F_KELLY,WARTORTLE,24,,,50,10,5,2
TRAINER_ACE_TRAINER_F_KELLY,WARTORTLE,24,,,50,10,5,3
TRAINER_ACE_TRAINER_F_LOIS,MAREEP,25,"THUNDER_SHOCK,COTTON_SPORE,THUNDER_WAVE,CHARGE",,50,10,5,1
TRAINER_ACE_TRAINER_F_LOIS,NINETALES,25,"FLAMETHROWER,QUICK_ATTACK,CONFUSE_RAY,NASTY_PLOT",,50,10,5,2
TRAINER_ACE_TRAINER_F_LOLA,DRATINI,35,,,60,10,5,1
TRAINER_ACE_TRAINER_F_LOLA,DRAGONAIR,37,,,60,10,5,2
