encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_RIVAL_SILVER,SILVER,TRAINER_CLASS_RIVAL,66,,,,TRAINER_PIC_SILVER,,heartgoldsoulsilver_trainer_index=1; source=files/poketool/trainer/trainers.json; map_refs=0866_T23; matched_map=0866_T23,10,5,
TRAINER_BUG_CATCHER_WADE,WADE,TRAINER_CLASS_BUG_CATCHER,58,,,,TRAINER_PIC_BUG_CATCHER,,heartgoldsoulsilver_trainer_index=4; source=files/poketool/trainer/trainers.json; map_refs=032_R31; matched_map=032_R31,10,5,
TRAINER_BEAUTY_VICTORIA,VICTORIA,TRAINER_CLASS_BEAUTY,70,,,,TRAINER_PIC_BEAUTY,,heartgoldsoulsilver_trainer_index=5; source=files/poketool/trainer/trainers.json; map_refs=0886_T25GYM0101|133_T25GYM0101; matched_map=0886_T25GYM0101,10,5,
TRAINER_POLICEMAN_KEITH,KEITH,TRAINER_CLASS_POLICEMAN,69,,,,TRAINER_PIC_POLICEMAN,,heartgoldsoulsilver_trainer_index=6; source=files/poketool/trainer/trainers.json; map_refs=035_R34; matched_map=035_R34,10,5,
TRAINER_JUGGLER_IRWIN,IRWIN,TRAINER_CLASS_JUGGLER,71,,,,TRAINER_PIC_JUGGLER,,heartgoldsoulsilver_trainer_index=7; source=files/poketool/trainer/trainers.json; map_refs=036_R35; matched_map=036_R35,10,5,
TRAINER_YOUNGSTER_JOEY,JOEY,TRAINER_CLASS_YOUNGSTER,57,,,,TRAINER_PIC_YOUNGSTER,,heartgoldsoulsilver_trainer_index=8; source=files/poketool/trainer/trainers.json; map_refs=031_R30; matched_map=031_R30,10,5,
TRAINER_SWIMMER_F_ELAINE,ELAINE,TRAINER_CLASS_SWIMMER_F,81,,,,TRAINER_PIC_SWIMMER_FEMALE,,heartgoldsoulsilver_trainer_index=9; source=files/poketool/trainer/trainers.json; map_refs=091_W40; matched_map=091_W40,10,5,
TRAINER_TWINS_AMY_AND_MIMI,AMY & MIMI,TRAINER_CLASS_TWINS,66,,,,TRAINER_PIC_TWINS,True,heartgoldsoulsilver_trainer_index=10; source=files/poketool/trainer/trainers.json; map_refs=0869_T23GYM0102|173_T23GYM0102; matched_map=0869_T23GYM0102,10,5,
TRAINER_TEAM_ROCKET_GRUNT,GRUNT,TRAINER_CLASS_TEAM_ROCKET,67,,,,TRAINER_PIC_ROCKET_GRUNT_M,,heartgoldsoulsilver_trainer_index=12; source=files/poketool/trainer/trainers.json; map_refs=170_D26R0102; matched_map=170_D26R0102,10,5,
TRAINER_TEAM_ROCKET_F_GRUNT,GRUNT,TRAINER_CLASS_TEAM_ROCKET_F,67,,,,TRAINER_PIC_ROCKET_GRUNT_F,,heartgoldsoulsilver_trainer_index=13; source=files/poketool/trainer/trainers.json; map_refs=170_D26R0102; matched_map=170_D26R0102,10,5,
TRAINER_FIREBREATHER_OTIS,OTIS,TRAINER_CLASS_FIREBREATHER,8,,,,TRAINER_PIC_FIREBREATHER,,heartgoldsoulsilver_trainer_index=15; source=files/poketool/trainer/trainers.json; map_refs=008_R03; matched_map=008_R03,10,5,
