encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_RIVAL_SILVER,SILVER,TRAINER_CLASS_RIVAL,66,,,,TRAINER_PIC_SILVER,,heartgoldsoulsilver_trainer_index=1; source=files/poketool/trainer/trainers.json; map_refs=0866_T23; matched_map=0866_T23,10,5,
TRAINER_RIVAL_SILVER_2,SILVER,TRAINER_CLASS_RIVAL,,true,,,TRAINER_PIC_SILVER,,heartgoldsoulsilver_trainer_index=2; source=files/poketool/trainer/trainers.json; location_unpaired=true,10,5,
TRAINER_RIVAL_SILVER_3,SILVER,TRAINER_CLASS_RIVAL,,true,,,TRAINER_PIC_SILVER,,heartgoldsoulsilver_trainer_index=3; source=files/poketool/trainer/trainers.json; location_unpaired=true,10,5,
TRAINER_BUG_CATCHER_WADE,WADE,TRAINER_CLASS_BUG_CATCHER,58,,,,TRAINER_PIC_BUG_CATCHER,,heartgoldsoulsilver_trainer_index=4; source=files/poketool/trainer/trainers.json; map_refs=032_R31; matched_map=032_R31,10,5,
TRAINER_BEAUTY_VICTORIA,VICTORIA,TRAINER_CLASS_BEAUTY,70,,,,TRAINER_PIC_BEAUTY,,heartgoldsoulsilver_trainer_index=5; source=files/poketool/trainer/trainers.json; map_refs=0886_T25GYM0101|133_T25GYM0101; matched_map=0886_T25GYM0101,10,5,
TRAINER_POLICEMAN_KEITH,KEITH,TRAINER_CLASS_POLICEMAN,69,,,,TRAINER_PIC_POLICEMAN,,heartgoldsoulsilver_trainer_index=6; source=files/poketool/trainer/trainers.json; map_refs=035_R34; matched_map=035_R34,10,5,
TRAINER_JUGGLER_IRWIN,IRWIN,TRAINER_CLASS_JUGGLER,71,,,,TRAINER_PIC_JUGGLER,,heartgoldsoulsilver_trainer_index=7; source=files/poketool/trainer/trainers.json; map_refs=036_R35; matched_map=036_R35,10,5,
TRAINER_YOUNGSTER_JOEY,JOEY,TRAINER_CLASS_YOUNGSTER,57,,,,TRAINER_PIC_YOUNGSTER,,heartgoldsoulsilver_trainer_index=8; source=files/poketool/trainer/trainers.json; map_refs=031_R30; matched_map=031_R30,10,5,
TRAINER_SWIMMER_F_ELAINE,ELAINE,TRAINER_CLASS_SWIMMER_F,81,,,,TRAINER_PIC_SWIMMER_FEMALE,,heartgoldsoulsilver_trainer_index=9; source=files/poketool/trainer/trainers.json; map_refs=091_W40; matched_map=091_W40,10,5,
TRAINER_TWINS_AMY_AND_MIMI,AMY & MIMI,TRAINER_CLASS_TWINS,66,,,,TRAINER_PIC_TWINS,True,heartgoldsoulsilver_trainer_index=10; source=files/poketool/trainer/trainers.json; map_refs=0869_T23GYM0102|173_T23GYM0102; matched_map=0869_T23GYM0102,10,5,
TRAINER_KIMONO_GIRL_MICKEY,MICKEY,TRAINER_CLASS_KIMONO_GIRL,,,,,TRAINER_PIC_KIMONO_GIRL,,heartgoldsoulsilver_trainer_index=11; source=files/poketool/trainer/trainers.json; location_unpaired=true,10,5,
TRAINER_TEAM_ROCKET_GRUNT,GRUNT,TRAINER_CLASS_TEAM_ROCKET,67,,,,TRAINER_PIC_ROCKET_GRUNT_M,,heartgoldsoulsilver_trainer_index=12; source=files/poketool/trainer/trainers.json; map_refs=170_D26R0102; matched_map=170_D26R0102,10,5,
TRAINER_TEAM_ROCKET_F_GRUNT,GRUNT,TRAINER_CLASS_TEAM_ROCKET_F,67,,,,TRAINER_PIC_ROCKET_GRUNT_F,,heartgoldsoulsilver_trainer_index=13; source=files/poketool/trainer/trainers.json; map_refs=170_D26R0102; matched_map=170_D26R0102,10,5,
TRAINER_BURGLAR_DUNCAN,DUNCAN,TRAINER_CLASS_BURGLAR,,,,,TRAINER_PIC_BURGLAR,,heartgoldsoulsilver_trainer_index=14; source=files/poketool/trainer/trainers.json; map_refs=194_D37R0104; location_unpaired=true,10,5,
TRAINER_FIREBREATHER_OTIS,OTIS,TRAINER_CLASS_FIREBREATHER,8,,,,TRAINER_PIC_FIREBREATHER,,heartgoldsoulsilver_trainer_index=15; source=files/poketool/trainer/trainers.json; map_refs=008_R03; matched_map=008_R03,10,5,
TRAINER_SWIMMER_M_SIMON,SIMON,TRAINER_CLASS_SWIMMER_M,81,,,,TRAINER_PIC_SWIMMER_MALE,,heartgoldsoulsilver_trainer_index=16; source=files/poketool/trainer/trainers.json; map_refs=091_W40; matched_map=091_W40,10,5,
TRAINER_BLACK_BELT_KENJI,KENJI,TRAINER_CLASS_BLACK_BELT,94,,,,TRAINER_PIC_BLACK_BELT,,heartgoldsoulsilver_trainer_index=17; source=files/poketool/trainer/trainers.json; map_refs=044_R45; matched_map=044_R45,10,5,
TRAINER_FISHERMAN_JUSTIN,JUSTIN,TRAINER_CLASS_FISHERMAN,62,,,,TRAINER_PIC_FISHERMAN,,heartgoldsoulsilver_trainer_index=18; source=files/poketool/trainer/trainers.json; map_refs=033_R32; matched_map=033_R32,10,5,
TRAINER_BIKER_MICKEY,MICKEY,TRAINER_CLASS_BIKER,,,,,TRAINER_PIC_BIKER,,heartgoldsoulsilver_trainer_index=19; source=files/poketool/trainer/trainers.json; location_unpaired=true,10,5,
TRAINER_LEADER_FALKNER_FALKNER,FALKNER,TRAINER_CLASS_LEADER_FALKNER,60,,,,TRAINER_PIC_FALKNER,,heartgoldsoulsilver_trainer_index=20; source=files/poketool/trainer/trainers.json; map_refs=0859_T22GYM0101; matched_map=0859_T22GYM0101,10,5,
TRAINER_LEADER_BUGSY_BUGSY,BUGSY,TRAINER_CLASS_LEADER_BUGSY,66,,,ITEM_SUPER_POTION,TRAINER_PIC_BUGSY,,heartgoldsoulsilver_trainer_index=21; source=files/poketool/trainer/trainers.json; map_refs=0869_T23GYM0102; matched_map=0869_T23GYM0102,10,5,
TRAINER_LASS_CARRIE,CARRIE,TRAINER_CLASS_LASS,70,,,,TRAINER_PIC_LASS,,heartgoldsoulsilver_trainer_index=22; source=files/poketool/trainer/trainers.json; map_refs=0886_T25GYM0101|133_T25GYM0101; matched_map=0886_T25GYM0101,10,5,
TRAINER_POKE_MANIAC_LARRY,LARRY,TRAINER_CLASS_POKE_MANIAC,64,,,,TRAINER_PIC_POKE_MANIAC,,heartgoldsoulsilver_trainer_index=23; source=files/poketool/trainer/trainers.json; map_refs=096_D25R0101; matched_map=096_D25R0101,10,5,
TRAINER_SCHOOL_KID_M_ALAN,ALAN,TRAINER_CLASS_SCHOOL_KID_M,73,,,,TRAINER_PIC_SCHOOL_KID_MALE,,heartgoldsoulsilver_trainer_index=24; source=files/poketool/trainer/trainers.json; map_refs=037_R36; matched_map=037_R36,10,5,
TRAINER_HIKER_RUSSEL,RUSSEL,TRAINER_CLASS_HIKER,64,,,,TRAINER_PIC_HIKER,,heartgoldsoulsilver_trainer_index=25; source=files/poketool/trainer/trainers.json; map_refs=096_D25R0101; matched_map=096_D25R0101,10,5,
TRAINER_CAMPER_ROLAND,ROLAND,TRAINER_CLASS_CAMPER,62,,,,TRAINER_PIC_CAMPER,,heartgoldsoulsilver_trainer_index=26; source=files/poketool/trainer/trainers.json; map_refs=033_R32; matched_map=033_R32,10,5,
