row_num,event_id,trainer_id,encounter_name,sort_order,encounter_title,starter,event_type,version_group_id
1,321,8748,TRAINER_RIVAL_ROUTE_201_PIPLUP,2.1,Route 201,Water,Rival,9
2,322,8749,TRAINER_RIVAL_ROUTE_201_TURTWIG,2.1,Route 201,Grass,Rival,9
3,323,8750,TRAINER_RIVAL_ROUTE_201_CHIMCHAR,2.1,Route 201,Fire,Rival,9
4,324,8145,TRAINER_RIVAL_ROUTE_203_PIPLUP,5.1,Route 203,Water,Rival,9
5,325,8146,TRAINER_RIVAL_ROUTE_203_TURTWIG,5.1,Route 203,Grass,Rival,9
6,326,8147,TRAINER_RIVAL_ROUTE_203_CHIMCHAR,5.1,Route 203,Fire,Rival,9
7,327,8144,TRAINER_LEADER_ROARK,7.1,Oreburgh City Gym,,,9
8,328,8193,TRAINER_COMMANDER_MARS_VALLEY_WINDWORKS,14.1,Valley Windworks,,,9
9,329,8213,TRAINER_LEADER_GARDENIA,17.1,Eterna City Gym,,,9
10,330,8304,TRAINER_COMMANDER_JUPITER_TEAM_GALACTIC_ETERNA_BUILDING,17.2,Team Galactic Eterna Building,,,9
11,331,8216,TRAINER_LEADER_FANTINA,22.1,Hearthome City Gym,,,9
12,332,8368,TRAINER_RIVAL_ROUTE_209_PIPLUP,23.1,Route 209,Water,Rival,9
13,333,8369,TRAINER_RIVAL_ROUTE_209_TURTWIG,23.1,Route 209,Grass,Rival,9
14,334,8370,TRAINER_RIVAL_ROUTE_209_CHIMCHAR,23.1,Route 209,Fire,Rival,9
15,335,8215,TRAINER_LEADER_MAYLENE,28.1,Veilstone City Gym,,,9
16,336,8214,TRAINER_LEADER_WAKE,33.1,Pastoria City Gym,,,9
17,337,8371,TRAINER_RIVAL_PASTORIA_CITY_PIPLUP,33.2,Pastoria City,Water,Rival,9
18,338,8372,TRAINER_RIVAL_PASTORIA_CITY_TURTWIG,33.2,Pastoria City,Grass,Rival,9
19,339,8373,TRAINER_RIVAL_PASTORIA_CITY_CHIMCHAR,33.2,Pastoria City,Fire,Rival,9
20,340,8306,TRAINER_COMMANDER_SATURN_VALOR_CAVERN,33.3,Valor Cavern,,,9
21,341,8811,TRAINER_GALACTIC_BOSS_CYRUS_CELESTIC_TOWN_RUINS,37.1,Celestic Town,,,9
22,342,8374,TRAINER_RIVAL_CANALAVE_CITY_PIPLUP,43.1,Canalave City,Water,Rival,9
23,343,8375,TRAINER_RIVAL_CANALAVE_CITY_TURTWIG,43.1,Canalave City,Grass,Rival,9
24,344,8376,TRAINER_RIVAL_CANALAVE_CITY_CHIMCHAR,43.1,Canalave City,Fire,Rival,9
25,345,8148,TRAINER_LEADER_BYRON,43.2,Canalave City Gym,,,9
26,346,8303,TRAINER_COMMANDER_MARS_LAKE_VERITY,43.3,Lake Verity,,,9
27,347,8217,TRAINER_LEADER_CANDICE,49.1,Snowpoint City Gym,,,9
28,348,8301,TRAINER_GALACTIC_BOSS_CYRUS_GALACTIC_HQ,49.2,Galactic HQ,,,9
29,349,8307,TRAINER_COMMANDER_SATURN_GALACTIC_HQ,49.3,Galactic HQ,,,9
30,350,8426,TRAINER_COMMANDER_MARS_SPEAR_PILLAR,49.4,Spear Pillar,,,9
31,351,8305,TRAINER_COMMANDER_JUPITER_SPEAR_PILLAR,49.5,Spear Pillar,,,9
32,352,8302,TRAINER_GALACTIC_BOSS_CYRUS_DISTORTION_WORLD,50.1,Distortion World,,,9
33,353,8218,TRAINER_LEADER_VOLKNER,52.1,Sunyshore City Gym,,,9
34,354,8377,TRAINER_RIVAL_POKEMON_LEAGUE_PIPLUP,55.1,Pokemon League,Water,Rival,9
35,355,8378,TRAINER_RIVAL_POKEMON_LEAGUE_TURTWIG,55.1,Pokemon League,Grass,Rival,9
36,356,8379,TRAINER_RIVAL_POKEMON_LEAGUE_CHIMCHAR,55.1,Pokemon League,Fire,Rival,9
37,357,8159,TRAINER_ELITE_FOUR_AARON,55.2,Elite Four,,,9
38,358,8160,TRAINER_ELITE_FOUR_BERTHA,55.3,Elite Four,,,9
39,359,8161,TRAINER_ELITE_FOUR_FLINT,55.4,Elite Four,,,9
40,360,8162,TRAINER_ELITE_FOUR_LUCIAN,55.5,Elite Four,,,9
41,361,8165,TRAINER_CHAMPION_CYNTHIA,55.6,Champion,,,9
