encounter_name,map_name,matched_canonical_location_id,matched_canonical_location_name,matched_map
TRAINER_YOUNGSTER_TRISTAN,route_202,173,Route 202,route_202
TRAINER_YOUNGSTER_LOGAN,route_202,173,Route 202,route_202
TRAINER_LASS_NATALIE,route_202,173,Route 202,route_202
TRAINER_YOUNGSTER_MICHAEL,route_203,174,Route 203,route_203
TRAINER_YOUNGSTER_TYLER,route_204_south,179,Route 204,route_204_south
TRAINER_LASS_SAMANTHA,route_204_south,179,Route 204,route_204_south
TRAINER_LASS_SARAH,route_204_south,179,Route 204,route_204_south
TRAINER_BUG_CATCHER_BRANDON,route_204_north,179,Route 204,route_204_north
TRAINER_AROMA_LADY_TAYLOR,route_204_north,179,Route 204,route_204_north
TRAINER_TWINS_LIV_AND_LIZ,route_204_north,179,Route 204,route_204_north
TRAINER_CAMPER_JACOB,route_205_south,182,Route 205,route_205_south
TRAINER_PICNICKER_SIENA,route_205_south,182,Route 205,route_205_south
TRAINER_HIKER_DANIEL,route_205_south,182,Route 205,route_205_south
TRAINER_HIKER_NICHOLAS,route_205_south,182,Route 205,route_205_south
TRAINER_BATTLE_GIRL_KELSEY,route_205_south,182,Route 205,route_205_south
TRAINER_AROMA_LADY_ELIZABETH,route_205_south,182,Route 205,route_205_south
TRAINER_FISHERMAN_ANDREW,route_205_north,182,Route 205,route_205_north
TRAINER_FISHERMAN_JOSEPH,route_205_north,182,Route 205,route_205_north
TRAINER_FISHERMAN_ZACHARY,route_205_north,182,Route 205,route_205_north
TRAINER_CYCLIST_AXEL,route_206,187,Route 206,route_206
TRAINER_CYCLIST_JAMES,route_206,187,Route 206,route_206
TRAINER_CYCLIST_JOHN,route_206,187,Route 206,route_206
TRAINER_CYCLIST_RYAN,route_206,187,Route 206,route_206
TRAINER_CYCLIST_MEGAN,route_206,187,Route 206,route_206
TRAINER_CYCLIST_NICOLE,route_206,187,Route 206,route_206
TRAINER_CYCLIST_KAYLA,route_206,187,Route 206,route_206
TRAINER_CYCLIST_RACHEL,route_206,187,Route 206,route_206
TRAINER_YOUNGSTER_AUSTIN,route_207,178,Route 207,route_207
TRAINER_CAMPER_ANTHONY,route_207,178,Route 207,route_207
TRAINER_PICNICKER_LAUREN,route_207,178,Route 207,route_207
TRAINER_HIKER_KEVIN,route_207,178,Route 207,route_207
TRAINER_HIKER_JUSTIN,route_207,178,Route 207,route_207
TRAINER_BATTLE_GIRL_HELEN,route_207,178,Route 207,route_207
TRAINER_HIKER_ROBERT,route_208,190,Route 208,route_208
TRAINER_HIKER_ALEXANDER,route_208,190,Route 208,route_208
TRAINER_HIKER_JONATHAN,route_208,190,Route 208,route_208
TRAINER_BLACK_BELT_KYLE,route_208,190,Route 208,route_208
TRAINER_FISHERMAN_CODY,route_208,190,Route 208,route_208
TRAINER_AROMA_LADY_HANNAH,route_208,190,Route 208,route_208
TRAINER_ARTIST_WILLIAM,route_208,190,Route 208,route_208
TRAINER_BREEDER_ALBERT,route_209,192,Route 209,route_209
TRAINER_BREEDER_JENNIFER,route_209,192,Route 209,route_209
TRAINER_COWGIRL_SHELLEY,route_209,192,Route 209,route_209
TRAINER_JOGGER_RICHARD,route_209,192,Route 209,route_209
TRAINER_POKE_KID_DANIELLE,route_209,192,Route 209,route_209
TRAINER_YOUNG_COUPLE_TY_AND_SUE,route_209,192,Route 209,route_209
TRAINER_BREEDER_KAHLIL,route_210_south,195,Route 210,route_210_south
TRAINER_BREEDER_AMBER,route_210_south,195,Route 210,route_210_south
TRAINER_TWINS_TERI_AND_TIA,route_210_south,195,Route 210,route_210_south
TRAINER_ACE_TRAINER_ERNEST,route_210_north,195,Route 210,route_210_north
TRAINER_ACE_TRAINER_ALYSSA,route_210_north,195,Route 210,route_210_north
TRAINER_VETERAN_BRIAN,route_210_north,195,Route 210,route_210_north
TRAINER_BLACK_BELT_ADAM,route_210_north,195,Route 210,route_210_north
TRAINER_NINJA_BOY_JOEL,route_210_north,195,Route 210,route_210_north
TRAINER_NINJA_BOY_NATHAN,route_210_north,195,Route 210,route_210_north
TRAINER_NINJA_BOY_DAVIDO,route_210_north,195,Route 210,route_210_north
TRAINER_DRAGON_TAMER_PATRICK,route_210_north,195,Route 210,route_210_north
TRAINER_BIRD_KEEPER_BRIANNA,route_210_north,195,Route 210,route_210_north
TRAINER_DOUBLE_TEAM_ZAC_AND_JEN,route_210_north,195,Route 210,route_210_north
TRAINER_BIRD_KEEPER_ALEXANDRA,route_211_west,217,Route 211,route_211_west
TRAINER_NINJA_BOY_ZACH,route_211_west,217,Route 211,route_211_west
TRAINER_BLACK_BELT_SEAN,route_211_east,217,Route 211,route_211_east
TRAINER_NINJA_BOY_NICK,route_211_east,217,Route 211,route_211_east
TRAINER_BIRD_KEEPER_KATHERINE,route_211_east,217,Route 211,route_211_east
TRAINER_RICH_BOY_JASON,route_212_north,201,Route 212,route_212_north
TRAINER_LADY_MELISSA,route_212_north,201,Route 212,route_212_north
TRAINER_GENTLEMAN_JEREMY,route_212_north,201,Route 212,route_212_north
TRAINER_SOCIALITE_REINA,route_212_north,201,Route 212,route_212_north
TRAINER_POLICEMAN_BOBBY,route_212_north,201,Route 212,route_212_north
TRAINER_POLICEMAN_ALEX,route_212_north,201,Route 212,route_212_north
TRAINER_POLICEMAN_DYLAN,route_212_north,201,Route 212,route_212_north
TRAINER_FISHERMAN_JUAN,route_212_south,201,Route 212,route_212_south
TRAINER_FISHERMAN_JOSH,route_212_south,201,Route 212,route_212_south
TRAINER_FISHERMAN_TRAVIS,route_212_south,201,Route 212,route_212_south
TRAINER_RANGER_TAYLOR,route_212_south,201,Route 212,route_212_south
TRAINER_RANGER_JEFFREY,route_212_south,201,Route 212,route_212_south
TRAINER_RANGER_ALLISON,route_212_south,201,Route 212,route_212_south
TRAINER_SCIENTIST_STEFANO,route_212_south,201,Route 212,route_212_south
TRAINER_POLICEMAN_CALEB,route_212_north,201,Route 212,route_212_north
TRAINER_SWIMMER_SHELTIN,route_213,202,Route 213,route_213
TRAINER_SWIMMER_EVAN,route_213,202,Route 213,route_213
TRAINER_SWIMMER_HALEY,route_213,202,Route 213,route_213
TRAINER_SWIMMER_MARY,route_213,202,Route 213,route_213
TRAINER_TUBER_JARED,route_213,202,Route 213,route_213
TRAINER_TUBER_CHELSEA,route_213,202,Route 213,route_213
TRAINER_SAILOR_PAUL,route_213,202,Route 213,route_213
TRAINER_FISHERMAN_KENNETH,route_213,202,Route 213,route_213
TRAINER_RUIN_MANIAC_BRYAN,route_214,205,Route 214,route_214
TRAINER_RUIN_MANIAC_RONALD,route_214,205,Route 214,route_214
TRAINER_PSYCHIC_MITCHELL,route_214,205,Route 214,route_214
TRAINER_PSYCHIC_ABIGAIL,route_214,205,Route 214,route_214
TRAINER_PI_CARLOS,route_214,205,Route 214,route_214
TRAINER_BLACK_BELT_GREGORY,route_215,196,Route 215,route_215
TRAINER_BLACK_BELT_DEREK,route_215,196,Route 215,route_215
TRAINER_BLACK_BELT_NATHANIEL,route_215,196,Route 215,route_215
TRAINER_JOGGER_SCOTT,route_215,196,Route 215,route_215
TRAINER_ACE_TRAINER_BLAKE,route_216,218,Route 216,route_216
TRAINER_ACE_TRAINER_GARRETT,route_216,218,Route 216,route_216
TRAINER_ACE_TRAINER_LAURA,route_216,218,Route 216,route_216
TRAINER_ACE_TRAINER_MARIA,route_216,218,Route 216,route_216
TRAINER_SKIER_BRADLEY,route_216,218,Route 216,route_216
TRAINER_SKIER_EDWARD,route_216,218,Route 216,route_216
TRAINER_SKIER_KAITLYN,route_216,218,Route 216,route_216
TRAINER_SKIER_ANDREA,route_216,218,Route 216,route_216
TRAINER_ACE_TRAINER_DALTON,route_217,219,Route 217,route_217
TRAINER_ACE_TRAINER_OLIVIA,route_217,219,Route 217,route_217
TRAINER_SKIER_SHAWN,route_217,219,Route 217,route_217
TRAINER_SKIER_BJORN,route_217,219,Route 217,route_217
TRAINER_SKIER_LEXIE,route_217,219,Route 217,route_217
