encounter_name,species_name,lvl,moves,held_item,iv,version_group_id,load_build,slot
TRAINER_ACE_TRAINER_ABEL,GLALIE,59,"HAIL,ICE_BEAM,SHEER_COLD,CRUNCH",,50,9,5,1
TRAINER_ACE_TRAINER_ABEL,CROBAT,60,"AIR_SLASH,POISON_FANG,CONFUSE_RAY,SHADOW_BALL",,50,9,5,2
TRAINER_ACE_TRAINER_ALICIA,SNEASEL,40,"ICY_WIND,SLASH,SCREECH,FAINT_ATTACK",,60,9,5,1
TRAINER_ACE_TRAINER_ALICIA,SNEASEL,43,"ICY_WIND,SLASH,SCREECH,FAINT_ATTACK",,60,9,5,2
TRAINER_ACE_TRAINER_ALLEN,GASTLY,21,"NIGHT_SHADE,SUCKER_PUNCH,CURSE,CONFUSE_RAY",,60,9,5,1
TRAINER_ACE_TRAINER_ALLEN,GASTLY,22,"NIGHT_SHADE,SUCKER_PUNCH,HYPNOSIS,CONFUSE_RAY",,60,9,5,2
TRAINER_ACE_TRAINER_ALLEN,HAUNTER,24,"SHADOW_BALL,CONFUSE_RAY,CURSE,MEAN_LOOK",,60,9,5,3
TRAINER_ACE_TRAINER_ALYSSA,AIPOM,32,"SWIFT,WATER_PULSE,SHOCK_WAVE,AERIAL_ACE",,50,9,5,1
TRAINER_ACE_TRAINER_ALYSSA,GIRAFARIG,32,"DOUBLE_HIT,PSYBEAM,ASSURANCE,LIGHT_SCREEN",,50,9,5,2
TRAINER_ACE_TRAINER_ALYSSA,GROTLE,33,"MEGA_DRAIN,BITE,CURSE",,50,9,5,3
TRAINER_ACE_TRAINER_ANTON,GLALIE,44,"ICE_BEAM,CRUNCH",,50,9,5,1
TRAINER_ACE_TRAINER_ARTHUR,GASTRODON,54,"MUDDY_WATER,RECOVER,TOXIC,WATER_PULSE",,50,9,5,1
TRAINER_ACE_TRAINER_ARTHUR,BEEDRILL,54,"POISON_JAB,U_TURN,AERIAL_ACE,SWORDS_DANCE",,50,9,5,2
TRAINER_ACE_TRAINER_ARTHUR,ELECTRODE,55,"THUNDERBOLT,HYPER_BEAM,ENDURE,EXPLOSION",,50,9,5,3
TRAINER_ACE_TRAINER_BLAKE,AMBIPOM,39,"DOUBLE_HIT,U_TURN,SAND_ATTACK,SCREECH",,50,9,5,1
TRAINER_ACE_TRAINER_BLAKE,PORYGON2,40,"PSYBEAM,SIGNAL_BEAM,CONVERSION_2,RECOVER",,50,9,5,2
TRAINER_ACE_TRAINER_BRANDI,MAROWAK,54,"BONE_RUSH,STONE_EDGE,SWORDS_DANCE,ENDEAVOR",,50,9,5,1
TRAINER_ACE_TRAINER_BRANDI,KANGASKHAN,57,"DIZZY_PUNCH,CRUNCH,OUTRAGE,EARTHQUAKE",,50,9,5,2
