encounter_name,trainer_name,trainer_class,canonical_location_id,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id
TRAINER_YOUNGSTER_TRISTAN,TRISTAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,platinum_trainer_index=1; source=res/trainers/data/youngster_tristan.json; map_refs=route_202; matched_map=route_202,9,5,
TRAINER_YOUNGSTER_LOGAN,LOGAN,TRAINER_CLASS_YOUNGSTER,173,,,,TRAINER_PIC_YOUNGSTER,,platinum_trainer_index=2; source=res/trainers/data/youngster_logan.json; map_refs=route_202; matched_map=route_202,9,5,
TRAINER_LASS_NATALIE,NATALIE,TRAINER_CLASS_LASS,173,,,,TRAINER_PIC_LASS,,platinum_trainer_index=3; source=res/trainers/data/lass_natalie.json; map_refs=route_202; matched_map=route_202,9,5,
TRAINER_YOUNGSTER_MICHAEL,MICHAEL,TRAINER_CLASS_YOUNGSTER,174,,,,TRAINER_PIC_YOUNGSTER,,platinum_trainer_index=4; source=res/trainers/data/youngster_michael.json; map_refs=route_203; matched_map=route_203,9,5,
TRAINER_DUMMY_005,MICKEY,TRAINER_CLASS_CAMPER,,,,,TRAINER_PIC_CAMPER,,platinum_trainer_index=5; source=res/trainers/data/dummy_005.json; location_unpaired=true,9,5,
TRAINER_DUMMY_006,MICKEY,TRAINER_CLASS_CAMPER,,,,,TRAINER_PIC_CAMPER,,platinum_trainer_index=6; source=res/trainers/data/dummy_006.json; location_unpaired=true,9,5,
TRAINER_DUMMY_007,ANGELICA,TRAINER_CLASS_PICNICKER,,,,,TRAINER_PIC_PICNICKER,,platinum_trainer_index=7; source=res/trainers/data/dummy_007.json; location_unpaired=true,9,5,
TRAINER_DUMMY_008,ANGELICA,TRAINER_CLASS_PICNICKER,,,,,TRAINER_PIC_PICNICKER,,platinum_trainer_index=8; source=res/trainers/data/dummy_008.json; location_unpaired=true,9,5,
TRAINER_DUMMY_009,MICKEY,TRAINER_CLASS_YOUNGSTER,,,,,TRAINER_PIC_YOUNGSTER,,platinum_trainer_index=9; source=res/trainers/data/dummy_009.json; location_unpaired=true,9,5,
TRAINER_YOUNGSTER_TYLER,TYLER,TRAINER_CLASS_YOUNGSTER,179,,,,TRAINER_PIC_YOUNGSTER,,platinum_trainer_index=10; source=res/trainers/data/youngster_tyler.json; map_refs=route_204_south; matched_map=route_204_south,9,5,
TRAINER_LASS_SAMANTHA,SAMANTHA,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,platinum_trainer_index=11; source=res/trainers/data/lass_samantha.json; map_refs=route_204_south; matched_map=route_204_south,9,5,
TRAINER_LASS_SARAH,SARAH,TRAINER_CLASS_LASS,179,,,,TRAINER_PIC_LASS,,platinum_trainer_index=12; source=res/trainers/data/lass_sarah.json; map_refs=route_204_south; matched_map=route_204_south,9,5,
TRAINER_BUG_CATCHER_BRANDON,BRANDON,TRAINER_CLASS_BUG_CATCHER,179,,,,TRAINER_PIC_BUG_CATCHER,,platinum_trainer_index=13; source=res/trainers/data/bug_catcher_brandon.json; map_refs=route_204_north; matched_map=route_204_north,9,5,
TRAINER_AROMA_LADY_TAYLOR,TAYLOR,TRAINER_CLASS_AROMA_LADY,179,,,,TRAINER_PIC_AROMA_LADY,,platinum_trainer_index=14; source=res/trainers/data/aroma_lady_taylor.json; map_refs=route_204_north; matched_map=route_204_north,9,5,
TRAINER_TWINS_LIV_AND_LIZ,LIV & LIZ,TRAINER_CLASS_TWINS,179,,,,TRAINER_PIC_TWINS,True,platinum_trainer_index=15; source=res/trainers/data/twins_liv_and_liz.json; map_refs=route_204_north; matched_map=route_204_north,9,5,
TRAINER_CAMPER_JACOB,JACOB,TRAINER_CLASS_CAMPER,182,,,,TRAINER_PIC_CAMPER,,platinum_trainer_index=16; source=res/trainers/data/camper_jacob.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
TRAINER_PICNICKER_SIENA,SIENA,TRAINER_CLASS_PICNICKER,182,,,,TRAINER_PIC_PICNICKER,,platinum_trainer_index=17; source=res/trainers/data/picnicker_siena.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
TRAINER_HIKER_DANIEL,DANIEL,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,platinum_trainer_index=18; source=res/trainers/data/hiker_daniel.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
TRAINER_HIKER_NICHOLAS,NICHOLAS,TRAINER_CLASS_HIKER,182,,,,TRAINER_PIC_HIKER,,platinum_trainer_index=19; source=res/trainers/data/hiker_nicholas.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
TRAINER_BATTLE_GIRL_KELSEY,KELSEY,TRAINER_CLASS_BATTLE_GIRL,182,,,,TRAINER_PIC_BATTLE_GIRL,,platinum_trainer_index=20; source=res/trainers/data/battle_girl_kelsey.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
TRAINER_AROMA_LADY_ELIZABETH,ELIZABETH,TRAINER_CLASS_AROMA_LADY,182,,,,TRAINER_PIC_AROMA_LADY,,platinum_trainer_index=21; source=res/trainers/data/aroma_lady_elizabeth.json; map_refs=route_205_south; matched_map=route_205_south,9,5,
