encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,gen1_class,gen1_index,map,source,map_line,x,y,location_method
TRAINER_YOUNGSTER_1,,TRAINER_CLASS_YOUNGSTER,8,Route 3,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route3; source=object_event; map_line=23; object_xy=14,4; script_label=TEXT_ROUTE3_YOUNGSTER2",1,4,,YOUNGSTER,1,Route3,object_event,23,14,4,route
TRAINER_YOUNGSTER_2,,TRAINER_CLASS_YOUNGSTER,8,Route 3,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route3; source=object_event; map_line=27; object_xy=22,9; script_label=TEXT_ROUTE3_YOUNGSTER4",1,4,,YOUNGSTER,2,Route3,object_event,27,22,9,route
TRAINER_YOUNGSTER_3,,TRAINER_CLASS_YOUNGSTER,10,Mt. Moon,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=MtMoon1F; source=object_event; map_line=31; object_xy=12,16; script_label=TEXT_MTMOON1F_YOUNGSTER1",1,4,,YOUNGSTER,3,MtMoon1F,object_event,31,12,16,manual
TRAINER_YOUNGSTER_4,,TRAINER_CLASS_YOUNGSTER,12,Route 24,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route24; source=object_event; map_line=23; object_xy=11,25; script_label=TEXT_ROUTE24_YOUNGSTER1",1,4,,YOUNGSTER,4,Route24,object_event,23,11,25,route
TRAINER_YOUNGSTER_5,,TRAINER_CLASS_YOUNGSTER,13,Route 25,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route25; source=object_event; map_line=23; object_xy=14,2; script_label=TEXT_ROUTE25_YOUNGSTER1",1,4,,YOUNGSTER,5,Route25,object_event,23,14,2,route
TRAINER_YOUNGSTER_6,,TRAINER_CLASS_YOUNGSTER,13,Route 25,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route25; source=object_event; map_line=24; object_xy=18,5; script_label=TEXT_ROUTE25_YOUNGSTER2",1,4,,YOUNGSTER,6,Route25,object_event,24,18,5,route
TRAINER_YOUNGSTER_7,,TRAINER_CLASS_YOUNGSTER,13,Route 25,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route25; source=object_event; map_line=27; object_xy=32,3; script_label=TEXT_ROUTE25_YOUNGSTER3",1,4,,YOUNGSTER,7,Route25,object_event,27,32,3,route
TRAINER_YOUNGSTER_8,,TRAINER_CLASS_YOUNGSTER,16,Vermilion City,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=SSAnne1FRooms; source=object_event; map_line=30; object_xy=11,14; script_label=TEXT_SSANNE1FROOMS_YOUNGSTER",1,4,,YOUNGSTER,8,SSAnne1FRooms,object_event,30,11,14,manual
TRAINER_YOUNGSTER_9,,TRAINER_CLASS_YOUNGSTER,17,Route 11,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route11; source=object_event; map_line=29; object_xy=13,5; script_label=TEXT_ROUTE11_YOUNGSTER1",1,4,,YOUNGSTER,9,Route11,object_event,29,13,5,route
TRAINER_YOUNGSTER_10,,TRAINER_CLASS_YOUNGSTER,17,Route 11,,,,TRAINER_PIC_YOUNGSTER,,"redblue_map=Route11; source=object_event; map_line=31; object_xy=22,4; script_label=TEXT_ROUTE11_YOUNGSTER2",1,4,,YOUNGSTER,10,Route11,object_event,31,22,4,route
