map,file,line,source,class,index,x,y,script_label,location_method,canonical_location_id,canonical_location_name
AgathasRoom,AgathasRoom.asm,16,object_event,AGATHA,1,5,2,TEXT_AGATHASROOM_AGATHA,manual,48,Victory Road
BrunosRoom,BrunosRoom.asm,16,object_event,BRUNO,1,5,2,TEXT_BRUNOSROOM_BRUNO,manual,48,Victory Road
CeladonGym,CeladonGym.asm,21,object_event,ERIKA,1,4,3,TEXT_CELADONGYM_ERIKA,manual,26,Celadon City
CeladonGym,CeladonGym.asm,22,object_event,LASS,17,2,11,TEXT_CELADONGYM_COOLTRAINER_F1,manual,26,Celadon City
CeladonGym,CeladonGym.asm,23,object_event,BEAUTY,1,7,10,TEXT_CELADONGYM_BEAUTY1,manual,26,Celadon City
CeladonGym,CeladonGym.asm,24,object_event,JR_TRAINER_F,11,9,5,TEXT_CELADONGYM_COOLTRAINER_F2,manual,26,Celadon City
CeladonGym,CeladonGym.asm,25,object_event,BEAUTY,2,1,5,TEXT_CELADONGYM_BEAUTY2,manual,26,Celadon City
CeladonGym,CeladonGym.asm,26,object_event,LASS,18,6,3,TEXT_CELADONGYM_COOLTRAINER_F3,manual,26,Celadon City
CeladonGym,CeladonGym.asm,27,object_event,BEAUTY,3,3,3,TEXT_CELADONGYM_BEAUTY3,manual,26,Celadon City
CeladonGym,CeladonGym.asm,28,object_event,COOLTRAINER_F,1,5,3,TEXT_CELADONGYM_COOLTRAINER_F4,manual,26,Celadon City
CeruleanCity,CeruleanCity.asm,39,object_event,ROCKET,5,30,8,TEXT_CERULEANCITY_ROCKET,direct,11,Cerulean City
CeruleanGym,CeruleanGym.asm,17,object_event,MISTY,1,4,2,TEXT_CERULEANGYM_MISTY,manual,11,Cerulean City
CeruleanGym,CeruleanGym.asm,18,object_event,JR_TRAINER_F,1,2,3,TEXT_CERULEANGYM_COOLTRAINER_F,manual,11,Cerulean City
CeruleanGym,CeruleanGym.asm,19,object_event,SWIMMER,1,8,7,TEXT_CERULEANGYM_SWIMMER,manual,11,Cerulean City
CinnabarGym,CinnabarGym.asm,22,object_event,BLAINE,1,3,3,TEXT_CINNABARGYM_BLAINE,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,23,object_event,SUPER_NERD,9,17,2,TEXT_CINNABARGYM_SUPER_NERD1,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,24,object_event,BURGLAR,4,17,8,TEXT_CINNABARGYM_SUPER_NERD2,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,25,object_event,SUPER_NERD,10,11,4,TEXT_CINNABARGYM_SUPER_NERD3,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,26,object_event,BURGLAR,5,11,8,TEXT_CINNABARGYM_SUPER_NERD4,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,27,object_event,SUPER_NERD,11,11,14,TEXT_CINNABARGYM_SUPER_NERD5,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,28,object_event,BURGLAR,6,3,14,TEXT_CINNABARGYM_SUPER_NERD6,manual,41,Cinnabar Island
CinnabarGym,CinnabarGym.asm,29,object_event,SUPER_NERD,12,3,8,TEXT_CINNABARGYM_SUPER_NERD7,manual,41,Cinnabar Island
FightingDojo,FightingDojo.asm,20,object_event,BLACKBELT,1,5,3,TEXT_FIGHTINGDOJO_KARATE_MASTER,manual,27,Saffron City
FightingDojo,FightingDojo.asm,21,object_event,BLACKBELT,2,3,4,TEXT_FIGHTINGDOJO_BLACKBELT1,manual,27,Saffron City
FightingDojo,FightingDojo.asm,22,object_event,BLACKBELT,3,3,6,TEXT_FIGHTINGDOJO_BLACKBELT2,manual,27,Saffron City
FightingDojo,FightingDojo.asm,23,object_event,BLACKBELT,4,5,5,TEXT_FIGHTINGDOJO_BLACKBELT3,manual,27,Saffron City
FightingDojo,FightingDojo.asm,24,object_event,BLACKBELT,5,5,7,TEXT_FIGHTINGDOJO_BLACKBELT4,manual,27,Saffron City
FuchsiaGym,FuchsiaGym.asm,21,object_event,KOGA,1,4,10,TEXT_FUCHSIAGYM_KOGA,manual,32,Fuschia City
