encounter_name,trainer_name,trainer_class,canonical_location_id,canonical_location_name,is_rematch,is_event,trainer_items,trainer_pic,trainer_double,details,version_group_id,load_build,game_id,gen1_class,gen1_index,map,source,map_line,x,y,location_method
TRAINER_YOUNGSTER_13,,TRAINER_CLASS_YOUNGSTER,,,,,,TRAINER_PIC_YOUNGSTER,,party exists in decomp but no map object/script trainer reference was found,2,4,,YOUNGSTER,13,,,,,,unreferenced
TRAINER_BUG_CATCHER_12,,TRAINER_CLASS_BUG_CATCHER,,,,,,TRAINER_PIC_BUG_CATCHER,,party exists in decomp but no map object/script trainer reference was found,2,4,,BUG_CATCHER,12,,,,,,unreferenced
TRAINER_JR_TRAINER_M_1,,TRAINER_CLASS_JR_TRAINER_M,,,,,,TRAINER_PIC_JR_TRAINER_M,,"yellow_map=PewterGym; source=object_event; map_line=17; object_xy=3,6; script_label=TEXT_PEWTERGYM_COOLTRAINER_M; canonical candidate 54 Pewter City is not in Gen I event_locations",2,4,,JR_TRAINER_M,1,PewterGym,object_event,17,3,6,canon_not_in_event
TRAINER_JR_TRAINER_M_4,,TRAINER_CLASS_JR_TRAINER_M,,,,,,TRAINER_PIC_JR_TRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,JR_TRAINER_M,4,,,,,,unreferenced
TRAINER_JR_TRAINER_M_6,,TRAINER_CLASS_JR_TRAINER_M,,,,,,TRAINER_PIC_JR_TRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,JR_TRAINER_M,6,,,,,,unreferenced
TRAINER_JR_TRAINER_M_7,,TRAINER_CLASS_JR_TRAINER_M,,,,,,TRAINER_PIC_JR_TRAINER_M,,party exists in decomp but no map object/script trainer reference was found,2,4,,JR_TRAINER_M,7,,,,,,unreferenced
TRAINER_JR_TRAINER_F_2,,TRAINER_CLASS_JR_TRAINER_F,,,,,,TRAINER_PIC_JR_TRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,JR_TRAINER_F,2,,,,,,unreferenced
TRAINER_JR_TRAINER_F_4,,TRAINER_CLASS_JR_TRAINER_F,,,,,,TRAINER_PIC_JR_TRAINER_F,,party exists in decomp but no map object/script trainer reference was found,2,4,,JR_TRAINER_F,4,,,,,,unreferenced
TRAINER_SUPER_NERD_6,,TRAINER_CLASS_SUPER_NERD,,,,,,TRAINER_PIC_SUPER_NERD,,party exists in decomp but no map object/script trainer reference was found,2,4,,SUPER_NERD,6,,,,,,unreferenced
TRAINER_SUPER_NERD_7,,TRAINER_CLASS_SUPER_NERD,,,,,,TRAINER_PIC_SUPER_NERD,,party exists in decomp but no map object/script trainer reference was found,2,4,,SUPER_NERD,7,,,,,,unreferenced
TRAINER_SUPER_NERD_8,,TRAINER_CLASS_SUPER_NERD,,,,,,TRAINER_PIC_SUPER_NERD,,party exists in decomp but no map object/script trainer reference was found,2,4,,SUPER_NERD,8,,,,,,unreferenced
TRAINER_BURGLAR_1,,TRAINER_CLASS_BURGLAR,,,,,,TRAINER_PIC_BURGLAR,,party exists in decomp but no map object/script trainer reference was found,2,4,,BURGLAR,1,,,,,,unreferenced
TRAINER_BURGLAR_2,,TRAINER_CLASS_BURGLAR,,,,,,TRAINER_PIC_BURGLAR,,party exists in decomp but no map object/script trainer reference was found,2,4,,BURGLAR,2,,,,,,unreferenced
TRAINER_BURGLAR_3,,TRAINER_CLASS_BURGLAR,,,,,,TRAINER_PIC_BURGLAR,,party exists in decomp but no map object/script trainer reference was found,2,4,,BURGLAR,3,,,,,,unreferenced
TRAINER_ENGINEER_1,,TRAINER_CLASS_ENGINEER,,,,,,TRAINER_PIC_ENGINEER,,party exists in decomp but no map object/script trainer reference was found,2,4,,ENGINEER,1,,,,,,unreferenced
TRAINER_GAMBLER_6,,TRAINER_CLASS_GAMBLER,,,,,,TRAINER_PIC_GAMBLER,,party exists in decomp but no map object/script trainer reference was found,2,4,,GAMBLER,6,,,,,,unreferenced
TRAINER_BEAUTY_11,,TRAINER_CLASS_BEAUTY,,,,,,TRAINER_PIC_BEAUTY,,party exists in decomp but no map object/script trainer reference was found,2,4,,BEAUTY,11,,,,,,unreferenced
