source_title,source_url,stored_file,platinum_alias
DP Barry Back.png,https://archives.bulbagarden.net/media/upload/8/8c/DP_Barry_Back.png,DP_Barry_Back.png,
DP Buck Back.png,https://archives.bulbagarden.net/media/upload/5/51/DP_Buck_Back.png,DP_Buck_Back.png,
DP Cheryl Back.png,https://archives.bulbagarden.net/media/upload/c/cc/DP_Cheryl_Back.png,DP_Cheryl_Back.png,
DP Dawn Back.png,https://archives.bulbagarden.net/media/upload/5/54/DP_Dawn_Back.png,DP_Dawn_Back.png,
DP Lucas Back.png,https://archives.bulbagarden.net/media/upload/e/e6/DP_Lucas_Back.png,DP_Lucas_Back.png,
DP Marley Back.png,https://archives.bulbagarden.net/media/upload/3/39/DP_Marley_Back.png,DP_Marley_Back.png,
DP Mira Back.png,https://archives.bulbagarden.net/media/upload/a/a8/DP_Mira_Back.png,DP_Mira_Back.png,
DP Riley Back.png,https://archives.bulbagarden.net/media/upload/f/f8/DP_Riley_Back.png,DP_Riley_Back.png,
GoldHGSS beta back.png,https://archives.bulbagarden.net/media/upload/2/24/GoldHGSS_beta_back.png,GoldHGSS_beta_back.png,
HGSS Ethan Back.png,https://archives.bulbagarden.net/media/upload/5/52/HGSS_Ethan_Back.png,HGSS_Ethan_Back.png,
HGSS Lance Back.png,https://archives.bulbagarden.net/media/upload/e/ed/HGSS_Lance_Back.png,HGSS_Lance_Back.png,
HGSS Lyra Back.png,https://archives.bulbagarden.net/media/upload/f/fe/HGSS_Lyra_Back.png,HGSS_Lyra_Back.png,
HGSS Silver Back.png,https://archives.bulbagarden.net/media/upload/2/26/HGSS_Silver_Back.png,HGSS_Silver_Back.png,
Pt Barry Back.png,https://archives.bulbagarden.net/media/upload/2/21/Pt_Barry_Back.png,Pt_Barry_Back.png,
Pt Dawn Back.png,https://archives.bulbagarden.net/media/upload/5/59/Pt_Dawn_Back.png,Pt_Dawn_Back.png,
Pt Lucas Back.png,https://archives.bulbagarden.net/media/upload/1/15/Pt_Lucas_Back.png,Pt_Lucas_Back.png,
Spr DP Aaron.png,https://archives.bulbagarden.net/media/upload/1/1a/Spr_DP_Aaron.png,Spr_DP_Aaron.png,TRAINER_PIC_ELITE_FOUR_AARON.png
Spr DP Ace Trainer F 1.png,https://archives.bulbagarden.net/media/upload/8/83/Spr_DP_Ace_Trainer_F_1.png,Spr_DP_Ace_Trainer_F_1.png,TRAINER_PIC_ACE_TRAINER_FEMALE.png
Spr DP Ace Trainer F 2.png,https://archives.bulbagarden.net/media/upload/6/64/Spr_DP_Ace_Trainer_F_2.png,Spr_DP_Ace_Trainer_F_2.png,TRAINER_PIC_ACE_TRAINER_SNOW_FEMALE.png
Spr DP Ace Trainer M 1.png,https://archives.bulbagarden.net/media/upload/b/b9/Spr_DP_Ace_Trainer_M_1.png,Spr_DP_Ace_Trainer_M_1.png,TRAINER_PIC_ACE_TRAINER_MALE.png
Spr DP Ace Trainer M 2.png,https://archives.bulbagarden.net/media/upload/3/3c/Spr_DP_Ace_Trainer_M_2.png,Spr_DP_Ace_Trainer_M_2.png,TRAINER_PIC_ACE_TRAINER_SNOW_MALE.png
Spr DP Aroma Lady.png,https://archives.bulbagarden.net/media/upload/6/6f/Spr_DP_Aroma_Lady.png,Spr_DP_Aroma_Lady.png,TRAINER_PIC_AROMA_LADY.png
Spr DP Artist.png,https://archives.bulbagarden.net/media/upload/4/45/Spr_DP_Artist.png,Spr_DP_Artist.png,TRAINER_PIC_ARTIST.png
Spr DP Barry.png,https://archives.bulbagarden.net/media/upload/3/32/Spr_DP_Barry.png,Spr_DP_Barry.png,TRAINER_PIC_RIVAL.png
Spr DP Battle Girl.png,https://archives.bulbagarden.net/media/upload/e/ef/Spr_DP_Battle_Girl.png,Spr_DP_Battle_Girl.png,TRAINER_PIC_BATTLE_GIRL.png
Spr DP Beauty.png,https://archives.bulbagarden.net/media/upload/7/73/Spr_DP_Beauty.png,Spr_DP_Beauty.png,TRAINER_PIC_BEAUTY.png
Spr DP Belle and Pa.png,https://archives.bulbagarden.net/media/upload/c/cb/Spr_DP_Belle_and_Pa.png,Spr_DP_Belle_and_Pa.png,TRAINER_PIC_BELLE_AND_PA.png
Spr DP Bertha.png,https://archives.bulbagarden.net/media/upload/f/f7/Spr_DP_Bertha.png,Spr_DP_Bertha.png,TRAINER_PIC_ELITE_FOUR_BERTHA.png
Spr DP Bird Keeper.png,https://archives.bulbagarden.net/media/upload/b/b4/Spr_DP_Bird_Keeper.png,Spr_DP_Bird_Keeper.png,TRAINER_PIC_BIRD_KEEPER.png
Spr DP Black Belt.png,https://archives.bulbagarden.net/media/upload/e/eb/Spr_DP_Black_Belt.png,Spr_DP_Black_Belt.png,TRAINER_PIC_BLACK_BELT.png
Spr DP Bug Catcher.png,https://archives.bulbagarden.net/media/upload/0/0b/Spr_DP_Bug_Catcher.png,Spr_DP_Bug_Catcher.png,TRAINER_PIC_BUG_CATCHER.png
Spr DP Byron.png,https://archives.bulbagarden.net/media/upload/5/54/Spr_DP_Byron.png,Spr_DP_Byron.png,TRAINER_PIC_LEADER_BYRON.png
Spr DP Cameraman.png,https://archives.bulbagarden.net/media/upload/6/65/Spr_DP_Cameraman.png,Spr_DP_Cameraman.png,TRAINER_PIC_CAMERAMAN.png
Spr DP Camper Beta.png,https://archives.bulbagarden.net/media/upload/f/fb/Spr_DP_Camper_Beta.png,Spr_DP_Camper_Beta.png,TRAINER_PIC_CAMPER_BETA.png
Spr DP Camper.png,https://archives.bulbagarden.net/media/upload/6/68/Spr_DP_Camper.png,Spr_DP_Camper.png,TRAINER_PIC_CAMPER.png
Spr DP Candice.png,https://archives.bulbagarden.net/media/upload/1/19/Spr_DP_Candice.png,Spr_DP_Candice.png,TRAINER_PIC_LEADER_CANDICE.png
Spr DP Clown.png,https://archives.bulbagarden.net/media/upload/2/2a/Spr_DP_Clown.png,Spr_DP_Clown.png,TRAINER_PIC_CLOWN.png
Spr DP Collector.png,https://archives.bulbagarden.net/media/upload/2/2a/Spr_DP_Collector.png,Spr_DP_Collector.png,TRAINER_PIC_COLLECTOR.png
Spr DP Cowgirl.png,https://archives.bulbagarden.net/media/upload/6/6f/Spr_DP_Cowgirl.png,Spr_DP_Cowgirl.png,TRAINER_PIC_COWGIRL.png
Spr DP Crasher Wake.png,https://archives.bulbagarden.net/media/upload/3/30/Spr_DP_Crasher_Wake.png,Spr_DP_Crasher_Wake.png,TRAINER_PIC_LEADER_WAKE.png
Spr DP Cyclist F.png,https://archives.bulbagarden.net/media/upload/f/f1/Spr_DP_Cyclist_F.png,Spr_DP_Cyclist_F.png,TRAINER_PIC_CYCLIST_FEMALE.png
Spr DP Cyclist M.png,https://archives.bulbagarden.net/media/upload/9/90/Spr_DP_Cyclist_M.png,Spr_DP_Cyclist_M.png,TRAINER_PIC_CYCLIST_MALE.png
Spr DP Cynthia.png,https://archives.bulbagarden.net/media/upload/2/2f/Spr_DP_Cynthia.png,Spr_DP_Cynthia.png,TRAINER_PIC_CHAMPION_CYNTHIA.png
Spr DP Cyrus.png,https://archives.bulbagarden.net/media/upload/d/dc/Spr_DP_Cyrus.png,Spr_DP_Cyrus.png,TRAINER_PIC_GALACTIC_BOSS.png
Spr DP Dawn.png,https://archives.bulbagarden.net/media/upload/0/00/Spr_DP_Dawn.png,Spr_DP_Dawn.png,TRAINER_PIC_DP_PLAYER_FEMALE.png
Spr DP Double Team.png,https://archives.bulbagarden.net/media/upload/1/11/Spr_DP_Double_Team.png,Spr_DP_Double_Team.png,TRAINER_PIC_DOUBLE_TEAM.png
Spr DP Dragon Tamer.png,https://archives.bulbagarden.net/media/upload/7/70/Spr_DP_Dragon_Tamer.png,Spr_DP_Dragon_Tamer.png,TRAINER_PIC_DRAGON_TAMER.png
Spr DP Fantina.png,https://archives.bulbagarden.net/media/upload/c/c8/Spr_DP_Fantina.png,Spr_DP_Fantina.png,TRAINER_PIC_LEADER_FANTINA.png
Spr DP Fisherman.png,https://archives.bulbagarden.net/media/upload/c/c2/Spr_DP_Fisherman.png,Spr_DP_Fisherman.png,TRAINER_PIC_FISHERMAN.png
Spr DP Flint.png,https://archives.bulbagarden.net/media/upload/c/cb/Spr_DP_Flint.png,Spr_DP_Flint.png,TRAINER_PIC_ELITE_FOUR_FLINT.png
Spr DP Galactic Grunt F.png,https://archives.bulbagarden.net/media/upload/a/a2/Spr_DP_Galactic_Grunt_F.png,Spr_DP_Galactic_Grunt_F.png,TRAINER_PIC_GALACTIC_GRUNT_FEMALE.png
