source_title,source_url,stored_file,lockley_alias
B2W2 Bianca Back.png,https://archives.bulbagarden.net/media/upload/e/e1/B2W2_Bianca_Back.png,B2W2_Bianca_Back.png,
B2W2 Cheren Back.png,https://archives.bulbagarden.net/media/upload/c/ca/B2W2_Cheren_Back.png,B2W2_Cheren_Back.png,
B2W2 Chili Back.png,https://archives.bulbagarden.net/media/upload/4/4c/B2W2_Chili_Back.png,B2W2_Chili_Back.png,
B2W2 Cilan Back.png,https://archives.bulbagarden.net/media/upload/5/54/B2W2_Cilan_Back.png,B2W2_Cilan_Back.png,
B2W2 Cress Back.png,https://archives.bulbagarden.net/media/upload/3/36/B2W2_Cress_Back.png,B2W2_Cress_Back.png,
B2W2 Hugh Back.png,https://archives.bulbagarden.net/media/upload/b/bd/B2W2_Hugh_Back.png,B2W2_Hugh_Back.png,
B2W2 Nate Back.png,https://archives.bulbagarden.net/media/upload/5/5d/B2W2_Nate_Back.png,B2W2_Nate_Back.png,
B2W2 Rosa Back.png,https://archives.bulbagarden.net/media/upload/b/b6/B2W2_Rosa_Back.png,B2W2_Rosa_Back.png,
BW Cheren Back.png,https://archives.bulbagarden.net/media/upload/6/69/BW_Cheren_Back.png,BW_Cheren_Back.png,
BW Hilbert Back.png,https://archives.bulbagarden.net/media/upload/9/90/BW_Hilbert_Back.png,BW_Hilbert_Back.png,
BW Hilda Back.png,https://archives.bulbagarden.net/media/upload/6/61/BW_Hilda_Back.png,BW_Hilda_Back.png,
BW Juniper Back.png,https://archives.bulbagarden.net/media/upload/5/50/BW_Juniper_Back.png,BW_Juniper_Back.png,
Spr B2W2 Ace Trainer F.png,https://archives.bulbagarden.net/media/upload/0/08/Spr_B2W2_Ace_Trainer_F.png,Spr_B2W2_Ace_Trainer_F.png,TRAINER_PIC_B2W2_ACE_TRAINER_F.png
Spr B2W2 Ace Trainer M.png,https://archives.bulbagarden.net/media/upload/3/3a/Spr_B2W2_Ace_Trainer_M.png,Spr_B2W2_Ace_Trainer_M.png,TRAINER_PIC_B2W2_ACE_TRAINER_M.png
Spr B2W2 Alder.png,https://archives.bulbagarden.net/media/upload/e/e8/Spr_B2W2_Alder.png,Spr_B2W2_Alder.png,TRAINER_PIC_B2W2_ALDER.png
Spr B2W2 Artist.png,https://archives.bulbagarden.net/media/upload/8/8b/Spr_B2W2_Artist.png,Spr_B2W2_Artist.png,TRAINER_PIC_B2W2_ARTIST.png
Spr B2W2 Backers F.png,https://archives.bulbagarden.net/media/upload/1/1d/Spr_B2W2_Backers_F.png,Spr_B2W2_Backers_F.png,TRAINER_PIC_B2W2_BACKERS_F.png
Spr B2W2 Backers M.png,https://archives.bulbagarden.net/media/upload/c/c8/Spr_B2W2_Backers_M.png,Spr_B2W2_Backers_M.png,TRAINER_PIC_B2W2_BACKERS_M.png
Spr B2W2 Backpacker F.png,https://archives.bulbagarden.net/media/upload/7/7c/Spr_B2W2_Backpacker_F.png,Spr_B2W2_Backpacker_F.png,TRAINER_PIC_B2W2_BACKPACKER_F.png
Spr B2W2 Backpacker M.png,https://archives.bulbagarden.net/media/upload/3/30/Spr_B2W2_Backpacker_M.png,Spr_B2W2_Backpacker_M.png,TRAINER_PIC_B2W2_BACKPACKER_M.png
Spr B2W2 Baker.png,https://archives.bulbagarden.net/media/upload/2/26/Spr_B2W2_Baker.png,Spr_B2W2_Baker.png,TRAINER_PIC_B2W2_BAKER.png
Spr B2W2 Battle Girl.png,https://archives.bulbagarden.net/media/upload/5/5a/Spr_B2W2_Battle_Girl.png,Spr_B2W2_Battle_Girl.png,TRAINER_PIC_B2W2_BATTLE_GIRL.png
Spr B2W2 Beauty.png,https://archives.bulbagarden.net/media/upload/9/93/Spr_B2W2_Beauty.png,Spr_B2W2_Beauty.png,TRAINER_PIC_B2W2_BEAUTY.png
Spr B2W2 Benga.png,https://archives.bulbagarden.net/media/upload/f/f7/Spr_B2W2_Benga.png,Spr_B2W2_Benga.png,TRAINER_PIC_B2W2_BENGA.png
Spr B2W2 Bianca.png,https://archives.bulbagarden.net/media/upload/f/f0/Spr_B2W2_Bianca.png,Spr_B2W2_Bianca.png,TRAINER_PIC_B2W2_BIANCA.png
Spr B2W2 Biker.png,https://archives.bulbagarden.net/media/upload/e/e3/Spr_B2W2_Biker.png,Spr_B2W2_Biker.png,TRAINER_PIC_B2W2_BIKER.png
